Output of VIPER 2 Tools EAR/MASA/COB routine: Fri Sep 01 13:42:51 2023

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
Algae/Water_X171_Y224, ALGAE/WATER,   1.68495e-06,      0.158060,            7,           18,     0.0486111
Algae/Water_X171_Y224, ALGAE/WATER,   1.68495e-06,      0.158060,            7,           18,     0.0486111
Algae/Water_X172_Y224, ALGAE/WATER,   1.32925e-06,      0.124191,            7,           20,     0.0437500
Algae/Water_X172_Y224, ALGAE/WATER,   1.32925e-06,      0.124191,            7,           20,     0.0437500
Algae/Water_X176_Y217, ALGAE/WATER,   1.14699e-06,      0.107500,            7,           20,     0.0437500
Algae/Water_X176_Y217, ALGAE/WATER,   1.14699e-06,      0.107500,            7,           20,     0.0437500
Algae/Water_X177_Y217, ALGAE/WATER,   9.69100e-07,     0.0898002,            7,            8,      0.109375
Algae/Water_X177_Y217, ALGAE/WATER,   9.69100e-07,     0.0898002,            7,            8,      0.109375
BareSoil_X178_Y152, BARE SOIL,   1.82078e-06,     0.0521402,            7,           68,     0.0128676
BareSoil_X178_Y152, BARE SOIL,   1.82078e-06,     0.0521402,            7,           68,     0.0128676
BareSoil_X178_Y153, BARE SOIL,   2.32016e-06,     0.0654687,            0,            0,       0.00000
BareSoil_X178_Y153, BARE SOIL,   2.32016e-06,     0.0654687,            0,            0,       0.00000
BareSoil_X179_Y153, BARE SOIL,   2.07621e-06,     0.0586498,            0,            0,       0.00000
BareSoil_X179_Y153, BARE SOIL,   2.07621e-06,     0.0586498,            0,            0,       0.00000
BareSoil_X203_Y140, BARE SOIL,   4.27306e-06,      0.129208,            7,           70,     0.0125000
BareSoil_X203_Y140, BARE SOIL,   4.27306e-06,      0.129208,            7,           70,     0.0125000
BeachSand_X135_Y363, BEACH SAND,   3.58807e-06,     0.0984946,            7,           74,     0.0118243
BeachSand_X135_Y363, BEACH SAND,   3.58807e-06,     0.0984946,            7,           74,     0.0118243
BeachSand_X71_Y303, BEACH SAND,   2.86178e-06,     0.0742981,            0,            0,       0.00000
BeachSand_X71_Y303, BEACH SAND,   2.86178e-06,     0.0742981,            0,            0,       0.00000
BeachSand_X71_Y305, BEACH SAND,   2.87921e-06,     0.0738849,            0,            0,       0.00000
BeachSand_X71_Y305, BEACH SAND,   2.87921e-06,     0.0738849,            0,            0,       0.00000
BeachSand_X72_Y305, BEACH SAND,   3.19674e-06,     0.0827999,            0,            0,       0.00000
BeachSand_X72_Y305, BEACH SAND,   3.19674e-06,     0.0827999,            0,            0,       0.00000
HighMarsh_X194_Y48, HIGH MARSH,   3.21019e-06,      0.176715,            5,           52,     0.0160256
HighMarsh_X194_Y48, HIGH MARSH,   3.21019e-06,      0.176715,            5,           52,     0.0160256
HighMarsh_X198_Y47, HIGH MARSH,   1.37148e-06,     0.0709790,            0,            0,       0.00000
HighMarsh_X198_Y47, HIGH MARSH,   1.37148e-06,     0.0709790,            0,            0,       0.00000
HighMarsh_X198_Y47, HIGH MARSH,   1.37148e-06,     0.0709790,            0,            0,       0.00000
HighMarsh_X198_Y47, HIGH MARSH,   1.37148e-06,     0.0709790,            0,            0,       0.00000
MarshSand_X178_Y119, MARSH SAND,   1.94327e-06,     0.0430850,            0,            0,       0.00000
MarshSand_X178_Y119, MARSH SAND,   1.94327e-06,     0.0430850,            0,            0,       0.00000
MarshSand_X179_Y111, MARSH SAND,   2.21974e-06,     0.0491306,            0,            0,       0.00000
MarshSand_X179_Y111, MARSH SAND,   2.21974e-06,     0.0491306,            0,            0,       0.00000
MarshSand_X179_Y120, MARSH SAND,   1.92210e-06,     0.0428286,            7,           80,     0.0109375
MarshSand_X179_Y120, MARSH SAND,   1.92210e-06,     0.0428286,            7,           80,     0.0109375
MarshSand_X186_Y114, MARSH SAND,   2.29615e-06,     0.0518260,            7,           80,     0.0109375
MarshSand_X186_Y114, MARSH SAND,   2.29615e-06,     0.0518260,            7,           80,     0.0109375
Mud_X178_Y87, MUD,   3.30832e-06,      0.204168,            3,           48,     0.0156250
Mud_X178_Y87, MUD,   3.30832e-06,      0.204168,            3,           48,     0.0156250
Mud_X179_Y88, MUD,   3.56234e-06,      0.204168,            0,            0,       0.00000
