Output of VIPER 2 Tools EAR/MASA/COB routine: Wed Jan 31 14:13:57 2024

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
220420b.4m.asd                 No-OAR, GREEN VEG,   4.72931e-06,      0.337038,            0,            0,       0.00000
220420d.25m.asd                 No-OAR, GREEN VEG,   2.80656e-06,      0.197391,            0,            0,       0.00000
220420d.27m.asd                 No-OAR, GREEN VEG,   2.85602e-06,      0.196151,            0,            0,       0.00000
220420d.3m.asd                 No-OAR, GREEN VEG,   4.25703e-06,      0.296377,            0,            0,       0.00000
220420d.31m.asd                 No-OAR, GREEN VEG,   4.63724e-06,      0.322951,            0,            0,       0.00000
220420d.0m.asd                 No-OAR, GREEN VEG,   4.06914e-06,      0.281656,            0,            0,       0.00000
220420d.28m.asd                 No-OAR, GREEN VEG,   2.90376e-06,      0.199343,            0,            0,       0.00000
220420b.12m.asd                 No-OAR, MIXED,   3.98860e-06,      0.194266,            0,            0,       0.00000
220420d.14m.asd                 No-OAR, GREEN VEG,   4.43186e-06,      0.308342,            0,            0,       0.00000
220420b.10m.asd                 No-OAR, MIXED,   4.70742e-06,      0.232674,            0,            0,       0.00000
220420d.19m.asd                 No-OAR, GREEN VEG,   2.82053e-06,      0.195625,            0,            0,       0.00000
220420b.2m.asd                 No-OAR, GREEN VEG,   3.57692e-06,      0.256227,            0,            0,       0.00000
220420d.10m.asd                 No-OAR, GREEN VEG,   3.91271e-06,      0.272970,            0,            0,       0.00000
220420d.26m.asd                 No-OAR, GREEN VEG,   2.48981e-06,      0.172900,            0,            0,       0.00000
220420c.16m.asd                 No-OAR, GREEN VEG,   2.37524e-06,      0.166377,            0,            0,       0.00000
220420d.32m.asd                 No-OAR  , GREEN VEG,   2.69917e-06,      0.186201,            0,            0,       0.00000
220420d.12m.asd                 No-OAR, GREEN VEG,   2.23498e-06,      0.157745,            0,            0,       0.00000
220420d.21m.asd                 No-OAR, GREEN VEG,   2.43686e-06,      0.168584,            0,            0,       0.00000
220420d.23m.asd                 No-OAR, GREEN VEG,   2.36074e-06,      0.164587,            0,            0,       0.00000
220420b.11m.asd                 No-OAR, GREEN VEG,   2.69009e-06,      0.189322,            0,            0,       0.00000
220420b.8m.asd                 No-OAR, GREEN VEG,   3.37323e-06,      0.238395,            0,            0,       0.00000
220420d.13m.asd                 No-OAR, GREEN VEG,   3.22090e-06,      0.225355,            0,            0,       0.00000
220420d.24m.asd                 No-OAR, GREEN VEG,   2.31065e-06,      0.163780,            0,            0,       0.00000
220420d.4m.asd                 No-OAR, GREEN VEG,   2.27889e-06,      0.158462,            0,            0,       0.00000
220420c.9m.asd                 No-OAR, GREEN VEG,   3.03363e-06,      0.209292,            0,            0,       0.00000
220420b.15m.asd                 No-OAR, NPV,   2.62274e-06,      0.141709,            0,            0,       0.00000
220420d.15m.asd                 No-OAR, GREEN VEG,   3.90823e-06,      0.271304,            0,            0,       0.00000
220420d.29m.asd                 No-OAR, GREEN VEG,   2.75076e-06,      0.189841,            0,            0,       0.00000
220420d.9m.asd                 No-OAR, GREEN VEG,   2.53495e-06,      0.175012,            0,            0,       0.00000
220420d.22m.asd                 No-OAR, GREEN VEG,   2.85120e-06,      0.197846,            0,            0,       0.00000
220420b.13m.asd                 No-OAR, MIXED,   3.43801e-06,      0.167923,            0,            0,       0.00000
220420d.11m.asd                 No-OAR, GREEN VEG,   2.37874e-06,      0.169316,            0,            0,       0.00000
