Output of VIPER 2 Tools EAR/MASA/COB routine: Mon Aug 28 15:08:59 2023

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
Algae/Water_X170_Y224, ALGAE/WATER,   4.05769e-06,      0.312104,            5,          141,    0.00591017
Algae/Water_X171_Y224, ALGAE/WATER,   3.55956e-06,      0.266633,            0,            0,       0.00000
Algae/Water_X172_Y224, ALGAE/WATER,   3.57202e-06,      0.268744,            0,            0,       0.00000
Algae/Water_X175_Y217, ALGAE/WATER,   8.63814e-06,      0.838863,            5,           98,    0.00850340
Algae/Water_X176_Y217, ALGAE/WATER,   3.48361e-06,      0.261287,            0,            0,       0.00000
Algae/Water_X177_Y217, ALGAE/WATER,   3.39416e-06,      0.253542,            5,          126,    0.00661376
220302b.25m.asd                 No-OAR, BARE SOIL,   6.80923e-06,      0.380678,            0,            0,       0.00000
220302b.27m.asd                 No-OAR, BARE SOIL,   6.92781e-06,      0.381603,            0,            0,       0.00000
220302b.30m.asd                 No-OAR, BARE SOIL,   6.79503e-06,      0.383776,           16,          162,    0.00580973
220302b.31m.asd                 No-OAR, BARE SOIL,   7.03147e-06,      0.391552,            0,            0,       0.00000
220302b.32m.asd                 No-OAR  , BARE SOIL,   7.01301e-06,      0.389784,            0,            0,       0.00000
BareSoil_X178_Y152, BARE SOIL,   5.36313e-06,      0.254140,            0,            0,       0.00000
BareSoil_X178_Y153, BARE SOIL,   5.38842e-06,      0.258114,            0,            0,       0.00000
BareSoil_X178_Y89, BARE SOIL,   5.70217e-06,      0.269510,            0,            0,       0.00000
BareSoil_X178_Y90, BARE SOIL,   5.67617e-06,      0.270276,            0,            0,       0.00000
BareSoil_X179_Y153, BARE SOIL,   5.11136e-06,      0.243552,            0,            0,       0.00000
BareSoil_X202_Y140, BARE SOIL,   6.22810e-06,      0.295588,            0,            0,       0.00000
BareSoil_X203_Y140, BARE SOIL,   6.38024e-06,      0.302915,            0,            0,       0.00000
BareSoil_X204_Y140, BARE SOIL,   6.43124e-06,      0.305731,            0,            0,       0.00000
BareSoil_X218_Y155, BARE SOIL,   5.10496e-06,      0.257163,            0,            0,       0.00000
BareSoil_X218_Y156, BARE SOIL,   5.14461e-06,      0.260748,            0,            0,       0.00000
BareSoil_X219_Y155, BARE SOIL,   4.91535e-06,      0.249646,            0,            0,       0.00000
BareSoil_X220_Y155, BARE SOIL,   5.14461e-06,      0.260748,            0,            0,       0.00000
220302b.28m.asd                 No-OAR, BARE SOIL/PICKLEWEED,   1.51616e-06,     0.0604950,            0,            0,       0.00000
220302b.29m.asd                 No-OAR, BARE SOIL/PICKLEWEED,   1.47082e-06,     0.0604950,            1,          165,    0.00303030
BeachSand_X134_Y363, BEACH SAND,   1.22606e-05,      0.326559,            0,            0,       0.00000
BeachSand_X135_Y363, BEACH SAND,   5.33639e-06,      0.253276,            0,            0,       0.00000
BeachSand_X70_Y303, BEACH SAND,   1.11739e-05,      0.285788,            0,            0,       0.00000
BeachSand_X71_Y303, BEACH SAND,   9.74922e-06,      0.252669,            0,            0,       0.00000
BeachSand_X71_Y305, BEACH SAND,   5.35207e-06,      0.251518,            0,            0,       0.00000
BeachSand_X72_Y303, BEACH SAND,   1.13924e-05,      0.290850,            0,            0,       0.00000
BeachSand_X72_Y305, BEACH SAND,   5.34249e-06,      0.249746,            0,            0,       0.00000
BeachSand_X73_Y305, BEACH SAND,   5.39352e-06,      0.256042,            7,          187,    0.00467914
HighMarsh_X178_Y257, HIGH MARSH,   5.07538e-06,      0.466721,            0,            0,       0.00000
HighMarsh_X179_Y256, HIGH MARSH,   5.20813e-06,      0.483149,            5,          112,    0.00744048
HighMarsh_X179_Y257, HIGH MARSH,   5.12504e-06,      0.478556,            0,            0,       0.00000
HighMarsh_X194_Y48, HIGH MARSH,   7.24133e-06,      0.479046,            0,            0,       0.00000
HighMarsh_X197_Y47, HIGH MARSH,   7.19318e-06,      0.474237,            0,            0,       0.00000
HighMarsh_X198_Y47, HIGH MARSH,   7.24693e-06,      0.478394,            0,            0,       0.00000
MarshSand_X178_Y111, MARSH SAND,   2.15344e-06,      0.128736,            0,            0,       0.00000
MarshSand_X178_Y119, MARSH SAND,   1.33604e-06,     0.0808494,            0,            0,       0.00000
MarshSand_X179_Y111, MARSH SAND,   1.30303e-06,     0.0786139,            0,            0,       0.00000
MarshSand_X179_Y120, MARSH SAND,   1.47930e-06,     0.0892285,            0,            0,       0.00000
MarshSand_X186_Y114, MARSH SAND,   1.25896e-06,     0.0761745,            4,          102,    0.00784314
Mud_X178_Y87, MUD,   1.90438e-06,      0.177613,            1,           78,    0.00641026
Mud_X179_Y88, MUD,   1.91856e-06,      0.177613,            1,           74,    0.00675676
220302a.0m.asd                 No-OAR   , PICKLEWEED,   3.68712e-06,      0.199252,            0,            0,       0.00000
220302a.10m.asd                 No-OAR  , PICKLEWEED,   3.97778e-06,      0.216560,            0,            0,       0.00000
220302a.11m.asd                 No-OAR  , PICKLEWEED,   3.68171e-06,      0.198611,            0,            0,       0.00000
220302a.12m.asd                 No-OAR  , PICKLEWEED,   3.63313e-06,      0.195837,            0,            0,       0.00000
220302a.13m.asd                 No-OAR  , PICKLEWEED,   3.65071e-06,      0.196897,            0,            0,       0.00000
220302a.14m.asd                 No-OAR  , PICKLEWEED,   3.76050e-06,      0.203608,            0,            0,       0.00000
220302a.15m.asd                 No-OAR  , PICKLEWEED,   3.63953e-06,      0.195989,            0,            0,       0.00000
220302a.16m.asd                 No-OAR  , PICKLEWEED,   4.10068e-06,      0.224653,            0,            0,       0.00000
220302a.17m.asd                 No-OAR  , PICKLEWEED,   3.91472e-06,      0.213247,            0,            0,       0.00000
220302a.18m.asd                 No-OAR  , PICKLEWEED,   3.86871e-06,      0.210137,            0,            0,       0.00000
220302a.19m.asd                 No-OAR  , PICKLEWEED,   3.61143e-06,      0.194599,            0,            0,       0.00000
220302a.1m.asd                 No-OAR   , PICKLEWEED,   3.71599e-06,      0.200806,            0,            0,       0.00000
220302a.20m.asd                 No-OAR  , PICKLEWEED,   4.55640e-06,      0.253278,            0,            0,       0.00000
220302a.21m.asd                 No-OAR  , PICKLEWEED,   3.75523e-06,      0.203377,            0,            0,       0.00000
220302a.22m.asd                 No-OAR  , PICKLEWEED,   3.69457e-06,      0.199509,            0,            0,       0.00000
220302a.23m.asd                 No-OAR  , PICKLEWEED,   3.65674e-06,      0.197086,            0,            0,       0.00000
220302a.24m.asd                 No-OAR  , PICKLEWEED,   3.67984e-06,      0.198360,            0,            0,       0.00000
220302a.25m.asd                 No-OAR  , PICKLEWEED,   3.71487e-06,      0.200993,            0,            0,       0.00000
220302a.26m.asd                 No-OAR  , PICKLEWEED,   4.08110e-06,      0.224046,            0,            0,       0.00000
220302a.27m.asd                 No-OAR  , PICKLEWEED,   3.65762e-06,      0.197036,            0,            0,       0.00000
220302a.28m.asd                 No-OAR  , PICKLEWEED,   3.85109e-06,      0.209283,            0,            0,       0.00000
220302a.29m.asd                 No-OAR  , PICKLEWEED,   4.06915e-06,      0.223586,            0,            0,       0.00000
220302a.2m.asd                 No-OAR   , PICKLEWEED,   3.71554e-06,      0.201155,            0,            0,       0.00000
220302a.30m.asd                 No-OAR  , PICKLEWEED,   4.09643e-06,      0.225313,            0,            0,       0.00000
220302a.31m.asd                 No-OAR  , PICKLEWEED,   4.13990e-06,      0.228056,            0,            0,       0.00000
220302a.32m.asd                 No-OAR  , PICKLEWEED,   4.04413e-06,      0.221829,            0,            0,       0.00000
220302a.3m.asd                 No-OAR   , PICKLEWEED,   3.69489e-06,      0.199564,            0,            0,       0.00000
220302a.4m.asd                 No-OAR   , PICKLEWEED,   3.74332e-06,      0.202428,            0,            0,       0.00000
220302a.5m.asd                 No-OAR   , PICKLEWEED,   3.67068e-06,      0.198247,            0,            0,       0.00000
220302a.6M.asd                 No-OAR   , PICKLEWEED,   3.75190e-06,      0.202968,            0,            0,       0.00000
220302a.7m.asd                 No-OAR   , PICKLEWEED,   3.68335e-06,      0.198884,            0,            0,       0.00000
220302a.8m.asd                 No-OAR   , PICKLEWEED,   3.76712e-06,      0.203953,            0,            0,       0.00000
220302a.9m.asd                 No-OAR   , PICKLEWEED,   3.80480e-06,      0.206241,            0,            0,       0.00000
220302b.00050.asd                 No-OAR, PICKLEWEED,   6.76953e-06,      0.392899,            0,            0,       0.00000
220302b.10m.asd                 No-OAR, PICKLEWEED,   3.78524e-06,      0.204767,            0,            0,       0.00000
220302b.11m.asd                 No-OAR, PICKLEWEED,   3.75253e-06,      0.203294,            0,            0,       0.00000
220302b.12m.asd                 No-OAR, PICKLEWEED,   3.73279e-06,      0.202054,            0,            0,       0.00000
220302b.13m.asd                 No-OAR, PICKLEWEED,   3.73471e-06,      0.202067,            0,            0,       0.00000
220302b.14m.asd                 No-OAR, PICKLEWEED,   3.84512e-06,      0.209002,            0,            0,       0.00000
220302b.15m.asd                 No-OAR, PICKLEWEED,   3.69042e-06,      0.199373,            0,            0,       0.00000
220302b.16m.asd                 No-OAR, PICKLEWEED,   3.68103e-06,      0.198729,            0,            0,       0.00000
220302b.17m.asd                 No-OAR, PICKLEWEED,   3.82001e-06,      0.207761,            0,            0,       0.00000
220302b.18m.asd                 No-OAR, PICKLEWEED,   3.65765e-06,      0.197352,            0,            0,       0.00000
220302b.19m.asd                 No-OAR, PICKLEWEED,   3.70147e-06,      0.199819,            0,            0,       0.00000
220302b.20m.asd                 No-OAR, PICKLEWEED,   3.64107e-06,      0.196212,            0,            0,       0.00000
220302b.21m.asd                 No-OAR, PICKLEWEED,   3.76993e-06,      0.204448,            0,            0,       0.00000
220302b.22m.asd                 No-OAR, PICKLEWEED,   3.67295e-06,      0.198072,            0,            0,       0.00000
220302b.23m.asd                 No-OAR, PICKLEWEED,   3.83672e-06,      0.208790,            0,            0,       0.00000
220302b.24m.asd                 No-OAR, PICKLEWEED,   3.64321e-06,      0.196092,            0,            0,       0.00000
220302b.26m.asd                 No-OAR, PICKLEWEED,   3.64947e-06,      0.196834,            0,            0,       0.00000
220302b.8m.asd                 No-OAR, PICKLEWEED,   3.99034e-06,      0.218064,            0,            0,       0.00000
