Name,Meta1,Meta2,Meta3,brightness
Algae/Water_X171_Y224,Pervious,Water,Algae/Water,0.0330536
Algae/Water_X171_Y224,Pervious,Water,Algae/Water,0.0330536
Algae/Water_X172_Y224,Pervious,Water,Algae/Water,0.0322908
Algae/Water_X172_Y224,Pervious,Water,Algae/Water,0.0322908
Algae/Water_X176_Y217,Pervious,Water,Algae/Water,0.0330756
Algae/Water_X176_Y217,Pervious,Water,Algae/Water,0.0330756
Algae/Water_X177_Y217,Pervious,Water,Algae/Water,0.0318778
Algae/Water_X177_Y217,Pervious,Water,Algae/Water,0.0318778
BareSoil_X178_Y152,Pervious,Bare Soil,Bare Soil,0.325993
BareSoil_X178_Y152,Pervious,Bare Soil,Bare Soil,0.325993
BareSoil_X178_Y153,Pervious,Bare Soil,Bare Soil,0.305343
BareSoil_X178_Y153,Pervious,Bare Soil,Bare Soil,0.305343
BareSoil_X179_Y153,Pervious,Bare Soil,Bare Soil,0.306369
BareSoil_X179_Y153,Pervious,Bare Soil,Bare Soil,0.306369
BareSoil_X203_Y140,Pervious,Bare Soil,Bare Soil,0.341108
BareSoil_X203_Y140,Pervious,Bare Soil,Bare Soil,0.341108
BeachSand_X135_Y363,Pervious,Bare Soil,Beach Sand,0.395954
BeachSand_X135_Y363,Pervious,Bare Soil,Beach Sand,0.395954
BeachSand_X71_Y303,Pervious,Bare Soil,Beach Sand,0.350931
BeachSand_X71_Y303,Pervious,Bare Soil,Beach Sand,0.350931
BeachSand_X71_Y305,Pervious,Bare Soil,Beach Sand,0.345613
BeachSand_X71_Y305,Pervious,Bare Soil,Beach Sand,0.345613
BeachSand_X72_Y305,Pervious,Bare Soil,Beach Sand,0.356201
BeachSand_X72_Y305,Pervious,Bare Soil,Beach Sand,0.356201
HighMarsh_X194_Y48,Pervious,Plants,High Marsh,0.162605
HighMarsh_X194_Y48,Pervious,Plants,High Marsh,0.162605
HighMarsh_X198_Y47,Pervious,Plants,High Marsh,0.155556
HighMarsh_X198_Y47,Pervious,Plants,High Marsh,0.155556
HighMarsh_X198_Y47,Pervious,Plants,High Marsh,0.155556
HighMarsh_X198_Y47,Pervious,Plants,High Marsh,0.155556
MarshSand_X178_Y119,Pervious,Bare Soil,Marsh Sand,0.417446
MarshSand_X178_Y119,Pervious,Bare Soil,Marsh Sand,0.417446
MarshSand_X179_Y111,Pervious,Bare Soil,Marsh Sand,0.420473
MarshSand_X179_Y111,Pervious,Bare Soil,Marsh Sand,0.420473
MarshSand_X179_Y120,Pervious,Bare Soil,Marsh Sand,0.430620
MarshSand_X179_Y120,Pervious,Bare Soil,Marsh Sand,0.430620
MarshSand_X186_Y114,Pervious,Bare Soil,Marsh Sand,0.445889
MarshSand_X186_Y114,Pervious,Bare Soil,Marsh Sand,0.445889
Mud_X178_Y87,Pervious,Bare Soil,Mud,0.142762
Mud_X178_Y87,Pervious,Bare Soil,Mud,0.142762
Mud_X179_Y88,Pervious,Bare Soil,Mud,0.117952
Mud_X179_Y88,Pervious,Bare Soil,Mud,0.117952
220302b.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.159586
220302b.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.159586
220302b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.145891
220302b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.145891
220302b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.138027
220302b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.138027
Pickleweed_X177_Y93,Pervious,Plants,Pickleweed,0.139402
Pickleweed_X177_Y93,Pervious,Plants,Pickleweed,0.139402
Pickleweed_X201_Y50,Pervious,Plants,Pickleweed,0.137510
Pickleweed_X201_Y50,Pervious,Plants,Pickleweed,0.137510
ShallowWater_X200_Y59,Pervious,Water,Shallow Water,0.0383284
ShallowWater_X200_Y59,Pervious,Water,Shallow Water,0.0383284
ShallowWater_X200_Y60,Pervious,Water,Shallow Water,0.0400422
ShallowWater_X200_Y60,Pervious,Water,Shallow Water,0.0400422
ShallowWater_X202_Y211,Pervious,Water,Shallow Water,0.0424751
ShallowWater_X202_Y211,Pervious,Water,Shallow Water,0.0424751
ShallowWater_X203_Y211,Pervious,Water,Shallow Water,0.0421714
ShallowWater_X203_Y211,Pervious,Water,Shallow Water,0.0421714
Trees_X136_Y152,Pervious,Plants,Trees,0.139337
Trees_X136_Y152,Pervious,Plants,Trees,0.139337
Trees_X136_Y153,Pervious,Plants,Trees,0.141045
Trees_X136_Y153,Pervious,Plants,Trees,0.141045
Trees_X219_Y186,Pervious,Plants,Trees,0.110089
Trees_X219_Y186,Pervious,Plants,Trees,0.110089
