Name,Meta1,Meta2,Meta3,brightness
BareSoil_X100_Y181,pervious,Bare Soil,Bare Soil,0.537712
BareSoil_X113_Y75,Pervious,Bare Soil,Bare Soil,0.385533
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil,0.496745
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil,0.340290
BareSoil_X181_Y110,pervious,Bare Soil,Bare Soil,0.516344
BareSoil_X181_Y120,pervious,Bare Soil,Bare Soil,0.537621
BareSoil_X182_Y120,pervious,Bare Soil,Bare Soil,0.463053
BareSoil_X184_Y110,Pervious,Bare Soil,Bare Soil,0.526014
BareSoil_X184_Y114,pervious,Bare Soil,Bare Soil,0.530587
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil,0.395471
BareSoil_X203_Y138,Pervious,Bare Soil,Bare Soil,0.160379
BareSoil_X206_Y138,Pervious,Bare Soil,Bare Soil,0.154240
BareSoil_X211_Y39,pervious,Bare Soil,Bare Soil,0.448694
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil,0.414037
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil,0.261548
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil,0.246053
BareSoil_X219_Y141,Pervious,Bare Soil,Bare Soil,0.160253
BareSoil_X219_Y150,Pervious,Bare Soil,Bare Soil,0.127626
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil,0.238258
BareSoil_X225_Y62,Pervious,Bare Soil,Bare Soil,0.417566
BareSoil_X226_Y62,Pervious,Bare Soil,Bare Soil,0.381118
220420b_0m_asd_no-OAR,pervious,green veg,high marsh,0.207396
220420c_13m_asd_no-OAR,pervious,green veg,pickleweed,0.130307
220420c_16m_asd_no-OAR,pervious,green veg,pickleweed,0.107833
220420c_17m_asd_no-OAR,pervious,green veg,pickleweed,0.125028
220420d_12m_asd_no-OAR,pervious,green veg,pickleweed,0.111406
220420d_23m_asd_no-OAR,pervious,green veg,pickleweed,0.111810
220420d_24m_asd_no-OAR,pervious,green veg,pickleweed,0.115219
220420d_2m_asd_no-OAR,pervious,green veg,pickleweed,0.134102
220420d_30m_asd_no-OAR,pervious,green veg,pickleweed,0.132469
220420d_4m_asd_no-OAR,pervious,green veg,pickleweed,0.116865
220420d_8m_asd_no-OAR,pervious,green veg,pickleweed,0.125482
greenveg_X196_Y48,pervious,green veg,green veg,0.258239
greenveg_X201_Y45,pervious,green veg,green veg,0.194356
greenveg_X209_Y34,pervious,green veg,green veg,0.200016
greenveg_X218_Y247,pervious,green veg,green veg,0.252790
greenveg_X225_Y41,pervious,green veg,green veg,0.194123
greenveg_X231_Y39,pervious,green veg,green veg,0.251220
greenveg_X83_Y198,pervious,green veg,green veg,0.278168
Pickleweed_X149_Y76,Pervious,green veg,Pickleweed,0.146849
Pickleweed_X170_Y90,Pervious,green veg,Pickleweed,0.166954
Pickleweed_X175_Y257,Pervious,green veg,Pickleweed,0.175144
Pickleweed_X176_Y92,Pervious,green veg,Pickleweed,0.169245
Pickleweed_X179_Y250,Pervious,green veg,Pickleweed,0.147718
Pickleweed_X179_Y94,Pervious,green veg,Pickleweed,0.155219
Pickleweed_X185_Y145,Pervious,green veg,Pickleweed,0.203421
Pickleweed_X198_Y51,Pervious,green veg,Pickleweed,0.196861
Pickleweed_X215_Y163,Pervious,green veg,Pickleweed,0.144559
Uplands_X110_Y160,Pervious,green veg,Uplands,0.234748
Uplands_X143_Y171,Pervious,green veg,Uplands,0.246874
Uplands_X143_Y81,Pervious,green veg,Uplands,0.190849
Uplands_X166_Y52,Pervious,green veg,Uplands,0.218862
Uplands_X168_Y121,Pervious,green veg,Uplands,0.206493
Uplands_X188_Y51,Pervious,green veg,Uplands,0.269723
Uplands_X193_Y45,Pervious,green veg,Uplands,0.191301
Uplands_X197_Y46,Pervious,green veg,Uplands,0.213022
Uplands_X237_Y70,Pervious,green veg,Uplands,0.191182
220420a_15m_asd_no-OAR,pervious,npv,npv,0.196121
220420c_20m_asd_no-OAR,pervious,npv,npv,0.229047
NPV_X130_Y187,Pervious,NPV,NPV,0.333887
npv_X130_Y265,pervious,npv,npv,0.296007
NPV_X151_Y331,Pervious,NPV,NPV,0.325077
npv_X167_Y142,pervious,npv,npv,0.308867
NPV_X236_Y70,Pervious,NPV,NPV,0.280305
NPV_X24_Y102,Pervious,NPV,NPV,0.248853
npv_X31_Y107,pervious,npv,npv,0.243439
Algae/Water_X164_Y189,Pervious,Water,Algae/Water,0.0650929
Algae/Water_X165_Y243,Pervious,Water,Algae/Water,0.104938
Algae/Water_X166_Y190,Pervious,Water,Algae/Water,0.0709761
Algae/Water_X166_Y244,Pervious,Water,Algae/Water,0.103061
Algae/Water_X173_Y223,Pervious,Water,Algae/Water,0.0910748
Algae/Water_X177_Y211,Pervious,Water,Algae/Water,0.0632183
Algae/Water_X181_Y208,Pervious,Water,Algae/Water,0.0737767
Algae/Water_X185_Y202,Pervious,Water,Algae/Water,0.0589255
Water_X172_Y208,Pervious,Water,Shallow Water,0.0742376
Water_X174_Y161,Pervious,Water,Shallow Water,0.0859750
Water_X192_Y177,Pervious,Water,Shallow Water,0.0915631
Water_X204_Y145,Pervious,Water,Shallow Water,0.125055
Water_X216_Y154,Pervious,Water,Shallow Water,0.0806327
