Name,Meta1,Meta2,Meta3,brightness
Algae/Water_X164_Y189,Pervious,Water,Algae/Water,0.0909229
Algae/Water_X165_Y175,Pervious,Water,Algae/Water,0.145025
Algae/Water_X165_Y243,Pervious,Water,Algae/Water,0.104938
Algae/Water_X166_Y190,Pervious,Water,Algae/Water,0.0709761
Algae/Water_X166_Y244,Pervious,Water,Algae/Water,0.103061
Algae/Water_X168_Y179,Pervious,Water,Algae/Water,0.149370
Algae/Water_X169_Y185,Pervious,Water,Algae/Water,0.140406
Algae/Water_X173_Y223,Pervious,Water,Algae/Water,0.0910748
220406b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.359515
220406c.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.327377
BareSoil_X170_Y178,Pervious,Bare Soil,Bare Soil,0.188460
BareSoil_X171_Y181,Pervious,Bare Soil,Bare Soil,0.159009
BareSoil_X172_Y179,Pervious,Bare Soil,Bare Soil,0.152353
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil,0.340290
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil,0.395471
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil,0.332779
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil,0.350083
Pickleweed_X157_Y148,Pervious,Plants,Pickleweed,0.191546
Pickleweed_X168_Y143,Pervious,Plants,Pickleweed,0.201658
Pickleweed_X175_Y92,Pervious,Plants,Pickleweed,0.191804
Pickleweed_X177_Y93,Pervious,Plants,Pickleweed,0.163986
Pickleweed_X179_Y140,Pervious,Plants,Pickleweed,0.205611
Pickleweed_X179_Y250,Pervious,Plants,Pickleweed,0.147718
Pickleweed_X179_Y94,Pervious,Plants,Pickleweed,0.155219
Pickleweed_X195_Y52,Pervious,Plants,Pickleweed,0.221144
Pickleweed_X196_Y52,Pervious,Plants,Pickleweed,0.167130
Pickleweed_X198_Y49,Pervious,Plants,Pickleweed,0.190416
Pickleweed_X198_Y51,Pervious,Plants,Pickleweed,0.196861
Pickleweed_X199_Y52,Pervious,Plants,Pickleweed,0.213527
Pickleweed_X200_Y49,Pervious,Plants,Pickleweed,0.174904
Pickleweed_X215_Y163,Pervious,Plants,Pickleweed,0.144559
Pickleweed_X217_Y163,Pervious,Plants,Pickleweed,0.148644
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water,0.0325934
ShallowWater_X176_Y84,Pervious,Water,Shallow Water,0.0793435
ShallowWater_X177_Y85,Pervious,Water,Shallow Water,0.0759161
ShallowWater_X201_Y145,Pervious,Water,Shallow Water,0.109763
ShallowWater_X214_Y158,Pervious,Water,Shallow Water,0.0839096
ShallowWater_X215_Y159,Pervious,Water,Shallow Water,0.0749691
Uplands_X110_Y160,Pervious,Plants,Uplands,0.234748
Uplands_X166_Y106,Pervious,Plants,Uplands,0.247608
Uplands_X166_Y52,Pervious,Plants,Uplands,0.218862
Uplands_X168_Y121,Pervious,Plants,Uplands,0.206493
Uplands_X193_Y45,Pervious,Plants,Uplands,0.191301
Uplands_X197_Y46,Pervious,Plants,Uplands,0.213022
Uplands_X197_Y47,Pervious,Plants,Uplands,0.183949
Uplands_X199_Y47,Pervious,Plants,Uplands,0.182765
Uplands_X237_Y70,Pervious,Plants,Uplands,0.191182
Water_X120_Y285,Pervious,Water,Water,0.0634090
Water_X150_Y221,Pervious,Water,Water,0.0583916
Water_X174_Y191,Pervious,Water,Water,0.0658419
Water_X193_Y98,Pervious,Water,Water,0.0606408
Water_X212_Y142,Pervious,Water,Water,0.0635832
