Name,Meta1,Meta2,Meta3
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X165_Y243,Pervious,Water,Algae/Water
Algae/Water_X166_Y190,Pervious,Water,Algae/Water
Algae/Water_X166_Y244,Pervious,Water,Algae/Water
Algae/Water_X173_Y223,Pervious,Water,Algae/Water
220406b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil
Pickleweed_X177_Y93,Pervious,Plants,Pickleweed
Pickleweed_X179_Y250,Pervious,Plants,Pickleweed
Pickleweed_X179_Y94,Pervious,Plants,Pickleweed
Pickleweed_X195_Y52,Pervious,Plants,Pickleweed
Pickleweed_X198_Y49,Pervious,Plants,Pickleweed
Pickleweed_X200_Y51,Pervious,Plants,Pickleweed
Pickleweed_X215_Y163,Pervious,Plants,Pickleweed
Pickleweed_X217_Y163,Pervious,Plants,Pickleweed
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water
ShallowWater_X176_Y84,Pervious,Water,Shallow Water
ShallowWater_X177_Y85,Pervious,Water,Shallow Water
ShallowWater_X201_Y145,Pervious,Water,Shallow Water
ShallowWater_X214_Y158,Pervious,Water,Shallow Water
ShallowWater_X215_Y159,Pervious,Water,Shallow Water
Uplands_X110_Y160,Pervious,Plants,Uplands
Uplands_X166_Y106,Pervious,Plants,Uplands
Uplands_X166_Y52,Pervious,Plants,Uplands
Uplands_X168_Y121,Pervious,Plants,Uplands
Uplands_X193_Y45,Pervious,Plants,Uplands
Uplands_X197_Y46,Pervious,Plants,Uplands
Uplands_X237_Y70,Pervious,Plants,Uplands
Water_X120_Y285,Pervious,Water,Water
Water_X150_Y221,Pervious,Water,Water
Water_X174_Y191,Pervious,Water,Water
Water_X193_Y98,Pervious,Water,Water
Water_X212_Y142,Pervious,Water,Water
