Name,Meta1,Meta2,Meta3
BareSoil_X180_Y113,Pervious,Bare Soil,Bare Soil
BareSoil_X185_Y116,Pervious,Bare Soil,Bare Soil
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y117,Pervious,Bare Soil,Bare Soil
BareSoil_X209_Y81,Pervious,Bare Soil,Bare Soil
BareSoil_X226_Y61,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y155,Pervious,Bare Soil,Bare Soil
BareSoil_X169_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y156,Pervious,Bare Soil,Bare Soil
BareSoil_X218_Y157,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y158,Pervious,Bare Soil,Bare Soil
Pickleweed_X213_Y168,Pervious,Plants,Pickleweed
Pickleweed_X217_Y160,Pervious,Plants,Pickleweed
Pickleweed_X217_Y163,Pervious,Plants,Pickleweed
Pickleweed_X215_Y163,Pervious,Plants,Pickleweed
Pickleweed_X198_Y50,Pervious,Plants,Pickleweed
Pickleweed_X198_Y52,Pervious,Plants,Pickleweed
Pickleweed_X201_Y50,Pervious,Plants,Pickleweed
Pickleweed_X193_Y53,Pervious,Plants,Pickleweed
Uplands_X168_Y110,Pervious,Plants,Uplands
Uplands_X168_Y103,Pervious,Plants,Uplands
Uplands_X160_Y111,Pervious,Plants,Uplands
Uplands_X197_Y46,Pervious,Plants,Uplands
