Name,Meta1,Meta2,Meta3
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X165_Y175,Pervious,Water,Algae/Water
Algae/Water_X165_Y243,Pervious,Water,Algae/Water
Algae/Water_X166_Y190,Pervious,Water,Algae/Water
Algae/Water_X166_Y244,Pervious,Water,Algae/Water
Algae/Water_X168_Y179,Pervious,Water,Algae/Water
Algae/Water_X173_Y223,Pervious,Water,Algae/Water
220406b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
BareSoil_X169_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X170_Y178,Pervious,Bare Soil,Bare Soil
BareSoil_X171_Y181,Pervious,Bare Soil,Bare Soil
BareSoil_X172_Y179,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y117,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y155,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X180_Y113,Pervious,Bare Soil,Bare Soil
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil
BareSoil_X185_Y116,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X209_Y81,Pervious,Bare Soil,Bare Soil
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y158,Pervious,Bare Soil,Bare Soil
BareSoil_X218_Y157,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y156,Pervious,Bare Soil,Bare Soil
BareSoil_X226_Y61,Pervious,Bare Soil,Bare Soil
Pickleweed_X157_Y148,Pervious,Plants,Pickleweed
Pickleweed_X168_Y143,Pervious,Plants,Pickleweed
Pickleweed_X175_Y92,Pervious,Plants,Pickleweed
Pickleweed_X177_Y93,Pervious,Plants,Pickleweed
Pickleweed_X179_Y140,Pervious,Plants,Pickleweed
Pickleweed_X179_Y250,Pervious,Plants,Pickleweed
Pickleweed_X179_Y94,Pervious,Plants,Pickleweed
Pickleweed_X193_Y53,Pervious,Plants,Pickleweed
Pickleweed_X196_Y52,Pervious,Plants,Pickleweed
Pickleweed_X198_Y49,Pervious,Plants,Pickleweed
Pickleweed_X198_Y50,Pervious,Plants,Pickleweed
Pickleweed_X198_Y51,Pervious,Plants,Pickleweed
Pickleweed_X198_Y52,Pervious,Plants,Pickleweed
Pickleweed_X200_Y49,Pervious,Plants,Pickleweed
Pickleweed_X201_Y50,Pervious,Plants,Pickleweed
Pickleweed_X213_Y168,Pervious,Plants,Pickleweed
Pickleweed_X215_Y163,Pervious,Plants,Pickleweed
Pickleweed_X215_Y163,Pervious,Plants,Pickleweed
Pickleweed_X217_Y160,Pervious,Plants,Pickleweed
Pickleweed_X217_Y163,Pervious,Plants,Pickleweed
Pickleweed_X217_Y163,Pervious,Plants,Pickleweed
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water
ShallowWater_X176_Y84,Pervious,Water,Shallow Water
ShallowWater_X177_Y85,Pervious,Water,Shallow Water
ShallowWater_X201_Y145,Pervious,Water,Shallow Water
ShallowWater_X214_Y158,Pervious,Water,Shallow Water
ShallowWater_X215_Y159,Pervious,Water,Shallow Water
Uplands_X110_Y160,Pervious,Plants,Uplands
Uplands_X160_Y111,Pervious,Plants,Uplands
Uplands_X166_Y106,Pervious,Plants,Uplands
Uplands_X166_Y52,Pervious,Plants,Uplands
Uplands_X168_Y103,Pervious,Plants,Uplands
Uplands_X168_Y110,Pervious,Plants,Uplands
Uplands_X168_Y121,Pervious,Plants,Uplands
Uplands_X193_Y45,Pervious,Plants,Uplands
Uplands_X197_Y46,Pervious,Plants,Uplands
Uplands_X197_Y46,Pervious,Plants,Uplands
Uplands_X197_Y47,Pervious,Plants,Uplands
Uplands_X199_Y47,Pervious,Plants,Uplands
Uplands_X237_Y70,Pervious,Plants,Uplands
Water_X120_Y285,Pervious,Water,Water
Water_X150_Y221,Pervious,Water,Water
Water_X174_Y191,Pervious,Water,Water
Water_X193_Y98,Pervious,Water,Water
Water_X212_Y142,Pervious,Water,Water
