Name,Meta1,Meta2,Meta3
BareSoil_X100_Y181,pervious,Bare Soil,Bare Soil
BareSoil_X113_Y75,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X181_Y110,pervious,Bare Soil,Bare Soil
BareSoil_X181_Y120,pervious,Bare Soil,Bare Soil
BareSoil_X182_Y120,pervious,Bare Soil,Bare Soil
BareSoil_X184_Y110,Pervious,Bare Soil,Bare Soil
BareSoil_X184_Y114,pervious,Bare Soil,Bare Soil
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X211_Y39,pervious,Bare Soil,Bare Soil
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil
BareSoil_X225_Y62,Pervious,Bare Soil,Bare Soil
BareSoil_X226_Y62,Pervious,Bare Soil,Bare Soil
220420b_0m_asd_no-OAR,pervious,green veg,high marsh
220420c_13m_asd_no-OAR,pervious,green veg,pickleweed
220420c_16m_asd_no-OAR,pervious,green veg,pickleweed
220420c_17m_asd_no-OAR,pervious,green veg,pickleweed
220420d_12m_asd_no-OAR,pervious,green veg,pickleweed
220420d_23m_asd_no-OAR,pervious,green veg,pickleweed
220420d_24m_asd_no-OAR,pervious,green veg,pickleweed
220420d_2m_asd_no-OAR,pervious,green veg,pickleweed
220420d_30m_asd_no-OAR,pervious,green veg,pickleweed
220420d_4m_asd_no-OAR,pervious,green veg,pickleweed
220420d_8m_asd_no-OAR,pervious,green veg,pickleweed
greenveg_X196_Y48,pervious,green veg,green veg
greenveg_X201_Y45,pervious,green veg,green veg
greenveg_X209_Y34,pervious,green veg,green veg
greenveg_X218_Y247,pervious,green veg,green veg
greenveg_X225_Y41,pervious,green veg,green veg
greenveg_X231_Y39,pervious,green veg,green veg
greenveg_X83_Y198,pervious,green veg,green veg
Pickleweed_X149_Y76,Pervious,green veg,Pickleweed
Pickleweed_X170_Y90,Pervious,green veg,Pickleweed
Pickleweed_X175_Y257,Pervious,green veg,Pickleweed
Pickleweed_X176_Y92,Pervious,green veg,Pickleweed
Pickleweed_X179_Y250,Pervious,green veg,Pickleweed
Pickleweed_X179_Y94,Pervious,green veg,Pickleweed
Pickleweed_X185_Y145,Pervious,green veg,Pickleweed
Pickleweed_X198_Y51,Pervious,green veg,Pickleweed
Pickleweed_X215_Y163,Pervious,green veg,Pickleweed
Uplands_X110_Y160,Pervious,green veg,Uplands
Uplands_X143_Y171,Pervious,green veg,Uplands
Uplands_X143_Y81,Pervious,green veg,Uplands
Uplands_X166_Y52,Pervious,green veg,Uplands
Uplands_X168_Y121,Pervious,green veg,Uplands
Uplands_X188_Y51,Pervious,green veg,Uplands
Uplands_X193_Y45,Pervious,green veg,Uplands
Uplands_X197_Y46,Pervious,green veg,Uplands
Uplands_X237_Y70,Pervious,green veg,Uplands
220420a_15m_asd_no-OAR,pervious,npv,npv
220420a_16m_asd_no-OAR,pervious,npv,npv
220420c_20m_asd_no-OAR,pervious,npv,npv
NPV_X130_Y187,Pervious,NPV,NPV
npv_X130_Y265,pervious,npv,npv
NPV_X151_Y331,Pervious,NPV,NPV
npv_X167_Y142,pervious,npv,npv
NPV_X236_Y70,Pervious,NPV,NPV
NPV_X24_Y102,Pervious,NPV,NPV
npv_X31_Y107,pervious,npv,npv
npv_X93_Y36,pervious,npv,npv
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X165_Y243,Pervious,Water,Algae/Water
Algae/Water_X166_Y190,Pervious,Water,Algae/Water
Algae/Water_X166_Y244,Pervious,Water,Algae/Water
Algae/Water_X173_Y223,Pervious,Water,Algae/Water
Algae/Water_X177_Y211,Pervious,Water,Algae/Water
Algae/Water_X181_Y208,Pervious,Water,Algae/Water
Algae/Water_X185_Y202,Pervious,Water,Algae/Water
