Name,Meta1,Meta2,Meta3
mudflat_X166_Y195,pervious,bare soil,mud flat
mudflat_X185_Y108,pervious,bare soil,mud flat
mudflat_X201_Y213,pervious,bare soil,mud flat
mudflat_X216_Y150,pervious,bare soil,mud flat
mudflat_X203_Y195,pervious,bare soil,mud flat
greenveg_X175_Y109,pervious,green veg,green veg
greenveg_X191_Y49,pervious,green veg,green veg
algae_X184_Y229,pervious,water,algae
algae_X180_Y218,pervious,water,algae
water_X213_Y355,pervious,water,water
water_X124_Y282,pervious,water,water
water_X21_Y275,pervious,water,water
npv_X158_Y331,pervious,npv,npv
