Name,Meta1,Meta2,Meta3
mudflat_X200_Y212,pervious,bare soil,mudflat
mudflat_X162_Y177,pervious,bare soil,mudflat
mudflat_X166_Y191,pervious,bare soil,mudflat
mudflat_X216_Y146,pervious,bare soil,mudflat
mudflat_X179_Y74,pervious,bare soil,mudflat
mudflat_X196_Y67,pervious,bare soil,mudflat
algae_X147_Y231,pervious,water,algae
algae_X184_Y229,pervious,water,algae
algae_X184_Y205,pervious,water,algae
pickleweed_X180_Y262,pervious,green veg,pickleweed
pickleweed_X230_Y131,pervious,green veg,pickleweed
pickleweed_X158_Y82,pervious,green veg,pickleweed
