Name,Meta1,Meta2,Meta3,brightness
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil,0.340290
BareSoil_X182_Y120,pervious,Bare Soil,Bare Soil,0.463053
BareSoil_X184_Y114,pervious,Bare Soil,Bare Soil,0.530587
BareSoil_X211_Y39,pervious,Bare Soil,Bare Soil,0.448694
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil,0.414037
BareSoil_X219_Y150,Pervious,Bare Soil,Bare Soil,0.127626
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil,0.238258
220420b_0m_asd_no-OAR,pervious,green veg,high marsh,0.207396
greenveg_X196_Y48,pervious,green veg,green veg,0.258239
greenveg_X218_Y247,pervious,green veg,green veg,0.252790
greenveg_X83_Y198,pervious,green veg,green veg,0.278168
Pickleweed_X185_Y145,Pervious,green veg,Pickleweed,0.203421
Uplands_X168_Y121,Pervious,green veg,Uplands,0.206493
Uplands_X188_Y51,Pervious,green veg,Uplands,0.269723
NPV_X151_Y331,Pervious,NPV,NPV,0.325077
npv_X167_Y142,pervious,npv,npv,0.308867
NPV_X236_Y70,Pervious,NPV,NPV,0.280305
Algae/Water_X173_Y223,Pervious,Water,Algae/Water,0.0910748
Water_X172_Y208,Pervious,Water,Shallow Water,0.0742376
Water_X192_Y177,Pervious,Water,Shallow Water,0.0915631
Water_X204_Y145,Pervious,Water,Shallow Water,0.125055
