Name,Meta1,Meta2,Meta3
Pickleweed_X217_Y161,Pervious,Plants,Pickleweed
Pickleweed_X180_Y94,Pervious,Plants,Pickleweed
Pickleweed_X176_Y92,Pervious,Plants,Pickleweed
Pickleweed_X170_Y90,Pervious,Plants,Pickleweed
Pickleweed_X166_Y88,Pervious,Plants,Pickleweed
Pickleweed_X149_Y76,Pervious,Plants,Pickleweed
Uplands_X143_Y81,Pervious,Plants,Uplands
Uplands_X167_Y102,Pervious,Plants,Uplands
BareSoil_X220_Y159,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil
BareSoil_X190_Y121,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y147,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y151,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y152,Pervious,Bare Soil,Bare Soil
