Name,Meta1,Meta2,Meta3
BareSoil_X211_Y39,pervious,Bare Soil,Bare Soil
BareSoil_X100_Y181,pervious,Bare Soil,Bare Soil
BareSoil_X184_Y114,pervious,Bare Soil,Bare Soil
BareSoil_X181_Y110,pervious,Bare Soil,Bare Soil
BareSoil_X181_Y120,pervious,Bare Soil,Bare Soil
BareSoil_X182_Y120,pervious,Bare Soil,Bare Soil
greenveg_X196_Y48,pervious,green veg,green veg
greenveg_X201_Y45,pervious,green veg,green veg
greenveg_X231_Y39,pervious,green veg,green veg
greenveg_X225_Y41,pervious,green veg,green veg
greenveg_X209_Y34,pervious,green veg,green veg
greenveg_X218_Y247,pervious,green veg,green veg
greenveg_X83_Y198,pervious,green veg,green veg
npv_X130_Y265,pervious,npv,npv
npv_X167_Y142,pervious,npv,npv
npv_X93_Y36,pervious,npv,npv
npv_X31_Y107,pervious,npv,npv
