Name,Meta1,Meta2,Meta3,brightness
Algae/Water_X164_Y189,Pervious,Water,Algae/Water,0.0650929
Algae/Water_X164_Y189,Pervious,Water,Algae/Water,0.0909229
Algae/Water_X165_Y175,Pervious,Water,Algae/Water,0.145025
Algae/Water_X165_Y243,Pervious,Water,Algae/Water,0.104938
Algae/Water_X166_Y190,Pervious,Water,Algae/Water,0.0709761
Algae/Water_X166_Y244,Pervious,Water,Algae/Water,0.103061
Algae/Water_X168_Y179,Pervious,Water,Algae/Water,0.149370
Algae/Water_X169_Y185,Pervious,Water,Algae/Water,0.140406
Algae/Water_X173_Y223,Pervious,Water,Algae/Water,0.0910748
Algae/Water_X177_Y211,Pervious,Water,Algae/Water,0.0632183
Algae/Water_X181_Y208,Pervious,Water,Algae/Water,0.0737767
Algae/Water_X185_Y202,Pervious,Water,Algae/Water,0.0589255
BareSoil_X171_Y181,Pervious,Bare Soil,Bare Soil,0.159009
BareSoil_X172_Y179,Pervious,Bare Soil,Bare Soil,0.152353
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil,0.496745
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil,0.340290
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil,0.230117
BareSoil_X184_Y110,Pervious,Bare Soil,Bare Soil,0.526014
BareSoil_X184_Y111,Pervious,Bare Soil,Bare Soil,0.538551
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil,0.395471
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil,0.332779
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil,0.350083
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil,0.414037
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil,0.261548
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil,0.246053
BareSoil_X217_Y151,Pervious,Bare Soil,Bare Soil,0.259044
BareSoil_X217_Y152,Pervious,Bare Soil,Bare Soil,0.221658
BareSoil_X219_Y147,Pervious,Bare Soil,Bare Soil,0.234742
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil,0.238258
Pickleweed_X149_Y76,Pervious,Plants,Pickleweed,0.146849
Pickleweed_X157_Y148,Pervious,Plants,Pickleweed,0.191546
Pickleweed_X166_Y88,Pervious,Plants,Pickleweed,0.151851
Pickleweed_X168_Y143,Pervious,Plants,Pickleweed,0.201658
Pickleweed_X170_Y90,Pervious,Plants,Pickleweed,0.166954
Pickleweed_X175_Y257,Pervious,Plants,Pickleweed,0.175144
Pickleweed_X175_Y92,Pervious,Plants,Pickleweed,0.191804
Pickleweed_X176_Y92,Pervious,Plants,Pickleweed,0.169245
Pickleweed_X179_Y140,Pervious,Plants,Pickleweed,0.205611
Pickleweed_X179_Y250,Pervious,Plants,Pickleweed,0.147718
Pickleweed_X179_Y94,Pervious,Plants,Pickleweed,0.155219
Pickleweed_X185_Y145,Pervious,Plants,Pickleweed,0.203421
Pickleweed_X198_Y49,Pervious,Plants,Pickleweed,0.190416
Pickleweed_X198_Y51,Pervious,Plants,Pickleweed,0.196861
Pickleweed_X200_Y49,Pervious,Plants,Pickleweed,0.174904
Pickleweed_X203_Y175,Pervious,Plants,Pickleweed,0.167190
