Name,Meta1,Meta2,Meta3
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X165_Y175,Pervious,Water,Algae/Water
Algae/Water_X165_Y243,Pervious,Water,Algae/Water
Algae/Water_X166_Y190,Pervious,Water,Algae/Water
Algae/Water_X166_Y244,Pervious,Water,Algae/Water
Algae/Water_X168_Y179,Pervious,Water,Algae/Water
Algae/Water_X169_Y185,Pervious,Water,Algae/Water
Algae/Water_X173_Y223,Pervious,Water,Algae/Water
Algae/Water_X177_Y211,Pervious,Water,Algae/Water
Algae/Water_X181_Y208,Pervious,Water,Algae/Water
Algae/Water_X185_Y202,Pervious,Water,Algae/Water
BareSoil_X171_Y181,Pervious,Bare Soil,Bare Soil
BareSoil_X172_Y179,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil
BareSoil_X184_Y110,Pervious,Bare Soil,Bare Soil
BareSoil_X184_Y111,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y151,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y152,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y147,Pervious,Bare Soil,Bare Soil
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil
Pickleweed_X149_Y76,Pervious,green veg,Pickleweed
Pickleweed_X157_Y148,Pervious,green veg,Pickleweed
Pickleweed_X166_Y88,Pervious,green veg,Pickleweed
Pickleweed_X168_Y143,Pervious,green veg,Pickleweed
Pickleweed_X170_Y90,Pervious,green veg,Pickleweed
Pickleweed_X175_Y257,Pervious,green veg,Pickleweed
Pickleweed_X175_Y92,Pervious,green veg,Pickleweed
Pickleweed_X176_Y92,Pervious,green veg,Pickleweed
Pickleweed_X179_Y140,Pervious,green veg,Pickleweed
Pickleweed_X179_Y250,Pervious,green veg,Pickleweed
Pickleweed_X179_Y94,Pervious,green veg,Pickleweed
Pickleweed_X185_Y145,Pervious,green veg,Pickleweed
Pickleweed_X198_Y49,Pervious,green veg,Pickleweed
Pickleweed_X198_Y51,Pervious,green veg,Pickleweed
Pickleweed_X200_Y49,Pervious,green veg,Pickleweed
Pickleweed_X203_Y175,Pervious,green veg,Pickleweed
Pickleweed_X215_Y163,Pervious,green veg,Pickleweed
Pickleweed_X217_Y163,Pervious,green veg,Pickleweed
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water
ShallowWater_X148_Y199,Pervious,Water,Shallow Water
ShallowWater_X176_Y84,Pervious,Water,Shallow Water
ShallowWater_X177_Y85,Pervious,Water,Shallow Water
ShallowWater_X178_Y167,Pervious,Water,Shallow Water
ShallowWater_X185_Y187,Pervious,Water,Shallow Water
ShallowWater_X196_Y192,Pervious,Water,Shallow Water
ShallowWater_X199_Y54,Pervious,Water,Shallow Water
ShallowWater_X201_Y145,Pervious,Water,Shallow Water
ShallowWater_X205_Y206,Pervious,Water,Shallow Water
ShallowWater_X214_Y158,Pervious,Water,Shallow Water
ShallowWater_X215_Y159,Pervious,Water,Shallow Water
Uplands_X108_Y150,Pervious,green veg,Uplands
Uplands_X110_Y160,Pervious,green veg,Uplands
Uplands_X113_Y71,Pervious,green veg,Uplands
Uplands_X135_Y115,Pervious,green veg,Uplands
Uplands_X143_Y171,Pervious,green veg,Uplands
Uplands_X143_Y81,Pervious,green veg,Uplands
Uplands_X166_Y106,Pervious,green veg,Uplands
Uplands_X166_Y52,Pervious,green veg,Uplands
Uplands_X167_Y102,Pervious,green veg,Uplands
Uplands_X168_Y121,Pervious,green veg,Uplands
Uplands_X188_Y50,Pervious,green veg,Uplands
Uplands_X188_Y51,Pervious,green veg,Uplands
Uplands_X193_Y45,Pervious,green veg,Uplands
Uplands_X197_Y46,Pervious,green veg,Uplands
Uplands_X237_Y70,Pervious,green veg,Uplands
Water_X120_Y285,Pervious,Water,Water
Water_X128_Y280,Pervious,Water,Water
Water_X150_Y221,Pervious,Water,Water
Water_X174_Y191,Pervious,Water,Water
Water_X175_Y192,Pervious,Water,Water
Water_X187_Y90,Pervious,Water,Water
Water_X193_Y98,Pervious,Water,Water
Water_X197_Y61,Pervious,Water,Water
Water_X212_Y142,Pervious,Water,Water
Water_X55_Y38,Pervious,Water,Water
Water_X71_Y30,Pervious,Water,Water
