Name,Meta1,Meta2,Meta3
Pickleweed_X185_Y145,Pervious,Plants,Pickleweed
Pickleweed_X187_Y144,Pervious,Plants,Pickleweed
Pickleweed_X188_Y144,Pervious,Plants,Pickleweed
Pickleweed_X203_Y175,Pervious,Plants,Pickleweed
Pickleweed_X175_Y257,Pervious,Plants,Pickleweed
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil
BareSoil_X190_Y121,Pervious,Bare Soil,Bare Soil
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y51,Pervious,Bare Soil,Bare Soil
