Name,Meta1,Meta2,Meta3
220420c.22m.asd                 No-OAR,pervious,bare soil,bare soil
220420c.25m.asd                 No-OAR,pervious,bare soil,bare soil
220420c.27m.asd                 No-OAR,pervious,bare soil,bare soil
220420c.28m.asd                 No-OAR,pervious,bare soil,bare soil
BareSoil_X171_Y181,Pervious,Bare Soil,Bare Soil
BareSoil_X172_Y179,Pervious,Bare Soil,Bare Soil
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil
BareSoil_X184_Y110,Pervious,Bare Soil,Bare Soil
BareSoil_X184_Y111,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y147,Pervious,Bare Soil,Bare Soil
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil
220420b.0m.asd                 No-OAR,pervious,green veg,high marsh
220420c.13m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.16m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.17m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.12m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.23m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.24m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.2m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.30m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.4m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.8m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.13m.asd                 No-OAR,pervious,npv,npv
220420a.15m.asd                 No-OAR,pervious,npv,npv
220420a.16m.asd                 No-OAR,pervious,npv,npv
220420b.20m.asd                 No-OAR,pervious,npv,npv
220420b.20m.asd                 No-OAR,pervious,npv,npv
220420b.24m.asd                 No-OAR,pervious,npv,npv
220420b.28m.asd                 No-OAR,pervious,npv,npv
220420b.28m.asd                 No-OAR,pervious,npv,npv
220420c.20m.asd                 No-OAR,pervious,npv,npv
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X165_Y175,Pervious,Water,Algae/Water
Algae/Water_X165_Y243,Pervious,Water,Algae/Water
Algae/Water_X166_Y190,Pervious,Water,Algae/Water
Algae/Water_X166_Y244,Pervious,Water,Algae/Water
Algae/Water_X168_Y179,Pervious,Water,Algae/Water
Algae/Water_X169_Y185,Pervious,Water,Algae/Water
Algae/Water_X173_Y223,Pervious,Water,Algae/Water
Algae/Water_X177_Y211,Pervious,Water,Algae/Water
Algae/Water_X181_Y208,Pervious,Water,Algae/Water
Algae/Water_X185_Y202,Pervious,Water,Algae/Water
ShallowWater_X148_Y199,Pervious,Water,Shallow Water
ShallowWater_X176_Y84,Pervious,Water,Shallow Water
ShallowWater_X177_Y85,Pervious,Water,Shallow Water
ShallowWater_X178_Y167,Pervious,Water,Shallow Water
ShallowWater_X185_Y187,Pervious,Water,Shallow Water
ShallowWater_X196_Y192,Pervious,Water,Shallow Water
ShallowWater_X199_Y54,Pervious,Water,Shallow Water
ShallowWater_X201_Y145,Pervious,Water,Shallow Water
ShallowWater_X205_Y206,Pervious,Water,Shallow Water
ShallowWater_X214_Y158,Pervious,Water,Shallow Water
ShallowWater_X215_Y159,Pervious,Water,Shallow Water
Water_X120_Y285,Pervious,Water,Water
Water_X128_Y280,Pervious,Water,Water
Water_X150_Y221,Pervious,Water,Water
Water_X174_Y191,Pervious,Water,Water
Water_X175_Y192,Pervious,Water,Water
Water_X187_Y90,Pervious,Water,Water
Water_X193_Y98,Pervious,Water,Water
Water_X197_Y61,Pervious,Water,Water
Water_X212_Y142,Pervious,Water,Water
Water_X55_Y38,Pervious,Water,Water
Water_X71_Y30,Pervious,Water,Water
