Name,Meta1,Meta2,Meta3,brightness
220420c.22m.asd                 No-OAR,pervious,bare soil,bare soil,0.340538
220420c.25m.asd                 No-OAR,pervious,bare soil,bare soil,0.307084
220420c.27m.asd                 No-OAR,pervious,bare soil,bare soil,0.33678
220420c.28m.asd                 No-OAR,pervious,bare soil,bare soil,0.27698
BareSoil_X171_Y181,Pervious,Bare Soil,Bare Soil,0.159009
BareSoil_X172_Y179,Pervious,Bare Soil,Bare Soil,0.152353
BareSoil_X177_Y112,Pervious,Bare Soil,Bare Soil,0.496745
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil,0.34029
BareSoil_X182_Y118,Pervious,Bare Soil,Bare Soil,0.230117
BareSoil_X184_Y110,Pervious,Bare Soil,Bare Soil,0.526014
BareSoil_X184_Y111,Pervious,Bare Soil,Bare Soil,0.538551
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil,0.395471
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil,0.332779
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil,0.350083
BareSoil_X215_Y148,Pervious,Bare Soil,Bare Soil,0.414037
BareSoil_X217_Y137,Pervious,Bare Soil,Bare Soil,0.261548
BareSoil_X217_Y150,Pervious,Bare Soil,Bare Soil,0.246053
BareSoil_X219_Y147,Pervious,Bare Soil,Bare Soil,0.234742
BareSoil_X220_Y142,Pervious,Bare Soil,Bare Soil,0.238258
220420b.0m.asd                 No-OAR,pervious,green veg,high marsh,0.207396
220420c.13m.asd                 No-OAR,pervious,green veg,pickleweed,0.130307
220420c.16m.asd                 No-OAR,pervious,green veg,pickleweed,0.107833
220420c.17m.asd                 No-OAR,pervious,green veg,pickleweed,0.125028
220420d.12m.asd                 No-OAR,pervious,green veg,pickleweed,0.111406
220420d.23m.asd                 No-OAR,pervious,green veg,pickleweed,0.11181
220420d.24m.asd                 No-OAR,pervious,green veg,pickleweed,0.115219
220420d.2m.asd                 No-OAR,pervious,green veg,pickleweed,0.134102
220420d.30m.asd                 No-OAR,pervious,green veg,pickleweed,0.132469
220420d.4m.asd                 No-OAR,pervious,green veg,pickleweed,0.116865
220420d.8m.asd                 No-OAR,pervious,green veg,pickleweed,0.125482
Pickleweed_X149_Y76,Pervious,green veg,Pickleweed,0.146849
Pickleweed_X168_Y143,Pervious,green veg,Pickleweed,0.201658
Pickleweed_X170_Y90,Pervious,green veg,Pickleweed,0.166954
Pickleweed_X175_Y257,Pervious,green veg,Pickleweed,0.175144
Pickleweed_X176_Y92,Pervious,green veg,Pickleweed,0.169245
Pickleweed_X179_Y250,Pervious,green veg,Pickleweed,0.147718
Pickleweed_X179_Y94,Pervious,green veg,Pickleweed,0.155219
Pickleweed_X185_Y145,Pervious,green veg,Pickleweed,0.203421
Pickleweed_X198_Y51,Pervious,green veg,Pickleweed,0.196861
Pickleweed_X200_Y49,Pervious,green veg,Pickleweed,0.174904
Pickleweed_X203_Y175,Pervious,green veg,Pickleweed,0.16719
Pickleweed_X215_Y163,Pervious,green veg,Pickleweed,0.144559
Pickleweed_X217_Y163,Pervious,green veg,Pickleweed,0.148644
Uplands_X108_Y150,Pervious,green veg,Uplands,0.248105
Uplands_X110_Y160,Pervious,green veg,Uplands,0.234748
Uplands_X135_Y115,Pervious,green veg,Uplands,0.213739
Uplands_X143_Y171,Pervious,green veg,Uplands,0.246874
Uplands_X143_Y81,Pervious,green veg,Uplands,0.190849
Uplands_X166_Y106,Pervious,green veg,Uplands,0.247608
Uplands_X166_Y52,Pervious,green veg,Uplands,0.218862
Uplands_X167_Y102,Pervious,green veg,Uplands,0.279463
Uplands_X168_Y121,Pervious,green veg,Uplands,0.206493
Uplands_X188_Y51,Pervious,green veg,Uplands,0.269723
Uplands_X193_Y45,Pervious,green veg,Uplands,0.191301
Uplands_X197_Y46,Pervious,green veg,Uplands,0.213022
Uplands_X237_Y70,Pervious,green veg,Uplands,0.191182
220420a.13m.asd                 No-OAR,pervious,npv,npv,0.164562
220420a.15m.asd                 No-OAR,pervious,npv,npv,0.196121
220420a.16m.asd                 No-OAR,pervious,npv,npv,0.19959
220420b.20m.asd                 No-OAR,pervious,npv,npv,0.1913
220420b.20m.asd                 No-OAR,pervious,npv,npv,0.1913
220420b.24m.asd                 No-OAR,pervious,npv,npv,0.189785
220420b.28m.asd                 No-OAR,pervious,npv,npv,0.151095
220420b.28m.asd                 No-OAR,pervious,npv,npv,0.151095
220420c.20m.asd                 No-OAR,pervious,npv,npv,0.229047
Pickleweed_X157_Y148,Pervious,npv,npv,0.191546
Pickleweed_X166_Y88,Pervious,npv,npv,0.151851
Pickleweed_X175_Y92,Pervious,npv,npv,0.191804
Pickleweed_X179_Y140,Pervious,npv,npv,0.205611
Pickleweed_X198_Y49,Pervious,npv,npv,0.190416
Uplands_X113_Y71,Pervious,npv,npv,0.222162
Uplands_X188_Y50,Pervious,npv,npv,0.250378
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water,0.0325934
Algae/Water_X164_Y189,Pervious,Water,Algae/Water,0.0650929
Algae/Water_X164_Y189,Pervious,Water,Algae/Water,0.0909229
Algae/Water_X165_Y175,Pervious,Water,Algae/Water,0.145025
Algae/Water_X165_Y243,Pervious,Water,Algae/Water,0.104938
Algae/Water_X166_Y190,Pervious,Water,Algae/Water,0.0709761
Algae/Water_X166_Y244,Pervious,Water,Algae/Water,0.103061
Algae/Water_X168_Y179,Pervious,Water,Algae/Water,0.14937
Algae/Water_X169_Y185,Pervious,Water,Algae/Water,0.140406
Algae/Water_X173_Y223,Pervious,Water,Algae/Water,0.0910748
Algae/Water_X177_Y211,Pervious,Water,Algae/Water,0.0632183
