Name,Meta1,Meta2,Meta3
Pickleweed_X200_Y50,Pervious,Plants,Pickleweed
Pickleweed_X198_Y50,Pervious,Plants,Pickleweed
Pickleweed_X195_Y52,Pervious,Plants,Pickleweed
Pickleweed_X217_Y162,Pervious,Plants,Pickleweed
Pickleweed_X217_Y163,Pervious,Plants,Pickleweed
Pickleweed_X167_Y144,Pervious,Plants,Pickleweed
Pickleweed_X168_Y144,Pervious,Plants,Pickleweed
Pickleweed_X169_Y144,Pervious,Plants,Pickleweed
ShallowWater_X137_Y49,Pervious,Water,Shallow Water
ShallowWater_X198_Y199,Pervious,Water,Shallow Water
