Name,Meta1,Meta2,Meta3
Algae/Water_X164_Y186,Pervious,Water,Algae/Water
Algae/Water_X164_Y187,Pervious,Water,Algae/Water
Algae/Water_X168_Y226,Pervious,Water,Algae/Water
Algae/Water_X169_Y190,Pervious,Water,Algae/Water
Algae/Water_X170_Y226,Pervious,Water,Algae/Water
BareSoil_X163_Y98,Pervious,Bare Soil,Bare Soil
BareSoil_X173_Y172,Pervious,Bare Soil,Bare Soil
BareSoil_X179_Y116,Pervious,Bare Soil,Bare Soil
BareSoil_X182_Y113,Pervious,Bare Soil,Bare Soil
BareSoil_X187_Y154,Pervious,Bare Soil,Bare Soil
BareSoil_X200_Y56,Pervious,Bare Soil,Bare Soil
BareSoil_X205_Y144,Pervious,Bare Soil,Bare Soil
BareSoil_X211_Y166,Pervious,Bare Soil,Bare Soil
Pickleweed_X176_Y92,Pervious,Plants,Pickleweed
Pickleweed_X177_Y252,Pervious,Plants,Pickleweed
Pickleweed_X177_Y92,Pervious,Plants,Pickleweed
Pickleweed_X180_Y140,Pervious,Plants,Pickleweed
Pickleweed_X181_Y94,Pervious,Plants,Pickleweed
Pickleweed_X182_Y94,Pervious,Plants,Pickleweed
Pickleweed_X185_Y143,Pervious,Plants,Pickleweed
Pickleweed_X186_Y143,Pervious,Plants,Pickleweed
Pickleweed_X193_Y52,Pervious,Plants,Pickleweed
Pickleweed_X194_Y54,Pervious,Plants,Pickleweed
Pickleweed_X196_Y51,Pervious,Plants,Pickleweed
Pickleweed_X212_Y203,Pervious,Plants,Pickleweed
Pickleweed_X213_Y153,Pervious,Plants,Pickleweed
Pickleweed_X217_Y162,Pervious,Plants,Pickleweed
Pickleweed_X228_Y153,Pervious,Plants,Pickleweed
ShallowWater_X181_Y198,Pervious,Water,Shallow Water
ShallowWater_X181_Y199,Pervious,Water,Shallow Water
ShallowWater_X184_Y94,Pervious,Water,Shallow Water
ShallowWater_X198_Y55,Pervious,Water,Shallow Water
ShallowWater_X201_Y204,Pervious,Water,Shallow Water
ShallowWater_X206_Y203,Pervious,Water,Shallow Water
Uplands_X133_Y166,Pervious,Plants,Uplands
Uplands_X175_Y131,Pervious,Plants,Uplands
Uplands_X175_Y249,Pervious,Plants,Uplands
Uplands_X176_Y131,Pervious,Plants,Uplands
Uplands_X177_Y135,Pervious,Plants,Uplands
Uplands_X186_Y51,Pervious,Plants,Uplands
Uplands_X187_Y46,Pervious,Plants,Uplands
Water_X143_Y198,Pervious,Water,Water
Water_X149_Y237,Pervious,Water,Water
Water_X149_Y241,Pervious,Water,Water
Water_X154_Y207,Pervious,Water,Water
Water_X156_Y65,Pervious,Water,Water
Water_X205_Y110,Pervious,Water,Water
Water_X206_Y110,Pervious,Water,Water
