Name,META1,META2,META3
Pickleweed_X198_Y51,Pervious,Plants,Pickleweed
Pickleweed_X201_Y50,Pervious,Plants,Pickleweed
Pickleweed_X189_Y57,Pervious,Plants,Pickleweed
Pickleweed_X180_Y94,Pervious,Plants,Pickleweed
Pickleweed_X195_Y53,Pervious,Plants,Pickleweed
Uplands_X199_Y47,Pervious,Plants,Uplands
Uplands_X189_Y48,Pervious,Plants,Uplands
Uplands_X189_Y49,Pervious,Plants,Uplands
BareSoil_X190_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X199_Y38,Pervious,Bare Soil,Bare Soil
BareSoil_X200_Y38,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y50,Pervious,Bare Soil,Bare Soil
BareSoil_X207_Y50,Pervious,Bare Soil,Bare Soil
