Name,Meta1,Meta2,Meta3
Algae/Water_X177_Y217,Pervious,Water,Algae/Water
Algae/Water_X176_Y217,Pervious,Water,Algae/Water
Algae/Water_X171_Y224,Pervious,Water,Algae/Water
Algae/Water_X172_Y224,Pervious,Water,Algae/Water
BareSoil_X179_Y153,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y152,Pervious,Bare Soil,Bare Soil
BareSoil_X203_Y140,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y153,Pervious,Bare Soil,Bare Soil
BeachSand_X72_Y305,Pervious,Bare Soil,Beach Sand
BeachSand_X71_Y305,Pervious,Bare Soil,Beach Sand
BeachSand_X135_Y363,Pervious,Bare Soil,Beach Sand
BeachSand_X71_Y303,Pervious,Bare Soil,Beach Sand
HighMarsh_X198_Y47,Pervious,Plants,High Marsh
HighMarsh_X194_Y48,Pervious,Plants,High Marsh
HighMarsh_X198_Y47,Pervious,Plants,High Marsh
MarshSand_X186_Y114,Pervious,Bare Soil,Marsh Sand
MarshSand_X179_Y111,Pervious,Bare Soil,Marsh Sand
MarshSand_X178_Y119,Pervious,Bare Soil,Marsh Sand
MarshSand_X179_Y120,Pervious,Bare Soil,Marsh Sand
Mud_X178_Y87,Pervious,Bare Soil,Mud
Mud_X179_Y88,Pervious,Bare Soil,Mud
220302b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.20m.asd                 No-OAR,Pervious,Plants,Pickleweed
Pickleweed_X177_Y93,Pervious,Plants,Pickleweed
Pickleweed_X201_Y50,Pervious,Plants,Pickleweed
220302b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed
ShallowWater_X203_Y211,Pervious,Water,Shallow Water
ShallowWater_X202_Y211,Pervious,Water,Shallow Water
ShallowWater_X200_Y59,Pervious,Water,Shallow Water
ShallowWater_X200_Y60,Pervious,Water,Shallow Water
Trees_X136_Y152,Pervious,Plants,Trees
Trees_X136_Y153,Pervious,Plants,Trees
Trees_X219_Y186,Pervious,Plants,Trees
Uplands_X143_Y104,Pervious,Plants,Uplands
Uplands_X232_Y23,Pervious,Plants,Uplands
Uplands_X233_Y22,Pervious,Plants,Uplands
Water_X199_Y103,Pervious,Water,Water
Water_X210_Y122,Pervious,Water,Water
Water_X198_Y103,Pervious,Water,Water
Water_X174_Y193,Pervious,Water,Water
WetSand_X98_Y349,Pervious,Bare Soil,Wet Sand
WetSand_X97_Y350,Pervious,Bare Soil,Wet Sand
WetSand_X97_Y349,Pervious,Bare Soil,Wet Sand
WetSand_X143_Y363,Pervious,Bare Soil,Wet Sand
