Name,Meta1,Meta2,Meta3
220302b.0m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.1m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.2m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.3m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.4m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.5m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.6m.asd                 No-OAR,Pervious,Plants,Uplands
220302b.00050.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.9m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.15m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.18m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.19m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.20m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.21m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.22m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.23m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.25m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220302b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220302b.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220302b.29m.asd                 No-OAR,Pervious,Plants,Pickleweed
220302b.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220302b.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220302b.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
