Name,Meta1,Meta2,Meta3
220406c.0m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.1m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.2m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.3m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.4m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.5m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.6m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.7m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.9m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.15m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.18m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.19m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.20m.asd                 No-OAR,Pervious,Plants,Pickleweed
220406c.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.23m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
