Name,Meta1,Meta2,Meta3
220415d.0m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.1m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.2m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.3m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.4m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.5m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.6m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.7m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.9m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.15m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220415d.18m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.19m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.20m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.23m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.29m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
