Name,Meta1,Meta2,Meta3
220415d.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
220415c.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415c.29m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.18m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.19m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.20m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.23m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.29m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415d.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220415a.9m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.8.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.7m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.6m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.5m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.4m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.3m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.2m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.1m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.10m.asd                 No-OAR,Pervious,Plant,High Marsh
220415a.0m.asd                 No-OAR,Pervious,Plant,High Marsh
220415b.0m.asd                 No-OAR,Pervious,Plants,High Marsh
220415a.12m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
220415a.14m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
220415a.15m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
220415a.16m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
220415a.17m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
220415a.18m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
220415a.19m.asd                 No-OAR,Pervious,Plant,Mixed Marsh
