Name,Meta1,Meta2
220420b.0m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.1m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.2m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.3m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.4m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.5m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.6m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.7m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.8m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.9m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.10m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.11m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.12m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.13m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.14m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.15m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.16m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.17m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.18m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.19m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.20m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.21m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.22m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.23m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.24m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.25m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.26m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.27m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.28m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.29m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.30m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.31m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420b.32m.asd                 No-OAR  ,pervious,Marsh
