Name,Meta1,Meta2
220420d.0m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.1m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.2m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.3m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.4m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.5m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.6m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.7m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.8m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.9m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.10m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.11m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.12m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.13m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.14m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.15m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.16m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.17m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.18m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.19m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.20m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.21m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.22m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.23m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.24m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.25m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.26m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.27m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.28m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.29m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.30m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.31m.asd                 No-OAR,pervious,Marsh
errorbars to prev. rec(stddev of mean),pervious,Marsh
std. dev. to previous data record,pervious,Marsh
220420d.32m.asd                 No-OAR  ,pervious,Marsh
