Name,Meta1,Meta2,Meta3
220420b.4m.asd                 No-OAR,pervious,green veg,mixed
220420d.25m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.27m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.3m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.31m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.0m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.28m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.12m.asd                 No-OAR,pervious,mixed,mixed
220420d.14m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.10m.asd                 No-OAR,pervious,mixed,mixed
220420d.19m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.2m.asd                 No-OAR,pervious,green veg,high marsh
220420d.10m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.26m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.16m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.32m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.12m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.21m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.23m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.11m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.8m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.13m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.24m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.4m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.9m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.15m.asd                 No-OAR,pervious,npv,npv
220420d.15m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.29m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.9m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.22m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.13m.asd                 No-OAR,pervious,mixed,mixed
220420d.11m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.15m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.18m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.9m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.23m.asd                 No-OAR,pervious,mixed,mixed
220420d.5m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.17m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.20m.asd                 No-OAR,pervious,npv,npv
220420d.8m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.1m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.2m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.19m.asd                 No-OAR,pervious,npv,npv
220420a.3m.asd                 No-OAR,pervious,mixed,mixed
220420a.4m.asd                 No-OAR,pervious,mixed,mixed
220420b.32m.asd                 No-OAR,pervious,bare soil,bare soil
220420a.1m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.13m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.6m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.17m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.16m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.30m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.22m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.6m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.2m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.21m.asd                 No-OAR,pervious,npv,npv
220420c.7m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.20m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.6m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.14m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.24m.asd                 No-OAR,pervious,mixed,mixed
220420a.18m.asd                 No-OAR,pervious,mixed,mixed
220420b.18m.asd                 No-OAR,pervious,mixed,mixed
220420d.7m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.7m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.17m.asd                 No-OAR,pervious,mixed,mixed
220420a.7m.asd                 No-OAR,pervious,npv,npv
