Name,Meta1,Meta2,Meta3
220420c.22m.asd                 No-OAR,pervious,bare soil,bare soil
220420b.0m.asd                 No-OAR,pervious,green veg,high marsh
220420c.20m.asd                 No-OAR,pervious,npv,npv
220420b.20m.asd                 No-OAR,pervious,npv,npv
220420a.13m.asd                 No-OAR,pervious,npv,npv
220420d.30m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.17m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.2m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.24m.asd                 No-OAR,pervious,npv,npv
220420c.28m.asd                 No-OAR,pervious,bare soil,bare soil
220420c.25m.asd                 No-OAR,pervious,bare soil,bare soil
220420c.27m.asd                 No-OAR,pervious,bare soil,bare soil
220420d.12m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.28m.asd                 No-OAR,pervious,npv,npv
220420d.4m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.24m.asd                 No-OAR,pervious,green veg,pickleweed
220420b.20m.asd                 No-OAR,pervious,npv,npv
220420b.28m.asd                 No-OAR,pervious,npv,npv
220420c.13m.asd                 No-OAR,pervious,green veg,pickleweed
220420d.23m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.16m.asd                 No-OAR,pervious,npv,npv
220420d.8m.asd                 No-OAR,pervious,green veg,pickleweed
220420c.16m.asd                 No-OAR,pervious,green veg,pickleweed
220420a.15m.asd                 No-OAR,pervious,npv,npv
