NAME,META1,META2,META3,BRIGHTNESS
220420b.4m.asd                 No-OAR,pervious,green veg,pickleweed/npv,0.089069700
220420b.12m.asd                 No-OAR,pervious,mixed,pickleweed/npv,0.10063000
220420b.10m.asd                 No-OAR,pervious,mixed,pickleweed/npv,0.10343600
220420b.15m.asd                 No-OAR,pervious,npv,npv,0.12006200
220420b.13m.asd                 No-OAR,pervious,mixed,pickleweed/npv,0.12194800
220420a.19m.asd                 No-OAR,pervious,npv,npv,0.12770200
220420b.32m.asd                 No-OAR,pervious,bare soil,bare soil,0.12958900
220420a.21m.asd                 No-OAR,pervious,npv,npv,0.13549700
220420b.14m.asd                 No-OAR,pervious,green veg,pickleweed,0.14249100
220420b.21m.asd                 No-OAR,pervious,bare soil,bare soil,0.16324700
220420b.5m.asd                 No-OAR,pervious,green veg,pickleweed,0.16386400
220420a.28m.asd                 No-OAR,pervious,mixed,pickleweed/npv,0.17010600
220420a.25m.asd                 No-OAR,pervious,npv,npv,0.17805000
220420b.0m.asd                 No-OAR,pervious,green veg,high marsh,0.20739600
220420b.23m.asd                 No-OAR,pervious,npv,npv,0.21738400
220420b.27m.asd                 No-OAR,pervious,bare soil,bare soil,0.24889400
220420b.26m.asd                 No-OAR,pervious,mixed,mixed,0.25627400
220420c.28m.asd                 No-OAR,pervious,bare soil,bare soil,0.27698000
220420c.0m.asd                 No-OAR,pervious,mixed,mixed,0.28858900
220420a.9m.asd                 No-OAR,pervious,mixed,mixed,0.28904800
220420c.26m.asd                 No-OAR,pervious,bare soil,bare soil,0.33907900
220420b.30m.asd                 No-OAR,pervious,bare soil,bare soil,0.33930400
220420c.22m.asd                 No-OAR,pervious,bare soil,bare soil,0.34053800
