Name,Meta1,Meta2,Meta3
220504c.0m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.1m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.2m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.3m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.4m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.5m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.6m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.7m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.9m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.15m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.18m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.19m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.20m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.21m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.29m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504c.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
