Name,Meta1,Meta2,Meta3
220504a.0m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.1m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.2m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.00020.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.4m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.5m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.6m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.7m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.9m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.15m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504a.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.18m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504a.19m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.20m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504a.22m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.23m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.24m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.25m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.26m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504a.28m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.29m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504a.31m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504a.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
