Name,Meta1,Meta2,Meta3
220510a.0m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.1m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.2m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.3m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.4m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.5m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.6m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.7m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.8m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.9m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510a.10m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.11m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.12m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.13m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.14m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.15m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.16m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.17m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.18m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.19m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.20m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.21m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.22m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.23m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.24m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.25m.asd                 No-OAR  ,Pervious,NPV,NPV
220510a.26m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.27m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.28m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.29m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.30m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.31m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510a.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
