Name,Meta1,Meta2,Meta3
220510d.30m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
220510d.0m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.1m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.2m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.3m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.4m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.5m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.6m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.7m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.8m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.9m.asd                 No-OAR   ,Pervious,Plants,Pickleweed
220510d.10m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.11m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.12m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.13m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.14m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.15m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.16m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.17m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.18m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.19m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.20m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.21m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.22m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.23m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.24m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.25m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.26m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.27m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
220510d.28m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
220510d.29m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
220510d.31m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
220510d.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
