Name,Meta1,Meta2,Meta3,brightness
22050c.22m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.418812
22050c.31m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.320811
22050c.30m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.336882
22050c.29m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.351200
22050c.28m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.401822
22050c.27m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.375990
22050c.26m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.381721
22050c.25m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.364315
22050c.24m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.409531
22050c.23m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.415027
22050c.32m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.338514
22050c.21m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.404147
22050c.20m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.409759
22050c.19m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.363904
22050c.18m.asd                  No-OAR  ,Pervious,Bare Soil,Bare Soil,0.278607
220510d.31m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.320233
220510d.29m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.333977
220510d.28m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.305075
220510d.30m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.319747
220510d.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.333469
220510b.2m.asd                 No-OAR   ,Pervious,Plants,High Marsh,0.198741
220510b.3m.asd                 No-OAR   ,Pervious,Plants,High Marsh,0.204372
220510b.4m.asd                 No-OAR   ,Pervious,Plants,High Marsh,0.200235
220510b.0m.asd                 No-OAR   ,Pervious,Plants,High Marsh,0.177490
220510b.1m.asd                 No-OAR   ,Pervious,Plants,High Marsh,0.198352
22050c.16m.asd                  No-OAR  ,Pervious,Mixed,Mixed,0.229143
22050c.17m.asd                  No-OAR  ,Pervious,Mixed,Mixed,0.246995
220510b.7m.asd                 No-OAR   ,Pervious,Plants,Mixed,0.0966789
220510b.8m.asd                 No-OAR   ,Pervious,Plants,Mixed,0.175152
220510b.9m.asd                 No-OAR   ,Pervious,Plants,Mixed,0.175800
220510b.6m.asd                 No-OAR   ,Pervious,Plants,Mixed,0.153074
220510b.11m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.175115
220510b.12m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.162245
220510b.13m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.129641
220510b.14m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.161386
220510b.10m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.149123
220510b.5m.asd                 No-OAR   ,Pervious,Plants,Mixed,0.167238
220510b.15m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.162096
220510b.16m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.132344
220510b.17m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.138969
220510b.18m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.158690
220510b.20m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.192426
220510b.19m.asd                 No-OAR  ,Pervious,Plants,Mixed,0.170798
220510a.25m.asd                 No-OAR  ,Pervious,NPV,NPV,0.251297
220510b.21m.asd                 No-OAR  ,Pervious,NPV,NPV,0.146220
220510b.28m.asd                 No-OAR  ,Pervious,NPV,NPV,0.241621
22050c.15m.asd                  No-OAR  ,Pervious,Plants,Pickleweed,0.184024
22050c.13m.asd                  No-OAR  ,Pervious,Plants,Pickleweed,0.181201
22050c.12m.asd                  No-OAR  ,Pervious,Plants,Pickleweed,0.206208
22050c.11m.asd                  No-OAR  ,Pervious,Plants,Pickleweed,0.147637
22050c.10m.asd                  No-OAR  ,Pervious,Plants,Pickleweed,0.135253
