Name,ROI_name,X_img,Y_img,WGS84_Lat,WGS84_Lon,Meta1,Meta2,Meta3
BareSoil_X218_Y155,Bare Soil,218,155,34.416385,-119.87378,Pervious,Bare Soil,Bare Soil
BareSoil_X219_Y155,Bare Soil,219,155,34.416386,-119.87373,Pervious,Bare Soil,Bare Soil
BareSoil_X220_Y155,Bare Soil,220,155,34.416388,-119.87367,Pervious,Bare Soil,Bare Soil
BareSoil_X218_Y156,Bare Soil,218,156,34.416342,-119.87378,Pervious,Bare Soil,Bare Soil
BeachSand_X70_Y303,Beach Sand,70,303,34.409805,-119.88128,Pervious,Bare Soil,Beach Sand
BeachSand_X71_Y303,Beach Sand,71,303,34.409806,-119.88123,Pervious,Bare Soil,Beach Sand
BeachSand_X72_Y303,Beach Sand,72,303,34.409807,-119.88118,Pervious,Bare Soil,Beach Sand
WetSand_X142_Y364,Wet Sand,142,364,34.407256,-119.87743,Pervious,Bare Soil,Wet Sand
WetSand_X143_Y364,Wet Sand,143,364,34.407257,-119.87738,Pervious,Bare Soil,Wet Sand
WetSand_X144_Y363,Wet Sand,144,363,34.407302,-119.87733,Pervious,Bare Soil,Wet Sand
WetSand_X143_Y363,Wet Sand,143,363,34.407301,-119.87738,Pervious,Bare Soil,Wet Sand
WetSand_X97_Y349,Wet Sand,97,349,34.407849,-119.8798,Pervious,Bare Soil,Wet Sand
WetSand_X98_Y349,Wet Sand,98,349,34.407851,-119.87975,Pervious,Bare Soil,Wet Sand
WetSand_X97_Y350,Wet Sand,97,350,34.407806,-119.8798,Pervious,Bare Soil,Wet Sand
WetSand_X98_Y350,Wet Sand,98,350,34.407807,-119.87975,Pervious,Bare Soil,Wet Sand
Water_X105_Y296,Water,105,296,34.410151,-119.87946,Pervious,Water,Water
Water_X106_Y296,Water,106,296,34.410152,-119.87941,Pervious,Water,Water
Water_X107_Y296,Water,107,296,34.410153,-119.87936,Pervious,Water,Water
Water_X108_Y296,Water,108,296,34.410154,-119.87931,Pervious,Water,Water
ShallowWater_X165_Y174,Shallow Water,165,174,34.415499,-119.87651,Pervious,Water,Shallow Water
ShallowWater_X166_Y174,Shallow Water,166,174,34.4155,-119.87646,Pervious,Water,Shallow Water
ShallowWater_X165_Y175,Shallow Water,165,175,34.415455,-119.87651,Pervious,Water,Shallow Water
Algae/Water_X175_Y217,Algae/Water,175,217,34.413652,-119.87593,Pervious,Water,Algae/Water
Algae/Water_X176_Y217,Algae/Water,176,217,34.413653,-119.87588,Pervious,Water,Algae/Water
Algae/Water_X177_Y217,Algae/Water,177,217,34.413654,-119.87583,Pervious,Water,Algae/Water
Algae/Water_X170_Y224,Algae/Water,170,224,34.413343,-119.87618,Pervious,Water,Algae/Water
Algae/Water_X171_Y224,Algae/Water,171,224,34.413344,-119.87613,Pervious,Water,Algae/Water
Algae/Water_X172_Y224,Algae/Water,172,224,34.413346,-119.87608,Pervious,Water,Algae/Water
Upalnds_X101_Y164,Upalnds,101,164,34.415852,-119.87987,Pervious,Plants,Upalnds
Upalnds_X102_Y164,Upalnds,102,164,34.415854,-119.87982,Pervious,Plants,Upalnds
Upalnds_X103_Y164,Upalnds,103,164,34.415855,-119.87976,Pervious,Plants,Upalnds
Upalnds_X104_Y164,Upalnds,104,164,34.415856,-119.87971,Pervious,Plants,Upalnds
Upalnds_X102_Y165,Upalnds,102,165,34.41581,-119.87981,Pervious,Plants,Upalnds
Upalnds_X103_Y165,Upalnds,103,165,34.415812,-119.87976,Pervious,Plants,Upalnds
Upalnds_X104_Y165,Upalnds,104,165,34.415813,-119.87971,Pervious,Plants,Upalnds
Trees_X136_Y152,Trees,136,152,34.416414,-119.87806,Pervious,Plants,Trees
Trees_X136_Y153,Trees,136,153,34.416371,-119.87806,Pervious,Plants,Trees
Uplands_X162_Y49,Uplands,162,49,34.420899,-119.87686,Pervious,Plants,Uplands
Uplands_X163_Y49,Uplands,163,49,34.4209,-119.8768,Pervious,Plants,Uplands
Uplands_X162_Y50,Uplands,162,50,34.420856,-119.87686,Pervious,Plants,Uplands
Mud_X178_Y87,Mud,178,87,34.419276,-119.87597,Pervious,Bare Soil,Mud
Mud_X179_Y88,Mud,179,88,34.419234,-119.87591,Pervious,Bare Soil,Mud
Pickleweed_X178_Y93,Pickleweed,178,93,34.419017,-119.87596,Pervious,Plants,Pickleweed
Pickleweed_X175_Y92,Pickleweed,175,92,34.419056,-119.87611,Pervious,Plants,Pickleweed
Pickleweed_X176_Y92,Pickleweed,176,92,34.419057,-119.87606,Pervious,Plants,Pickleweed
Pickleweed_X176_Y93,Pickleweed,176,93,34.419014,-119.87606,Pervious,Plants,Pickleweed
Pickleweed_X177_Y93,Pickleweed,177,93,34.419015,-119.87601,Pervious,Plants,Pickleweed
Pickleweed_X178_Y94,Pickleweed,178,94,34.418973,-119.87596,Pervious,Plants,Pickleweed
Pickleweed_X179_Y94,Pickleweed,179,94,34.418974,-119.8759,Pervious,Plants,Pickleweed
Pickleweed_X180_Y94,Pickleweed,180,94,34.418976,-119.87585,Pervious,Plants,Pickleweed
Pickleweed_X198_Y50,Pickleweed,198,50,34.4209,-119.87498,Pervious,Plants,Pickleweed
Pickleweed_X199_Y50,Pickleweed,199,50,34.420901,-119.87492,Pervious,Plants,Pickleweed
Pickleweed_X200_Y50,Pickleweed,200,50,34.420903,-119.87487,Pervious,Plants,Pickleweed
Pickleweed_X201_Y50,Pickleweed,201,50,34.420904,-119.87482,Pervious,Plants,Pickleweed
Pickleweed_X196_Y51,Pickleweed,196,51,34.420854,-119.87508,Pervious,Plants,Pickleweed
