Name,Meta1,Meta2,Meta3
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X164_Y190,Pervious,Water,Algae/Water
Algae/Water_X165_Y189,Pervious,Water,Algae/Water
Algae/Water_X165_Y190,Pervious,Water,Algae/Water
Algae/Water_X165_Y243,Pervious,Water,Algae/Water
Algae/Water_X165_Y244,Pervious,Water,Algae/Water
Algae/Water_X166_Y189,Pervious,Water,Algae/Water
Algae/Water_X166_Y190,Pervious,Water,Algae/Water
Algae/Water_X166_Y243,Pervious,Water,Algae/Water
Algae/Water_X166_Y244,Pervious,Water,Algae/Water
Algae/Water_X167_Y189,Pervious,Water,Algae/Water
Algae/Water_X167_Y190,Pervious,Water,Algae/Water
Algae/Water_X167_Y243,Pervious,Water,Algae/Water
Algae/Water_X173_Y223,Pervious,Water,Algae/Water
Algae/Water_X174_Y223,Pervious,Water,Algae/Water
Algae/Water_X192_Y210,Pervious,Water,Algae/Water
Algae/Water_X192_Y211,Pervious,Water,Algae/Water
Algae/Water_X193_Y210,Pervious,Water,Algae/Water
Algae/Water_X193_Y211,Pervious,Water,Algae/Water
220406b.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406b.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.23m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406c.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
BareSoil_X178_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X179_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X180_Y149,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y144,Pervious,Bare Soil,Bare Soil
BareSoil_X193_Y145,Pervious,Bare Soil,Bare Soil
BareSoil_X194_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X194_Y144,Pervious,Bare Soil,Bare Soil
BareSoil_X194_Y145,Pervious,Bare Soil,Bare Soil
BareSoil_X195_Y143,Pervious,Bare Soil,Bare Soil
BareSoil_X195_Y144,Pervious,Bare Soil,Bare Soil
BareSoil_X195_Y145,Pervious,Bare Soil,Bare Soil
BareSoil_X207_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X208_Y45,Pervious,Bare Soil,Bare Soil
BareSoil_X210_Y46,Pervious,Bare Soil,Bare Soil
BareSoil_X211_Y47,Pervious,Bare Soil,Bare Soil
BareSoil_X212_Y47,Pervious,Bare Soil,Bare Soil
220406b.16m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.17m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.18m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.19m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.20m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.21m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.22m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.23m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.24m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.28m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.29m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.30m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.31m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
FloodedPickleweed_X181_Y95,Pervious,Plants,Flooded Pickleweed
FloodedPickleweed_X182_Y95,Pervious,Plants,Flooded Pickleweed
FloodedPickleweed_X183_Y94,Pervious,Plants,Flooded Pickleweed
220406b.0m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.1m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.2m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.3m.asd                 No-OAR,Pervious,Plant,High Marsh
