Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.027263,0.022239,0.060867,0.084571
2,382.205658,0.000001,0.000006,0.000033,0.000077
3,-387.215637,0.000222,0.00016,0.008632,0.016109
4,392.225647,0.003881,0.005348,0.018998,0.039055
5,397.225647,0.009478,0.009507,0.026293,0.047835
6,402.235657,0.00803,0.009429,0.027729,0.049308
7,407.245636,0.014554,0.014558,0.035786,0.062232
8,412.255646,0.021533,0.022559,0.044426,0.075593
9,417.265656,0.022472,0.022588,0.046765,0.075937
10,422.275635,0.02423,0.025389,0.050417,0.081655
11,427.285645,0.02893,0.028868,0.055247,0.08893
12,432.295654,0.032318,0.031408,0.059112,0.094498
13,437.295654,0.032342,0.032967,0.06178,0.101535
14,442.305664,0.033179,0.034645,0.065332,0.106474
15,447.315643,0.03466,0.035338,0.067,0.111608
16,452.325653,0.035529,0.035223,0.071873,0.112706
17,457.335663,0.036448,0.037029,0.072629,0.116969
18,462.345642,0.036444,0.036973,0.072135,0.119962
19,467.355652,0.036124,0.036099,0.072107,0.119747
20,472.355652,0.037302,0.037039,0.073707,0.121855
21,477.365662,0.038674,0.038441,0.080172,0.126628
22,482.375641,0.040422,0.040332,0.082047,0.132467
23,487.385651,0.040706,0.041417,0.081334,0.135306
24,492.39566,0.040355,0.041163,0.082624,0.135962
25,497.40564,0.040981,0.041166,0.084142,0.141865
26,502.415649,0.043084,0.042336,0.088009,0.148304
27,507.425659,0.043741,0.043743,0.090349,0.149889
28,512.425659,0.044935,0.044991,0.091855,0.154667
29,517.435669,0.046398,0.04607,0.093822,0.158903
30,522.445679,0.04471,0.045489,0.094007,0.156091
31,527.455627,0.04698,0.046358,0.096197,0.161727
32,532.465637,0.048441,0.048604,0.100723,0.168532
33,537.475647,0.050308,0.051063,0.105189,0.174592
34,542.485657,0.050632,0.050895,0.105315,0.178022
35,547.485657,0.051142,0.051418,0.105669,0.179715
36,552.495667,0.051794,0.051786,0.107345,0.183566
37,557.505676,0.053119,0.052841,0.110913,0.188805
38,562.515625,0.052784,0.053512,0.112912,0.189768
39,567.525635,0.053247,0.052633,0.115065,0.19255
40,572.535645,0.054163,0.053331,0.116077,0.198412
41,577.545654,0.053267,0.053362,0.118901,0.198169
42,582.555664,0.053405,0.053161,0.118573,0.202177
43,587.555664,0.054701,0.054435,0.1193,0.205978
44,592.565674,0.055391,0.054889,0.122111,0.208014
45,597.575623,0.055344,0.054744,0.121904,0.208079
46,602.585632,0.055437,0.054443,0.124712,0.208952
47,607.595642,0.056833,0.055734,0.123645,0.212323
48,612.605652,0.056643,0.05565,0.126062,0.21443
49,617.615662,0.057382,0.056878,0.127726,0.215938
50,622.615662,0.0567,0.056446,0.124254,0.216861
51,627.625671,0.058461,0.056847,0.128225,0.218367
52,632.63562,0.057682,0.057032,0.127522,0.218722
53,637.64563,0.058786,0.057275,0.129255,0.220346
54,642.65564,0.059157,0.057747,0.129997,0.222365
55,647.665649,0.06019,0.058865,0.131511,0.226344
56,652.675659,0.059601,0.058059,0.13184,0.226424
57,657.685669,0.059022,0.057858,0.131305,0.224891
58,662.685669,0.059532,0.058504,0.134768,0.22907
59,667.695679,0.060179,0.058613,0.133671,0.230209
60,672.705627,0.060037,0.057932,0.136433,0.232441
61,677.715637,0.058132,0.056192,0.133706,0.235562
62,682.725647,0.059736,0.056764,0.13547,0.23569
