Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.037971,0.037392,0.039627,0.054149
2,382.205658,0.024266,0.023098,0.039756,0.049019
3,387.215637,0.025033,0.025768,0.039898,0.052133
4,392.225647,0.029551,0.030173,0.042739,0.06005
5,397.225647,0.028381,0.030378,0.043137,0.059903
6,402.235657,0.035878,0.037551,0.052722,0.072746
7,407.245636,0.034288,0.035576,0.051001,0.07123
8,412.255646,0.032363,0.033805,0.050191,0.068967
9,417.265656,0.033954,0.034749,0.051123,0.071581
10,422.275635,0.035139,0.036804,0.053573,0.074785
11,427.285645,0.03742,0.038968,0.055404,0.078
12,432.295654,0.038649,0.039894,0.056974,0.081073
13,437.295654,0.038569,0.040243,0.059366,0.083867
14,442.305664,0.04006,0.041767,0.061673,0.087964
15,447.315643,0.04073,0.042935,0.064332,0.090674
16,452.325653,0.042748,0.045175,0.067713,0.095525
17,457.335663,0.044553,0.046403,0.068409,0.098915
18,462.345642,0.045619,0.048055,0.07068,0.102036
19,467.355652,0.047965,0.05053,0.072817,0.105623
20,472.355652,0.049538,0.051131,0.075448,0.109231
21,477.365662,0.050908,0.053165,0.077666,0.112469
22,482.375641,0.052519,0.054651,0.07971,0.115097
23,487.385651,0.053248,0.055517,0.081516,0.11744
24,492.39566,0.054317,0.056612,0.084397,0.120713
25,497.40564,0.055273,0.058125,0.086239,0.124897
26,502.415649,0.05691,0.059567,0.087736,0.127851
27,507.425659,0.058041,0.060556,0.090506,0.131113
28,512.425659,0.059869,0.062123,0.091795,0.13547
29,517.435669,0.061787,0.064097,0.095084,0.139056
30,522.445679,0.062535,0.065578,0.096474,0.141627
31,527.455627,0.064047,0.067152,0.098177,0.14529
32,532.465637,0.065186,0.068432,0.101634,0.148704
33,537.475647,0.067279,0.07039,0.104388,0.153106
34,542.485657,0.069113,0.07176,0.105027,0.157698
35,547.485657,0.068983,0.072547,0.107974,0.161152
36,552.495667,0.070571,0.073397,0.110923,0.163793
37,557.505676,0.071859,0.075109,0.112415,0.167292
38,562.515625,0.072752,0.076463,0.114262,0.171705
39,567.525635,0.073981,0.077549,0.115148,0.173553
40,572.535645,0.074208,0.077885,0.117125,0.176338
41,577.545654,0.075481,0.078933,0.117954,0.180687
42,582.555664,0.076139,0.079193,0.119683,0.182324
43,587.555664,0.076823,0.080028,0.121345,0.184894
44,592.565674,0.078379,0.081321,0.122936,0.187837
45,597.575623,0.079275,0.082112,0.124397,0.189295
