transect,date,elevation,band,wavelength,reflectance
COPR 2 NS,2/24/2022,High,1,377.195648,0.004262
COPR 2 NS,2/24/2022,High,2,382.205658,-0.000029
COPR 2 NS,2/24/2022,High,3,387.215637,-0.000273
COPR 2 NS,2/24/2022,High,4,392.225647,0.003258
COPR 2 NS,2/24/2022,High,5,397.225647,0.007033
COPR 2 NS,2/24/2022,High,6,402.235657,0.007537
COPR 2 NS,2/24/2022,High,7,407.245636,0.011974
COPR 2 NS,2/24/2022,High,8,412.255646,0.019727
COPR 2 NS,2/24/2022,High,9,417.265656,0.019436
COPR 2 NS,2/24/2022,High,10,422.275635,0.021931
COPR 2 NS,2/24/2022,High,11,427.285645,0.025688
COPR 2 NS,2/24/2022,High,12,432.295654,0.028711
COPR 2 NS,2/24/2022,High,13,437.295654,0.029075
COPR 2 NS,2/24/2022,High,14,442.305664,0.03064
COPR 2 NS,2/24/2022,High,15,447.315643,0.030489
COPR 2 NS,2/24/2022,High,16,452.325653,0.03018
COPR 2 NS,2/24/2022,High,17,457.335663,0.031791
COPR 2 NS,2/24/2022,High,18,462.345642,0.031659
COPR 2 NS,2/24/2022,High,19,467.355652,0.031819
COPR 2 NS,2/24/2022,High,20,472.355652,0.031825
COPR 2 NS,2/24/2022,High,21,477.365662,0.03421
COPR 2 NS,2/24/2022,High,22,482.375641,0.035453
COPR 2 NS,2/24/2022,High,23,487.385651,0.035679
COPR 2 NS,2/24/2022,High,24,492.39566,0.035411
COPR 2 NS,2/24/2022,High,25,497.40564,0.035775
COPR 2 NS,2/24/2022,High,26,502.415649,0.037455
COPR 2 NS,2/24/2022,High,27,507.425659,0.03764
COPR 2 NS,2/24/2022,High,28,512.425659,0.039126
COPR 2 NS,2/24/2022,High,29,517.435669,0.040179
COPR 2 NS,2/24/2022,High,30,522.445679,0.03808
COPR 2 NS,2/24/2022,High,31,527.455627,0.039526
COPR 2 NS,2/24/2022,High,32,532.465637,0.041472
COPR 2 NS,2/24/2022,High,33,537.475647,0.042573
COPR 2 NS,2/24/2022,High,34,542.485657,0.043161
COPR 2 NS,2/24/2022,High,35,547.485657,0.042185
COPR 2 NS,2/24/2022,High,36,552.495667,0.043133
COPR 2 NS,2/24/2022,High,37,557.505676,0.045079
COPR 2 NS,2/24/2022,High,38,562.515625,0.044251
COPR 2 NS,2/24/2022,High,39,567.525635,0.044046
COPR 2 NS,2/24/2022,High,40,572.535645,0.045274
COPR 2 NS,2/24/2022,High,41,577.545654,0.044793
COPR 2 NS,2/24/2022,High,42,582.555664,0.04561
COPR 2 NS,2/24/2022,High,43,587.555664,0.046417
COPR 2 NS,2/24/2022,High,44,592.565674,0.046905
COPR 2 NS,2/24/2022,High,45,597.575623,0.046205
COPR 2 NS,2/24/2022,High,46,602.585632,0.046921
COPR 2 NS,2/24/2022,High,47,607.595642,0.047956
COPR 2 NS,2/24/2022,High,48,612.605652,0.048198
COPR 2 NS,2/24/2022,High,49,617.615662,0.048601
COPR 2 NS,2/24/2022,High,50,622.615662,0.048513
COPR 2 NS,2/24/2022,High,51,627.625671,0.049241
COPR 2 NS,2/24/2022,High,52,632.63562,0.048707
COPR 2 NS,2/24/2022,High,53,637.64563,0.049782
COPR 2 NS,2/24/2022,High,54,642.65564,0.049726
COPR 2 NS,2/24/2022,High,55,647.665649,0.051433
COPR 2 NS,2/24/2022,High,56,652.675659,0.051019
COPR 2 NS,2/24/2022,High,57,657.685669,0.051281
COPR 2 NS,2/24/2022,High,58,662.685669,0.051331
COPR 2 NS,2/24/2022,High,59,667.695679,0.051365
COPR 2 NS,2/24/2022,High,60,672.705627,0.052118
COPR 2 NS,2/24/2022,High,61,677.715637,0.050485
COPR 2 NS,2/24/2022,High,62,682.725647,0.051256
COPR 2 NS,2/24/2022,High,63,687.735657,0.052571
COPR 2 NS,2/24/2022,High,64,692.745667,0.055016
COPR 2 NS,2/24/2022,High,65,697.745667,0.057689
COPR 2 NS,2/24/2022,High,66,702.755676,0.060905
COPR 2 NS,2/24/2022,High,67,707.765625,0.064683
COPR 2 NS,2/24/2022,High,68,712.775635,0.067528
COPR 2 NS,2/24/2022,High,69,717.785645,0.069821
COPR 2 NS,2/24/2022,High,70,722.795654,0.075017
COPR 2 NS,2/24/2022,High,71,727.805664,0.078023
COPR 2 NS,2/24/2022,High,72,732.815674,0.079251
COPR 2 NS,2/24/2022,High,73,737.815674,0.080554
COPR 2 NS,2/24/2022,High,74,742.825623,0.082016
COPR 2 NS,2/24/2022,High,75,747.835632,0.084248
COPR 2 NS,2/24/2022,High,76,752.845642,0.084568
COPR 2 NS,2/24/2022,High,77,757.855652,0.085084
COPR 2 NS,2/24/2022,High,78,762.865662,0.087936
COPR 2 NS,2/24/2022,High,79,767.875671,0.089758
COPR 2 NS,2/24/2022,High,80,772.875671,0.090108
COPR 2 NS,2/24/2022,High,81,777.88562,0.091354
COPR 2 NS,2/24/2022,High,82,782.89563,0.092682
COPR 2 NS,2/24/2022,High,83,787.90564,0.093771
COPR 2 NS,2/24/2022,High,84,792.915649,0.093883
COPR 2 NS,2/24/2022,High,85,797.925659,0.093281
COPR 2 NS,2/24/2022,High,86,802.935669,0.093907
COPR 2 NS,2/24/2022,High,87,807.945679,0.095898
COPR 2 NS,2/24/2022,High,88,812.945679,0.096238
COPR 2 NS,2/24/2022,High,89,817.955627,0.097647
COPR 2 NS,2/24/2022,High,90,822.965637,0.09896
COPR 2 NS,2/24/2022,High,91,827.975647,0.101449
COPR 2 NS,2/24/2022,High,92,832.985657,0.101775
COPR 2 NS,2/24/2022,High,93,837.995667,0.103807
COPR 2 NS,2/24/2022,High,94,843.005676,0.105284
COPR 2 NS,2/24/2022,High,95,848.005676,0.106558
COPR 2 NS,2/24/2022,High,96,853.015625,0.106937
COPR 2 NS,2/24/2022,High,97,858.025635,0.107207
COPR 2 NS,2/24/2022,High,98,863.035645,0.108133
COPR 2 NS,2/24/2022,High,99,868.045654,0.109488
COPR 2 NS,2/24/2022,High,100,873.055664,0.110709
COPR 2 NS,2/24/2022,High,101,878.065674,0.112036
COPR 2 NS,2/24/2022,High,102,883.075623,0.111838
COPR 2 NS,2/24/2022,High,103,888.075623,0.113472
COPR 2 NS,2/24/2022,High,104,893.085632,0.115693
COPR 2 NS,2/24/2022,High,105,898.095642,0.115038
COPR 2 NS,2/24/2022,High,106,903.105652,0.116255
COPR 2 NS,2/24/2022,High,107,908.115662,0.117632
COPR 2 NS,2/24/2022,High,108,913.125671,0.119041
COPR 2 NS,2/24/2022,High,109,918.13562,0.119853
COPR 2 NS,2/24/2022,High,110,923.14563,0.120062
COPR 2 NS,2/24/2022,High,111,928.14563,0.121517
COPR 2 NS,2/24/2022,High,112,933.15564,0.124116
COPR 2 NS,2/24/2022,High,113,938.165649,0.125293
COPR 2 NS,2/24/2022,High,114,943.175659,0.125537
COPR 2 NS,2/24/2022,High,115,948.185669,0.125976
COPR 2 NS,2/24/2022,High,116,953.195679,0.125327
COPR 2 NS,2/24/2022,High,117,958.205627,0.126156
COPR 2 NS,2/24/2022,High,118,963.205627,0.1263
COPR 2 NS,2/24/2022,High,119,968.215637,0.125213
COPR 2 NS,2/24/2022,High,120,973.225647,0.126119
COPR 2 NS,2/24/2022,High,121,978.235657,0.126511
COPR 2 NS,2/24/2022,High,122,983.245667,0.128182
COPR 2 NS,2/24/2022,High,123,988.255676,0.128013
COPR 2 NS,2/24/2022,High,124,993.265625,0.128547
COPR 2 NS,2/24/2022,High,125,998.275635,0.130981
COPR 2 NS,2/24/2022,High,126,1003.275635,0.130317
COPR 2 NS,2/24/2022,High,127,1008.285645,0.131566
COPR 2 NS,2/24/2022,High,128,1013.295654,0.13227
COPR 2 NS,2/24/2022,High,129,1018.305664,0.132147
COPR 2 NS,2/24/2022,High,130,1023.315674,0.134053
COPR 2 NS,2/24/2022,High,131,1028.325684,0.13482
COPR 2 NS,2/24/2022,High,132,1033.335693,0.135479
COPR 2 NS,2/24/2022,High,133,1038.335693,0.135784
COPR 2 NS,2/24/2022,High,134,1043.345703,0.137552
COPR 2 NS,2/24/2022,High,135,1048.355591,0.139094
COPR 2 NS,2/24/2022,High,136,1053.365601,0.139995
COPR 2 NS,2/24/2022,High,137,1058.37561,0.139742
COPR 2 NS,2/24/2022,High,138,1063.38562,0.139464
COPR 2 NS,2/24/2022,High,139,1068.39563,0.141997
COPR 2 NS,2/24/2022,High,140,1073.40564,0.141444
COPR 2 NS,2/24/2022,High,141,1078.40564,0.143033
COPR 2 NS,2/24/2022,High,142,1083.415649,0.143445
COPR 2 NS,2/24/2022,High,143,1088.425659,0.144791
COPR 2 NS,2/24/2022,High,144,1093.435669,0.14557
COPR 2 NS,2/24/2022,High,145,1098.445679,0.146658
COPR 2 NS,2/24/2022,High,146,1103.455688,0.14614
COPR 2 NS,2/24/2022,High,147,1108.465698,0.145674
COPR 2 NS,2/24/2022,High,148,1113.465698,0.148656
COPR 2 NS,2/24/2022,High,149,1118.475708,0.150034
COPR 2 NS,2/24/2022,High,150,1123.485596,0.147943
COPR 2 NS,2/24/2022,High,151,1128.495605,0.147676
COPR 2 NS,2/24/2022,High,152,1133.505615,0.146518
COPR 2 NS,2/24/2022,High,153,1138.515625,0.146173
COPR 2 NS,2/24/2022,High,154,1143.525635,0.144475
COPR 2 NS,2/24/2022,High,155,1148.535645,0.143141
COPR 2 NS,2/24/2022,High,156,1153.535645,0.143237
COPR 2 NS,2/24/2022,High,157,1158.545654,0.14199
COPR 2 NS,2/24/2022,High,158,1163.555664,0.141672
COPR 2 NS,2/24/2022,High,159,1168.565674,0.141571
COPR 2 NS,2/24/2022,High,160,1173.575684,0.141823
COPR 2 NS,2/24/2022,High,161,1178.585693,0.141358
COPR 2 NS,2/24/2022,High,162,1183.595703,0.140904
COPR 2 NS,2/24/2022,High,163,1188.595703,0.141272
COPR 2 NS,2/24/2022,High,164,1193.605591,0.141243
COPR 2 NS,2/24/2022,High,165,1198.615601,0.141328
