Band,Wavelength,High Elevation,Mid Elevation 1,Mid Elevation 2,Low Elevation
1,377.195648,"	0.011219",0.01313,0.020068,0.037039
2,382.205658,-0.000002,-0.000002,-0.000001,0
3,387.215637,-0.00091,-0.001506,0.001416,0.002094
4,392.225647,0.004574,0.008307,0.011983,0.01252
5,397.225647,0.010836,0.013598,0.017388,0.019613
6,402.235657,0.011315,0.01495,0.019905,0.022965
7,407.245636,0.018237,0.021608,0.026419,0.029863
8,412.255646,0.02725,0.029826,0.035773,0.038821
9,417.265656,0.028074,0.031182,0.037381,0.041662
10,422.275635,0.030686,0.033974,0.039683,0.043913
11,427.285645,0.035115,0.037574,0.044518,0.049361
12,432.295654,0.03693,0.041489,0.048579,0.053634
13,437.295654,0.038868,0.04525,0.050897,0.056622
14,442.305664,0.041083,0.046818,0.053736,0.05993
15,447.315643,0.04323,0.048559,0.056034,0.061774
16,452.325653,0.042377,0.048838,0.057178,0.062394
17,457.335663,0.044804,0.049772,0.058842,0.065418
18,462.345642,0.045226,0.05051,0.059502,0.06547
19,467.355652,0.044781,0.050072,0.058818,0.066034
20,472.355652,0.045299,0.050948,0.060542,0.066737
21,477.365662,0.048088,0.053286,0.063126,0.069551
22,482.375641,0.050603,0.056372,0.066659,0.073492
23,487.385651,0.051282,0.057011,0.066986,0.074386
24,492.39566,0.050384,0.056795,0.066937,0.073826
25,497.40564,0.052317,0.059137,0.069235,0.076905
26,502.415649,0.054297,0.061552,0.072704,0.081117
27,507.425659,0.05549,0.063008,0.072646,0.08138
28,512.425659,0.058007,0.064481,0.076298,0.084491
29,517.435669,0.060109,0.06747,0.077235,0.08651
30,522.445679,0.058446,0.065744,0.07498,0.084422
31,527.455627,0.061879,0.068871,0.078808,0.08886
32,532.465637,0.064717,0.071481,0.081921,0.09209
33,537.475647,0.066494,0.074087,0.085409,0.095213
34,542.485657,0.068588,0.075795,0.086644,0.096652
35,547.485657,0.068659,0.076483,0.087669,0.098083
36,552.495667,0.068888,0.078036,0.089012,0.100019
37,557.505676,0.071316,0.080028,0.09132,0.102963
38,562.515625,0.070744,0.079402,0.092008,0.10331
39,567.525635,0.070788,0.080355,0.0926,0.10453
40,572.535645,0.071706,0.082493,0.094862,0.107336
41,577.545654,0.071565,0.081879,0.094855,0.107052
42,582.555664,0.072781,0.083441,0.09657,0.108866
43,587.555664,0.073041,0.085186,0.098836,0.111528
44,592.565674,0.073979,0.085387,0.100009,0.113553
45,597.575623,0.073349,0.084779,0.099919,0.11327
46,602.585632,0.07446,0.086523,0.100736,0.113824
47,607.595642,0.076048,0.088328,0.101833,0.114834
48,612.605652,0.075797,0.088583,0.103199,0.116887
49,617.615662,0.077344,0.089855,0.10335,0.117329
50,622.615662,0.07695,0.089399,0.104108,0.118069
51,627.625671,0.077428,0.091236,0.105775,0.11937
52,632.63562,0.077577,0.090766,0.105995,0.119977
53,637.64563,0.078297,0.091916,0.106811,0.120826
54,642.65564,0.079186,0.092833,0.108123,0.122129
55,647.665649,0.07984,0.093977,0.109901,0.124657
56,652.675659,0.078727,0.092495,0.109353,0.121857
57,657.685669,0.078483,0.093564,0.108732,0.122262
58,662.685669,0.079722,0.094023,0.11046,0.124488
59,667.695679,0.079812,0.094395,0.111893,0.124744
60,672.705627,0.078419,0.093948,0.114443,0.127701
61,677.715637,0.078235,0.094975,0.112424,0.127057
62,682.725647,0.079434,0.095972,0.113767,0.128266
63,687.735657,0.082842,0.098069,0.115968,0.13019
64,692.745667,0.087708,0.10152,0.117845,0.132564
65,697.745667,0.094451,0.107633,0.121897,0.136582
66,702.755676,0.101969,0.11268,0.125481,0.14031
67,707.765625,0.109022,0.118263,0.12992,0.143911
68,712.775635,0.118497,0.123488,0.132617,0.146893
69,717.785645,0.123847,0.127103,0.134003,0.149416
70,722.795654,0.132976,0.132487,0.137336,0.152939
71,727.805664,0.139397,0.13689,0.139753,0.156586
72,732.815674,0.144778,0.141252,0.141749,0.156094
73,737.815674,0.150531,0.144808,0.14535,0.160174
74,742.825623,0.155091,0.148246,0.14771,0.162482
75,747.835632,0.159752,0.151817,0.149663,0.16478
76,752.845642,0.15985,0.153165,0.150998,0.166415
77,757.855652,0.163417,0.155639,0.15357,0.169134
78,762.865662,0.160794,0.155306,0.151855,0.166275
79,767.875671,0.166732,0.158391,0.155441,0.169333
80,772.875671,0.168889,0.159941,0.158326,0.173364
81,777.88562,0.17189,0.162902,0.161207,0.175704
82,782.89563,0.173811,0.165262,0.162408,0.178108
83,787.90564,0.173795,0.16566,0.162755,0.179268
84,792.915649,0.175527,0.166885,0.163653,0.179775
85,797.925659,0.175166,0.167156,0.16444,0.178847
86,802.935669,0.176777,0.168616,0.16479,0.179895
87,807.945679,0.17855,0.170485,0.166203,0.182965
88,812.945679,0.180631,0.171209,0.169665,0.184562
89,817.955627,0.181825,0.17242,0.169948,0.184048
90,822.965637,0.181246,0.17348,0.171065,0.185705
91,827.975647,0.182301,0.175107,0.172388,0.187331
92,832.985657,0.183276,0.1748,0.17457,0.189251
93,837.995667,0.186232,0.179145,0.177189,0.191016
94,843.005676,0.187716,0.179542,0.177738,0.191279
95,848.005676,0.188115,0.181514,0.178149,0.193308
96,853.015625,0.18974,0.181596,0.179477,0.194065
97,858.025635,0.18985,0.183161,0.180029,0.195236
98,863.035645,0.192124,0.184122,0.181798,0.196445
99,868.045654,0.193462,0.185553,0.184087,0.198454
100,873.055664,0.193675,0.186179,0.182996,0.198345
101,878.065674,0.196967,0.185986,0.185248,0.199483
102,883.075623,0.197259,0.188823,0.186294,0.200508
103,888.075623,0.198546,0.189084,0.187157,0.201234
104,893.085632,0.199816,0.189713,0.188973,0.201941
105,898.095642,0.200213,0.191358,0.187211,0.201116
106,903.105652,0.200218,0.192405,0.188782,0.203093
107,908.115662,0.20008,0.192075,0.190329,0.204002
108,913.125671,0.20027,0.19315,0.191952,0.205267
109,918.13562,0.202281,0.193519,0.191273,0.204505
110,923.14563,0.20328,0.194172,0.193494,0.206234
111,928.14563,0.202055,0.19583,0.193798,0.20847
112,933.15564,0.20371,0.197984,0.191685,0.205073
113,938.165649,0.204597,0.196905,0.192361,0.206138
114,943.175659,0.203439,0.195474,0.1926,0.207732
115,948.185669,0.203293,0.194746,0.195328,0.20799
116,953.195679,0.20246,0.195109,0.195316,0.207611
117,958.205627,0.200162,0.194985,0.193855,0.208244
118,963.205627,0.200395,0.195035,0.198949,0.211052
119,968.215637,0.202164,0.197896,0.202586,0.216699
120,973.225647,0.203838,0.19791,0.201605,0.216107
121,978.235657,0.203946,0.198615,0.200431,0.214522
122,983.245667,0.206453,0.201052,0.202129,0.216486
123,988.255676,0.208512,0.201201,0.203818,0.217349
124,993.265625,0.208736,0.204327,0.205337,0.218612
125,998.275635,0.210158,0.204886,0.206716,0.220982
126,1003.275635,0.211873,0.206844,0.20815,0.220885
127,1008.285645,0.21239,0.208087,0.208666,0.223317
128,1013.295654,0.214115,0.208432,0.209516,0.223165
129,1018.305664,0.21544,0.209498,0.211695,0.225564
130,1023.315674,0.217162,0.208876,0.212205,0.225818
131,1028.325684,0.218047,0.21128,0.212702,0.226739
132,1033.335693,0.217906,0.212333,0.212939,0.226529
133,1038.335693,0.21896,0.213708,0.213978,0.229155
134,1043.345703,0.220263,0.214303,0.21354,0.226746
135,1048.355591,0.2204,0.214212,0.213976,0.227417
136,1053.365601,0.221924,0.214457,0.214288,0.229042
137,1058.37561,0.222577,0.216896,0.217159,0.231914
138,1063.38562,0.222956,0.216092,0.216776,0.231308
139,1068.39563,0.224942,0.216966,0.217961,0.230491
140,1073.40564,0.225841,0.219935,0.216423,0.230094
141,1078.40564,0.225872,0.219345,0.218267,0.233028
142,1083.415649,0.226701,0.220461,0.219464,0.234927
143,1088.425659,0.22588,0.219462,0.219547,0.23339
144,1093.435669,0.227979,0.222194,0.219906,0.234819
145,1098.445679,0.226757,0.221935,0.222742,0.238117
146,1103.455688,0.231351,0.222799,0.221686,0.236179
147,1108.465698,0.22729,0.221435,0.221776,0.235571
148,1113.465698,0.226619,0.223365,0.222443,0.235587
149,1118.475708,0.226556,0.216044,0.214102,0.22847
150,1123.485596,0.220264,0.21594,0.21257,0.227712
151,1128.495605,0.220664,0.21601,0.212974,0.226814
152,1133.505615,0.220549,0.21629,0.219378,0.233049
153,1138.515625,0.219417,0.215484,0.219895,0.236105
154,1143.525635,0.218115,0.2092,0.219306,0.231856
155,1148.535645,0.214722,0.207334,0.21621,0.231742
156,1153.535645,0.21194,0.208832,0.217348,0.232939
157,1158.545654,0.212273,0.210677,0.217274,0.232365
158,1163.555664,0.210991,0.212461,0.217242,0.233037
159,1168.565674,0.210535,0.209098,0.218605,0.233361
160,1173.575684,0.212405,0.210931,0.220669,0.236183
161,1178.585693,0.212005,0.212068,0.222123,0.237653
162,1183.595703,0.211103,0.212602,0.219036,0.235472
163,1188.595703,0.209851,0.211893,0.221633,0.237433
164,1193.605591,0.212183,0.212575,0.220296,0.236674
165,1198.615601,0.21273,0.216109,0.220246,0.235622
166,1203.62561,0.212915,0.213704,0.221868,0.238158
167,1208.63562,0.214849,0.215222,0.224031,0.23954
168,1213.64563,0.216881,0.21667,0.225859,0.242311
169,1218.65564,0.218388,0.217564,0.225831,0.242356
170,1223.665649,0.221251,0.219419,0.227745,0.244053
171,1228.665649,0.221457,0.221414,0.229699,0.24609
172,1233.675659,0.223281,0.2224,0.232723,0.248489
173,1238.685669,0.225436,0.225722,0.233863,0.249799
174,1243.695679,0.224961,0.226222,0.234102,0.249344
175,1248.705688,0.229016,0.226351,0.235756,0.252319
176,1253.715698,0.230306,0.229245,0.239781,0.256016
177,1258.725708,0.230246,0.229738,0.238184,0.25454
178,1263.725708,0.232644,0.22951,0.237859,0.253696
179,1268.735596,0.234879,0.23296,0.240847,0.256504
180,1273.745605,0.235334,0.234566,0.242023,0.2589
181,1278.755615,0.235651,0.233898,0.242785,0.258723
182,1283.765625,0.235365,0.233424,0.242878,0.258622
183,1288.775635,0.234556,0.23585,0.243354,0.260792
184,1293.785645,0.23608,0.235385,0.245873,0.262558
185,1298.795654,0.23677,0.238174,0.246165,0.263461
186,1303.795654,0.235919,0.238419,0.248839,0.264185
187,1308.805664,0.231476,0.233714,0.243719,0.261141
188,1313.815674,0.231424,0.230373,0.243373,0.259778
189,1318.825684,0.228726,0.229607,0.243333,0.259243
190,1323.835693,0.22717,0.231055,0.242932,0.260143
191,1328.845703,0.227795,0.225788,0.239209,0.255283
192,1333.855591,0.223521,0.227226,0.237486,0.255371
193,1338.855591,0.223193,0.230317,0.245354,0.262689
194,1343.865601,0.211563,0.22118,0.234291,0.250638
195,1348.87561,0.205053,0.212709,0.232956,0.250939
196,1353.88562,0.182609,0.181987,0.188642,0.184278
197,1358.89563,0.230907,0.271425,0.2389,0.1975
198,1363.90564,0.519317,0.61529,0.583225,0.711105
199,1368.915649,0.318518,0.247197,0.304443,0.307649
200,1373.925659,0.485454,0.412552,0.41808,0.321547
201,1378.925659,0.71146,0.718151,0.727108,0.717823
202,1383.935669,0.75798,0.730609,0.750885,0.749675
203,1388.945679,0.743424,0.747467,0.751273,0.734647
204,1393.955688,0.721749,0.724352,0.730764,0.718739
205,1398.965698,0.483095,0.344036,0.326073,0.430609
206,1403.975708,0.401355,0.312947,0.372435,0.395699
207,1408.985596,0.235201,0.27474,0.266985,0.276614
208,1413.985596,0.167348,0.156226,0.199196,0.217963
209,1418.995605,0.163634,0.170644,0.188861,0.211592
210,1424.005615,0.150443,0.174766,0.200719,0.21399
211,1429.015625,0.148299,0.181258,0.197725,0.220486
212,1434.025635,0.151736,0.175827,0.199353,0.212018
213,1439.035645,0.154066,0.173003,0.203227,0.21464
214,1444.045654,0.153853,0.178213,0.204369,0.218122
215,1449.055664,0.152853,0.183493,0.206677,0.223059
216,1454.055664,0.144433,0.179731,0.211161,0.226397
217,1459.065674,0.148083,0.177106,0.206024,0.224199
218,1464.075684,0.145528,0.179017,0.206803,0.223724
219,1469.085693,0.136871,0.162748,0.193371,0.207406
220,1474.095703,0.138852,0.170178,0.195535,0.214513
221,1479.105591,0.14189,0.169999,0.194473,0.210732
222,1484.115601,0.144879,0.17304,0.200409,0.217159
223,1489.115601,0.14964,0.176476,0.201828,0.220889
224,1494.12561,0.156276,0.182113,0.20846,0.227088
225,1499.13562,0.15712,0.18498,0.211357,0.229886
226,1504.14563,0.156529,0.183184,0.209826,0.22722
227,1509.15564,0.163747,0.189883,0.217188,0.236709
228,1514.165649,0.167877,0.192357,0.2195,0.23748
229,1519.175659,0.169677,0.194308,0.220873,0.240284
230,1524.185669,0.171166,0.195959,0.221231,0.240492
231,1529.185669,0.171982,0.19716,0.222104,0.240388
232,1534.195679,0.178989,0.201746,0.22822,0.247164
233,1539.205688,0.178475,0.202646,0.228178,0.246094
234,1544.215698,0.184911,0.207315,0.232463,0.25117
235,1549.225708,0.182207,0.204075,0.228248,0.247592
236,1554.235596,0.185281,0.207833,0.232913,0.252386
237,1559.245605,0.187198,0.206462,0.23218,0.250658
238,1564.245605,0.183811,0.20431,0.228096,0.246893
239,1569.255615,0.189409,0.209264,0.232638,0.252425
240,1574.265625,0.183435,0.202297,0.224999,0.243113
241,1579.275635,0.185706,0.203439,0.227724,0.246554
242,1584.285645,0.190983,0.207805,0.231972,0.251189
243,1589.295654,0.191902,0.211503,0.233009,0.25259
244,1594.305664,0.191367,0.210552,0.233335,0.253
245,1599.315674,0.194324,0.212692,0.234404,0.253881
246,1604.315674,0.197361,0.215552,0.23803,0.256833
247,1609.325684,0.204135,0.220734,0.242996,0.26303
248,1614.335693,0.203276,0.2213,0.242328,0.261953
249,1619.345703,0.199805,0.215241,0.236066,0.255166
250,1624.355591,0.204421,0.220639,0.242343,0.262474
251,1629.365601,0.208141,0.222067,0.243604,0.263253
252,1634.37561,0.20637,0.221573,0.244074,0.262364
253,1639.37561,0.208263,0.222086,0.245069,0.263752
254,1644.38562,0.209507,0.223661,0.246431,0.267175
255,1649.39563,0.208831,0.22395,0.243055,0.262589
256,1654.40564,0.208967,0.223798,0.246093,0.265366
257,1659.415649,0.213999,0.22799,0.250183,0.27009
258,1664.425659,0.211729,0.22542,0.246575,0.266325
259,1669.435669,0.21157,0.227061,0.248161,0.2677
260,1674.445679,0.214522,0.228294,0.249799,0.269851
261,1679.445679,0.216443,0.231858,0.252304,0.272743
262,1684.455688,0.213788,0.22893,0.249543,0.272148
263,1689.465698,0.21387,0.22767,0.250403,0.271237
264,1694.475708,0.211087,0.227258,0.24715,0.268778
265,1699.485596,0.209933,0.225243,0.246232,0.266662
266,1704.495605,0.208646,0.224437,0.2456,0.267527
267,1709.505615,0.206017,0.222045,0.244728,0.265711
268,1714.505615,0.207803,0.222702,0.244766,0.266603
269,1719.515625,0.20528,0.221132,0.243764,0.264886
270,1724.525635,0.204028,0.219371,0.241045,0.262661
271,1729.535645,0.203078,0.219012,0.239219,0.260255
272,1734.545654,0.204831,0.220784,0.243523,0.264614
273,1739.555664,0.206521,0.2236,0.245835,0.265769
274,1744.565674,0.205838,0.221643,0.241998,0.261284
275,1749.575684,0.204746,0.22077,0.244135,0.263565
276,1754.575684,0.201597,0.221068,0.242644,0.261727
277,1759.585693,0.20282,0.220524,0.243411,0.263921
278,1764.595703,0.200468,0.219773,0.242391,0.261828
279,1769.605591,0.200995,0.219454,0.24203,0.26197
280,1774.615601,0.195497,0.217493,0.238192,0.256573
281,1779.62561,0.198459,0.216657,0.241466,0.259393
282,1784.63562,0.197551,0.219846,0.24401,0.263172
283,1789.63562,0.198118,0.220884,0.251333,0.272506
284,1794.64563,0.196851,0.219041,0.242638,0.263478
285,1799.65564,0.193715,0.212016,0.247024,0.262528
286,1804.665649,0.18521,0.201456,0.224863,0.242878
287,1809.675659,0.178499,0.201028,0.216785,0.233659
288,1814.685669,0.174779,0.189347,0.181331,0.209219
289,1819.695679,0.22978,0.1672,0.152856,0.213333
290,1824.705688,0.167267,0.098386,0.16032,0.190942
291,1829.705688,0.510965,0.42678,0.439267,0.399715
292,1834.715698,0.78872,0.815592,0.757293,0.74697
293,1839.725708,0.753471,0.836094,0.802209,0.791759
294,1844.735596,0.765066,0.761498,0.776241,0.773427
295,1849.745605,0.160126,0.238482,0.163992,0.20356
296,1854.755615,0.66744,0.688728,0.686119,0.69846
297,1859.765625,0.696817,0.691348,0.671556,0.696824
298,1864.775635,0.665449,0.625689,0.62463,0.63944
299,1869.775635,0.125802,0.09803,0.100717,0.107968
300,1874.785645,0.124787,0.098241,0.114609,0.133593
301,1879.795654,0.690398,0.674351,0.555431,0.593862
302,1884.805664,0.537603,0.62567,0.661106,0.751383
303,1889.815674,0.495807,0.455592,0.571111,0.657874
304,1894.825684,0.634188,0.591085,0.597434,0.593205
305,1899.835693,0.595746,0.530736,0.592085,0.660521
306,1904.835693,0.161914,0.154812,0.166115,0.165831
307,1909.845703,0.701066,0.702581,0.690269,0.697464
308,1914.855591,0.698688,0.68763,0.674077,0.701014
309,1919.865601,0.573067,0.449536,0.553685,0.526226
310,1924.87561,0.268058,0.193616,0.296625,0.235675
311,1929.88562,0.140851,0.008683,0.192994,0.194397
312,1934.89563,0.173657,0.172263,0.114938,0.173495
313,1939.90564,0.149526,0.176772,0.162484,0.179687
314,1944.90564,0.144865,0.163036,0.188854,0.197482
315,1949.915649,0.141903,0.167544,0.183213,0.183246
316,1954.925659,0.138434,0.169429,0.166391,0.173674
317,1959.935669,0.148294,0.173921,0.184046,0.197272
318,1964.945679,0.154035,0.181325,0.194663,0.206578
319,1969.955688,0.155205,0.184062,0.200075,0.213281
320,1974.965698,0.135013,0.163533,0.180262,0.192035
321,1979.965698,0.138907,0.170492,0.188669,0.200183
322,1984.975708,0.141283,0.174101,0.191242,0.204418
323,1989.985596,0.142566,0.174476,0.192485,0.205475
324,1994.995605,0.137673,0.169713,0.188896,0.200598
325,2000.005615,0.126972,0.158708,0.174616,0.188869
326,2005.015625,0.129871,0.146278,0.168243,0.181592
327,2010.025635,0.132792,0.156508,0.178328,0.193295
328,2015.035645,0.131968,0.154795,0.177834,0.189212
329,2020.035645,0.140702,0.168016,0.19239,0.209272
330,2025.045654,0.145816,0.176755,0.207539,0.226972
331,2030.055664,0.150314,0.180155,0.210645,0.229993
332,2035.065674,0.151429,0.182791,0.212711,0.233215
333,2040.075684,0.152763,0.183348,0.21636,0.236664
334,2045.085693,0.149577,0.182928,0.213017,0.233636
335,2050.095703,0.145818,0.178427,0.208983,0.230389
336,2055.095703,0.146477,0.177024,0.208754,0.228099
337,2060.105713,0.145467,0.175011,0.206625,0.227319
338,2065.115723,0.143045,0.173183,0.203385,0.224495
339,2070.125732,0.144324,0.174717,0.203933,0.224916
340,2075.135742,0.148772,0.178126,0.205352,0.229696
341,2080.145752,0.146402,0.178278,0.210709,0.2323
342,2085.155762,0.149471,0.178402,0.208588,0.232039
343,2090.165771,0.146767,0.178584,0.207935,0.23127
344,2095.165771,0.147709,0.177601,0.208485,0.231163
345,2100.175537,0.149977,0.178576,0.208527,0.23096
346,2105.185547,0.147456,0.175882,0.207623,0.229693
347,2110.195557,0.14761,0.177454,0.208104,0.230973
348,2115.205566,0.149467,0.178688,0.206392,0.226859
349,2120.215576,0.149735,0.181294,0.207539,0.228354
350,2125.225586,0.152078,0.180919,0.208262,0.229988
351,2130.225586,0.152172,0.182251,0.208734,0.231715
352,2135.235596,0.15375,0.181507,0.208403,0.229574
353,2140.245605,0.154927,0.18183,0.20802,0.230172
354,2145.255615,0.153828,0.18047,0.207701,0.229621
355,2150.265625,0.152953,0.1828,0.207315,0.227518
356,2155.275635,0.15646,0.182597,0.208393,0.230725
357,2160.285645,0.154242,0.182097,0.204132,0.223822
358,2165.295654,0.15422,0.182376,0.207022,0.226806
359,2170.295654,0.157305,0.182856,0.207489,0.226641
360,2175.305664,0.158584,0.182193,0.207232,0.227628
361,2180.315674,0.157341,0.179588,0.204523,0.222549
362,2185.325684,0.157409,0.181646,0.204135,0.222446
363,2190.335693,0.158817,0.181495,0.207878,0.226551
364,2195.345703,0.159914,0.182587,0.204768,0.221291
365,2200.355713,0.157631,0.179171,0.201979,0.218449
366,2205.355713,0.156797,0.179454,0.201224,0.21729
367,2210.365723,0.159634,0.181818,0.202721,0.220103
368,2215.375732,0.161552,0.183923,0.203791,0.221053
369,2220.385742,0.16066,0.183025,0.205697,0.223556
370,2225.395752,0.157762,0.182297,0.203574,0.220607
371,2230.405762,0.159562,0.181513,0.206387,0.223858
372,2235.415771,0.156875,0.178134,0.201811,0.221799
373,2240.425537,0.153735,0.177628,0.198965,0.218336
374,2245.425537,0.150596,0.173036,0.196319,0.215687
375,2250.435547,0.146265,0.169077,0.194357,0.213218
376,2255.445557,0.145977,0.169806,0.190879,0.210065
377,2260.455566,0.141784,0.165334,0.185129,0.207724
378,2265.465576,0.137994,0.161412,0.183904,0.20332
379,2270.475586,0.138283,0.161873,0.185787,0.206676
380,2275.485596,0.135959,0.161689,0.185233,0.206806
381,2280.485596,0.132455,0.155799,0.179304,0.200653
382,2285.495605,0.133141,0.158331,0.181752,0.200587
383,2290.505615,0.132755,0.15556,0.180296,0.201392
384,2295.515625,0.128459,0.152105,0.176463,0.196797
385,2300.525635,0.125364,0.150615,0.174107,0.195779
386,2305.535645,0.125522,0.149919,0.17463,0.196378
387,2310.545654,0.126342,0.150314,0.17254,0.196163
388,2315.555664,0.122027,0.144593,0.168952,0.190513
389,2320.555664,0.12329,0.147381,0.171716,0.192947
390,2325.565674,0.125841,0.150035,0.174887,0.195142
391,2330.575684,0.123338,0.147224,0.173447,0.192642
392,2335.585693,0.122754,0.146316,0.17033,0.190827
393,2340.595703,0.12091,0.143355,0.170029,0.190229
394,2345.605713,0.118132,0.141527,0.163811,0.183697
395,2350.615723,0.116452,0.140018,0.160951,0.181228
396,2355.615723,0.119384,0.144259,0.167326,0.186635
397,2360.625732,0.122517,0.143445,0.16826,0.186664
398,2365.635742,0.118173,0.142507,0.166834,0.185684
399,2370.645752,0.119803,0.144562,0.166216,0.186546
400,2375.655762,0.11843,0.142919,0.162679,0.181344
401,2380.665771,0.115306,0.140465,0.160328,0.180084
402,2385.675537,0.11549,0.138938,0.157295,0.172841
403,2390.685547,0.118073,0.142338,0.161733,0.179172
404,2395.685547,0.116172,0.139799,0.159699,0.17453
405,2400.695557,0.117633,0.142405,0.162244,0.17851
406,2405.705566,0.113788,0.141464,0.158981,0.173239
407,2410.715576,0.11029,0.135835,0.151619,0.162412
408,2415.725586,0.113328,0.13273,0.145125,0.160002
409,2420.735596,0.111675,0.133893,0.149806,0.163317
410,2425.745605,0.108961,0.134506,0.150836,0.163666
411,2430.745605,0.107093,0.13393,0.150109,0.162222
412,2435.755615,0.109839,0.133493,0.150563,0.164102
413,2440.765625,0.101266,0.125445,0.141813,0.153947
414,2445.775635,0.103855,0.128409,0.144663,0.156322
415,2450.785645,0.103106,0.132145,0.14705,0.166066
416,2455.795654,0.1051,0.128169,0.141678,0.156513
417,2460.805664,0.098051,0.124751,0.143753,0.153214
418,2465.815674,0.100957,0.123683,0.139973,0.153673
419,2470.815674,0.101919,0.128221,0.142453,0.15861
420,2475.825684,0.096778,0.111309,0.130914,0.150016
421,2480.835693,0.105577,0.119389,0.135269,0.150338
422,2485.845703,0.101313,0.127677,0.147277,0.141061
423,2490.855713,0.09821,0.083947,0.187959,0.193177
424,2495.865723,0.156485,0.175551,0.183853,0.193581
425,2500.875732,0.109279,0.131807,0.147733,0.160612
