Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.037933,0.022546,0.042145,0.036763
2,382.205658,-0.000379,-0.000301,-0.000111,-0.000092
3,387.215637,0.00156,0.000966,0.003784,0.005765
4,392.225647,0.010497,0.012513,0.01771,0.019867
5,397.225647,0.016718,0.017824,0.024165,0.025209
6,402.235657,0.017569,0.018523,0.02608,0.028015
7,407.245636,0.024362,0.025388,0.032657,0.034389
8,412.255646,0.032765,0.034105,0.042486,0.044591
9,417.265656,0.033492,0.034954,0.043728,0.046147
10,422.275635,0.036595,0.038807,0.046703,0.049296
11,427.285645,0.041264,0.041995,0.050921,0.054101
12,432.295654,0.043214,0.045471,0.056298,0.059575
13,437.295654,0.045601,0.047823,0.058736,0.061468
14,442.305664,0.047417,0.050071,0.061137,0.064077
15,447.315643,0.049101,0.05191,0.063382,0.066831
16,452.325653,0.049127,0.051461,0.063776,0.066985
17,457.335663,0.050099,0.053059,0.066167,0.069697
18,462.345642,0.051617,0.053791,0.066231,0.069886
19,467.355652,0.050885,0.052807,0.066983,0.069403
20,472.355652,0.052184,0.054547,0.068227,0.071332
21,477.365662,0.054262,0.056852,0.071267,0.074816
22,482.375641,0.057074,0.059331,0.073941,0.077656
23,487.385651,0.057255,0.059817,0.075289,0.078601
24,492.39566,0.057365,0.059949,0.076228,0.079289
25,497.40564,0.059314,0.062509,0.07734,0.081674
26,502.415649,0.060934,0.06435,0.080803,0.084188
27,507.425659,0.062123,0.065443,0.082153,0.085078
28,512.425659,0.064697,0.067548,0.085317,0.089045
29,517.435669,0.066259,0.069675,0.086438,0.090135
30,522.445679,0.064781,0.068232,0.084355,0.088305
31,527.455627,0.068313,0.071167,0.088456,0.092085
32,532.465637,0.070898,0.073464,0.092402,0.096148
33,537.475647,0.074022,0.076739,0.095238,0.100172
34,542.485657,0.074988,0.078463,0.096726,0.101575
35,547.485657,0.075355,0.078312,0.097831,0.101517
36,552.495667,0.076164,0.079775,0.099478,0.103745
37,557.505676,0.078416,0.081903,0.102207,0.106927
38,562.515625,0.078036,0.082246,0.103275,0.107361
39,567.525635,0.078001,0.08307,0.104252,0.109007
40,572.535645,0.079721,0.084239,0.106452,0.111376
41,577.545654,0.078855,0.084213,0.106279,0.111345
42,582.555664,0.079991,0.085348,0.108768,0.112922
43,587.555664,0.080875,0.087732,0.110947,0.114828
44,592.565674,0.081759,0.087399,0.112328,0.117749
45,597.575623,0.081222,0.087312,0.111681,0.116849
46,602.585632,0.082237,0.088323,0.113568,0.11799
47,607.595642,0.083858,0.089538,0.114485,0.118681
48,612.605652,0.083726,0.090177,0.115394,0.120159
49,617.615662,0.085148,0.09178,0.116212,0.121325
50,622.615662,0.084784,0.090941,0.117334,0.121604
51,627.625671,0.085548,0.092622,0.118204,0.123566
52,632.63562,0.085401,0.09241,0.118422,0.123582
53,637.64563,0.086796,0.093982,0.120137,0.124334
54,642.65564,0.08719,0.094953,0.121744,0.126338
55,647.665649,0.088633,0.095406,0.124088,0.128277
56,652.675659,0.087986,0.094791,0.122709,0.126803
57,657.685669,0.087781,0.095039,0.123062,0.126987
58,662.685669,0.088201,0.095044,0.125062,0.128704
59,667.695679,0.088286,0.095493,0.125381,0.129239
60,672.705627,0.087093,0.096344,0.129011,0.13198
61,677.715637,0.087721,0.096151,0.126801,0.130743
62,682.725647,0.089379,0.097269,0.128913,0.131871
63,687.735657,0.091536,0.099821,0.130211,0.134408
64,692.745667,0.096419,0.104655,0.133119,0.136725
65,697.745667,0.103313,0.110788,0.137508,0.142752
66,702.755676,0.1101,0.11608,0.141359,0.146731
67,707.765625,0.117532,0.12074,0.145128,0.15161
68,712.775635,0.126224,0.125793,0.148025,0.15421
69,717.785645,0.131629,0.130104,0.149494,0.15668
70,722.795654,0.138519,0.135603,0.153299,0.160259
71,727.805664,0.145305,0.139961,0.155367,0.163674
72,732.815674,0.151317,0.143194,0.156855,0.165321
73,737.815674,0.155557,0.146069,0.160096,0.16823
74,742.825623,0.159852,0.149665,0.162356,0.170356
75,747.835632,0.16422,0.151803,0.16444,0.170892
76,752.845642,0.164377,0.153733,0.16668,0.173982
77,757.855652,0.168672,0.156295,0.167834,0.174861
78,762.865662,0.165139,0.155021,0.166384,0.17121
79,767.875671,0.172324,0.160292,0.170442,0.17854
80,772.875671,0.174009,0.161413,0.174694,0.182488
81,777.88562,0.175954,0.163985,0.177125,0.185408
82,782.89563,0.177953,0.164855,0.17933,0.186122
83,787.90564,0.179199,0.167465,0.179746,0.186882
84,792.915649,0.179354,0.167232,0.180691,0.187036
85,797.925659,0.178828,0.168311,0.181572,0.188146
86,802.935669,0.181467,0.169362,0.182298,0.189696
87,807.945679,0.182564,0.171954,0.184036,0.191149
88,812.945679,0.185152,0.171011,0.186451,0.19239
89,817.955627,0.185861,0.17356,0.186035,0.192696
90,822.965637,0.185122,0.173516,0.187865,0.194369
91,827.975647,0.187845,0.175456,0.188094,0.195971
92,832.985657,0.189012,0.177112,0.19149,0.198269
93,837.995667,0.190595,0.178987,0.193755,0.19932
94,843.005676,0.19173,0.18054,0.194025,0.19955
95,848.005676,0.194145,0.181986,0.195487,0.20101
96,853.015625,0.195325,0.182449,0.196474,0.202521
97,858.025635,0.196297,0.183829,0.197403,0.203513
98,863.035645,0.197597,0.184293,0.198645,0.20507
99,868.045654,0.198477,0.185766,0.200429,0.205824
100,873.055664,0.198491,0.187082,0.201025,0.206854
101,878.065674,0.200133,0.187019,0.202446,0.207452
102,883.075623,0.202421,0.190297,0.20295,0.209082
103,888.075623,0.201951,0.189238,0.203848,0.209997
104,893.085632,0.204208,0.190987,0.206438,0.210747
105,898.095642,0.204475,0.190805,0.204977,0.211061
106,903.105652,0.204796,0.192111,0.206288,0.211908
107,908.115662,0.20556,0.192213,0.206321,0.212029
108,913.125671,0.206167,0.19426,0.208202,0.213928
109,918.13562,0.20651,0.192961,0.208598,0.21382
110,923.14563,0.210038,0.194422,0.21032,0.214927
111,928.14563,0.208129,0.194443,0.210959,0.215807
112,933.15564,0.208071,0.196499,0.209434,0.213227
113,938.165649,0.205639,0.197063,0.207078,0.211262
114,943.175659,0.20744,0.194641,0.211533,0.214715
115,948.185669,0.205808,0.196653,0.211765,0.21513
