Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.039135,0.034445,0.039899,0.050419
2,382.205658,0.032133,0.032161,0.032712,0.047452
3,387.215637,0.029841,0.028879,0.036071,0.050605
4,392.225647,0.037514,0.034085,0.04151,0.061087
5,397.225647,0.032563,0.033213,0.038578,0.057957
6,402.235657,0.042461,0.04124,0.049447,0.069901
7,407.245636,0.039771,0.03844,0.04671,0.068204
8,412.255646,0.038196,0.038386,0.045462,0.067466
9,417.265656,0.039474,0.038793,0.047077,0.070548
10,422.275635,0.041024,0.040706,0.047829,0.072449
11,427.285645,0.043015,0.042309,0.050666,0.076603
12,432.295654,0.044238,0.044705,0.052889,0.078435
13,437.295654,0.044582,0.044898,0.053868,0.081592
14,442.305664,0.046558,0.046217,0.055594,0.084816
15,447.315643,0.048186,0.048381,0.057797,0.089324
16,452.325653,0.049815,0.050605,0.060074,0.093253
17,457.335663,0.051463,0.051586,0.062556,0.095416
18,462.345642,0.053101,0.053819,0.064248,0.098053
19,467.355652,0.055624,0.055844,0.066971,0.101422
20,472.355652,0.057376,0.058018,0.068151,0.10436
21,477.365662,0.058613,0.05961,0.070679,0.10799
22,482.375641,0.059947,0.061348,0.071926,0.11027
23,487.385651,0.062519,0.063159,0.073929,0.113675
24,492.39566,0.062765,0.063554,0.07645,0.116075
25,497.40564,0.064417,0.065896,0.077825,0.119641
26,502.415649,0.066261,0.067591,0.079421,0.122445
27,507.425659,0.067598,0.068579,0.081039,0.12604
28,512.425659,0.06995,0.070438,0.083955,0.13024
29,517.435669,0.07145,0.073202,0.08563,0.133372
30,522.445679,0.07336,0.074911,0.086571,0.136583
31,527.455627,0.07512,0.076871,0.089158,0.140553
32,532.465637,0.076394,0.078943,0.091461,0.143269
33,537.475647,0.078261,0.080971,0.093228,0.147769
34,542.485657,0.079975,0.082582,0.095376,0.150878
35,547.485657,0.080901,0.084066,0.096558,0.154504
36,552.495667,0.083469,0.085985,0.098396,0.158035
37,557.505676,0.084015,0.087474,0.100096,0.161744
38,562.515625,0.084694,0.088103,0.101791,0.164075
39,567.525635,0.086374,0.089887,0.103736,0.166707
40,572.535645,0.087337,0.090523,0.10486,0.170446
41,577.545654,0.088281,0.091702,0.106358,0.173194
42,582.555664,0.08943,0.09244,0.107523,0.174177
43,587.555664,0.090734,0.09421,0.109397,0.17689
44,592.565674,0.091475,0.094957,0.111087,0.17857
45,597.575623,0.092149,0.09556,0.112019,0.18053
46,602.585632,0.094186,0.096959,0.11318,0.183027
47,607.595642,0.094782,0.098153,0.114999,0.184615
48,612.605652,0.096159,0.099568,0.11618,0.186418
49,617.615662,0.09796,0.100764,0.117225,0.187439
50,622.615662,0.098779,0.101991,0.118621,0.189883
51,627.625671,0.09991,0.102922,0.120448,0.191162
52,632.63562,0.100587,0.103566,0.121684,0.192952
53,637.64563,0.102651,0.106003,0.122472,0.19413
54,642.65564,0.102866,0.10617,0.123964,0.196775
55,647.665649,0.103008,0.106433,0.124417,0.197302
56,652.675659,0.104644,0.107815,0.125739,0.198927
57,657.685669,0.105219,0.108285,0.127725,0.20055
58,662.685669,0.10513,0.107904,0.127868,0.201478
59,667.695679,0.105476,0.108296,0.129385,0.203815
60,672.705627,0.106219,0.108237,0.13139,0.20625
61,677.715637,0.105863,0.108233,0.129527,0.208508
62,682.725647,0.108336,0.110482,0.131645,0.209525
63,687.735657,0.111685,0.113451,0.133991,0.212028
64,692.745667,0.115343,0.118013,0.135956,0.21282
65,697.745667,0.120878,0.125821,0.140868,0.21626
66,702.755676,0.125561,0.130591,0.14377,0.218062
67,707.765625,0.130564,0.136425,0.147935,0.221223
68,712.775635,0.135554,0.142888,0.150674,0.224807
69,717.785645,0.140247,0.147356,0.153265,0.226078
70,722.795654,0.1442,0.153279,0.156516,0.228854
71,727.805664,0.149014,0.156755,0.159402,0.232515
72,732.815674,0.151192,0.160816,0.160339,0.234584
73,737.815674,0.154163,0.164382,0.164286,0.236767
74,742.825623,0.157388,0.168229,0.165844,0.238706
75,747.835632,0.159448,0.170662,0.166371,0.240872
76,752.845642,0.162407,0.173856,0.169154,0.243612
77,757.855652,0.163953,0.175385,0.17179,0.246445
78,762.865662,0.165018,0.177096,0.174189,0.240841
79,767.875671,0.168187,0.181234,0.174498,0.247214
80,772.875671,0.168052,0.180181,0.175985,0.250849
81,777.88562,0.170959,0.183114,0.178735,0.253727
82,782.89563,0.172491,0.184298,0.180656,0.255309
83,787.90564,0.175216,0.186822,0.182863,0.258946
84,792.915649,0.176165,0.188766,0.184321,0.260465
85,797.925659,0.177607,0.190541,0.18627,0.261846
86,802.935669,0.178632,0.191922,0.186925,0.263589
87,807.945679,0.181915,0.194642,0.189142,0.264903
88,812.945679,0.181643,0.194027,0.191555,0.267112
89,817.955627,0.18296,0.196153,0.191064,0.268202
90,822.965637,0.184401,0.197138,0.193759,0.2704
91,827.975647,0.186348,0.199913,0.195558,0.272206
92,832.985657,0.18809,0.20082,0.197565,0.273638
93,837.995667,0.190574,0.203843,0.200038,0.276117
94,843.005676,0.192121,0.205491,0.201255,0.276446
95,848.005676,0.192811,0.20672,0.202613,0.277432
96,853.015625,0.195354,0.208117,0.203119,0.279936
97,858.025635,0.195304,0.209952,0.20481,0.280558
98,863.035645,0.19786,0.211145,0.205575,0.281581
99,868.045654,0.198688,0.212354,0.208469,0.285756
100,873.055664,0.200007,0.214215,0.209714,0.286209
101,878.065674,0.201001,0.214351,0.210311,0.287525
102,883.075623,0.202541,0.216178,0.211805,0.288426
103,888.075623,0.202398,0.216304,0.212531,0.290023
104,893.085632,0.204272,0.216753,0.21574,0.290505
105,898.095642,0.205343,0.218609,0.214749,0.291387
106,903.105652,0.206406,0.220912,0.215926,0.29185
