Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.012543,0.012548,0.007617,0.001723
2,382.205658,-0.000097,-0.000136,-0.000175,-0.000231
3,387.215637,-0.001495,-0.000625,-0.00136,-0.002808
4,392.225647,0.005246,0.006016,0.002352,0.002564
5,397.225647,0.00996,0.008827,0.00953,0.006329
6,402.235657,0.007964,0.009031,0.007013,0.006138
7,407.245636,0.014255,0.013774,0.012905,0.011699
8,412.255646,0.020753,0.021245,0.019691,0.017715
9,417.265656,0.020962,0.021306,0.019845,0.018026
10,422.275635,0.023834,0.024453,0.02136,0.02078
11,427.285645,0.027874,0.027523,0.02666,0.024425
12,432.295654,0.030271,0.030222,0.027814,0.02695
13,437.295654,0.03161,0.031814,0.029881,0.027997
14,442.305664,0.032518,0.031702,0.031863,0.028649
15,447.315643,0.033073,0.032999,0.031359,0.03044
16,452.325653,0.032458,0.034086,0.031843,0.03055
17,457.335663,0.033718,0.033835,0.03227,0.030785
18,462.345642,0.034163,0.033548,0.033105,0.03047
19,467.355652,0.032998,0.034019,0.031628,0.030658
20,472.355652,0.034922,0.034489,0.032849,0.030712
21,477.365662,0.036514,0.037561,0.03563,0.033248
22,482.375641,0.037294,0.038667,0.035915,0.0344
23,487.385651,0.038774,0.039946,0.036896,0.034311
24,492.39566,0.037229,0.038756,0.036348,0.034463
25,497.40564,0.039148,0.039083,0.037216,0.035283
26,502.415649,0.040291,0.040555,0.038996,0.036207
27,507.425659,0.040446,0.040853,0.039691,0.036994
28,512.425659,0.041889,0.042516,0.040853,0.038874
29,517.435669,0.043387,0.044004,0.041614,0.040025
30,522.445679,0.041496,0.04123,0.040606,0.037778
31,527.455627,0.043035,0.043433,0.041389,0.040094
32,532.465637,0.045674,0.045135,0.043802,0.041241
33,537.475647,0.047341,0.045876,0.04555,0.042957
34,542.485657,0.047608,0.046914,0.046042,0.043634
35,547.485657,0.047226,0.046727,0.046367,0.043159
36,552.495667,0.048249,0.046779,0.046889,0.044215
37,557.505676,0.050044,0.049119,0.048894,0.045712
38,562.515625,0.050077,0.048168,0.048163,0.044684
39,567.525635,0.049072,0.049653,0.047856,0.046105
40,572.535645,0.051026,0.050206,0.050118,0.047144
41,577.545654,0.050273,0.049526,0.048528,0.046124
42,582.555664,0.050671,0.050262,0.049666,0.047124
43,587.555664,0.052348,0.05151,0.051192,0.04859
44,592.565674,0.053826,0.051914,0.05225,0.048576
45,597.575623,0.052974,0.052159,0.051441,0.048832
46,602.585632,0.053949,0.053354,0.052588,0.049209
47,607.595642,0.054919,0.053288,0.053958,0.050829
48,612.605652,0.05595,0.054788,0.054072,0.050603
49,617.615662,0.056871,0.055853,0.055346,0.051502
50,622.615662,0.057288,0.055324,0.055885,0.051804
