Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.037498,0.04074,0.043001,0.033654
2,382.205658,-0.000373,-0.000222,-0.000336,-0.000408
3,387.215637,0.001503,0.000591,0.002186,0.000239
4,392.225647,0.01132,0.010053,0.010136,0.009228
5,397.225647,0.016084,0.016034,0.016105,0.013222
6,402.235657,0.014521,0.015439,0.01519,0.013907
7,407.245636,0.021238,0.020925,0.021876,0.019164
8,412.255646,0.028006,0.028529,0.028208,0.026984
9,417.265656,0.028517,0.029145,0.029295,0.026337
10,422.275635,0.031986,0.032106,0.033135,0.029527
11,427.285645,0.037173,0.036602,0.037211,0.033161
12,432.295654,0.039556,0.039018,0.040872,0.036586
13,437.295654,0.040582,0.040453,0.041913,0.038647
14,442.305664,0.042318,0.04328,0.043707,0.040428
15,447.315643,0.042756,0.043444,0.044251,0.041347
16,452.325653,0.042891,0.043754,0.044386,0.040669
17,457.335663,0.044563,0.044808,0.045488,0.04222
18,462.345642,0.043891,0.044918,0.046486,0.042386
19,467.355652,0.044085,0.044407,0.045392,0.042293
20,472.355652,0.04421,0.044657,0.045762,0.042096
21,477.365662,0.046616,0.047924,0.048466,0.044948
22,482.375641,0.048404,0.049311,0.05017,0.046005
23,487.385651,0.049317,0.049784,0.05116,0.047103
24,492.39566,0.049012,0.049481,0.050566,0.046772
25,497.40564,0.049855,0.050898,0.051297,0.047573
26,502.415649,0.051706,0.052476,0.053388,0.049144
27,507.425659,0.052256,0.053129,0.054338,0.050169
28,512.425659,0.05428,0.0554,0.056959,0.051721
29,517.435669,0.056389,0.057584,0.058888,0.054263
30,522.445679,0.055127,0.056132,0.057173,0.052643
31,527.455627,0.058649,0.059747,0.061287,0.056255
32,532.465637,0.061049,0.062676,0.063421,0.058649
33,537.475647,0.063921,0.065265,0.066637,0.061257
34,542.485657,0.064806,0.065887,0.067868,0.062293
35,547.485657,0.064504,0.06644,0.067853,0.061843
36,552.495667,0.0654,0.067359,0.068984,0.062992
37,557.505676,0.06726,0.068902,0.070625,0.065596
38,562.515625,0.067071,0.068819,0.070398,0.064602
39,567.525635,0.066907,0.068724,0.070483,0.065005
40,572.535645,0.067148,0.069233,0.071077,0.065317
41,577.545654,0.066513,0.068151,0.07049,0.064523
42,582.555664,0.06684,0.068716,0.071126,0.065062
43,587.555664,0.067742,0.070047,0.072614,0.066629
44,592.565674,0.068558,0.070945,0.073103,0.066769
45,597.575623,0.067941,0.070113,0.072568,0.066543
46,602.585632,0.068382,0.070146,0.073354,0.066733
47,607.595642,0.069267,0.072151,0.074285,0.067831
