Band,Wavelength,High,Mid 1,Mid 2,Low
1,377.195648,0.062288,0.043001,0.046981,0.067257
2,382.205658,0.000913,-0.000336,0.000158,0.000883
3,387.215637,0.012196,0.002186,0.005905,0.013265
4,392.225647,0.023889,0.010136,0.015845,0.028948
5,397.225647,0.031952,0.016105,0.02138,0.035188
6,402.235657,0.033734,0.01519,0.02117,0.037577
7,407.245636,0.043217,0.021876,0.028456,0.045462
8,412.255646,0.054451,0.028208,0.037226,0.056566
9,417.265656,0.055073,0.029295,0.037956,0.058633
10,422.275635,0.058675,0.033135,0.041651,0.061907
11,427.285645,0.065236,0.037211,0.045551,0.068452
12,432.295654,0.069691,0.040872,0.049795,0.072366
13,437.295654,0.073375,0.041913,0.050992,0.074225
14,442.305664,0.076744,0.043707,0.053986,0.078306
15,447.315643,0.079958,0.044251,0.055058,0.080799
16,452.325653,0.079591,0.044386,0.055498,0.082235
17,457.335663,0.082773,0.045488,0.058318,0.08337
18,462.345642,0.084291,0.046486,0.056799,0.08409
19,467.355652,0.084279,0.045392,0.056767,0.084102
20,472.355652,0.086128,0.045762,0.05786,0.085909
21,477.365662,0.089814,0.048466,0.06083,0.090128
22,482.375641,0.094788,0.05017,0.062868,0.093435
23,487.385651,0.094948,0.05116,0.063621,0.094085
24,492.39566,0.095058,0.050566,0.063772,0.094616
25,497.40564,0.098394,0.051297,0.065858,0.097296
26,502.415649,0.103323,0.053388,0.066756,0.100412
27,507.425659,0.104476,0.054338,0.069199,0.102064
28,512.425659,0.10705,0.056959,0.070476,0.104471
29,517.435669,0.110244,0.058888,0.073243,0.10723
30,522.445679,0.109695,0.057173,0.071487,0.10689
31,527.455627,0.113594,0.061287,0.074971,0.109554
32,532.465637,0.117306,0.063421,0.078096,0.112775
33,537.475647,0.122052,0.066637,0.081715,0.116663
34,542.485657,0.124319,0.067868,0.082532,0.11871
35,547.485657,0.128457,0.067853,0.082108,0.119892
36,552.495667,0.1301,0.068984,0.083946,0.122399
37,557.505676,0.133976,0.070625,0.087798,0.124509
38,562.515625,0.131757,0.070398,0.087144,0.125227
39,567.525635,0.133708,0.070483,0.087332,0.126998
40,572.535645,0.135444,0.071077,0.088998,0.129228
41,577.545654,0.137205,0.07049,0.087688,0.129619
42,582.555664,0.138241,0.071126,0.089254,0.131634
43,587.555664,0.141741,0.072614,0.090727,0.132748
44,592.565674,0.145094,0.073103,0.090761,0.134593
45,597.575623,0.142656,0.072568,0.091115,0.134934
46,602.585632,0.143413,0.073354,0.09143,0.134889
47,607.595642,0.145296,0.074285,0.092646,0.136988
48,612.605652,0.14607,0.07384,0.092101,0.138293
49,617.615662,0.149241,0.074273,0.092386,0.140951
50,622.615662,0.148279,0.074436,0.095051,0.139455
51,627.625671,0.150148,0.075357,0.095899,0.140737
52,632.63562,0.150783,0.075103,0.094537,0.141808
53,637.64563,0.151404,0.076413,0.095186,0.142317
54,642.65564,0.154969,0.076599,0.096173,0.143477
55,647.665649,0.158293,0.077006,0.096906,0.146964
56,652.675659,0.155614,0.076112,0.097428,0.145565
57,657.685669,0.155627,0.076276,0.097099,0.145718
58,662.685669,0.156371,0.075035,0.097628,0.147839
59,667.695679,0.156753,0.074417,0.097142,0.148387
60,672.705627,0.155942,0.075553,0.098042,0.148552
61,677.715637,0.157743,0.072952,0.095878,0.151283
62,682.725647,0.159576,0.073151,0.096837,0.151527
63,687.735657,0.162031,0.076071,0.100532,0.151528
64,692.745667,0.16799,0.082552,0.10273,0.155007
65,697.745667,0.174696,0.090167,0.107178,0.159237
66,702.755676,0.179906,0.098646,0.117077,0.161527
67,707.765625,0.189963,0.107545,0.122785,0.164005
68,712.775635,0.191722,0.115726,0.128004,0.16781
69,717.785645,0.196258,0.123246,0.133345,0.166918
70,722.795654,0.203695,0.132915,0.139738,0.171689
71,727.805664,0.209442,0.140058,0.145615,0.174096
72,732.815674,0.213026,0.144884,0.149772,0.177496
73,737.815674,0.211959,0.151453,0.153433,0.17842
74,742.825623,0.218673,0.153912,0.155798,0.180186
75,747.835632,0.222712,0.157533,0.160296,0.182508
76,752.845642,0.222562,0.160994,0.159952,0.184735
77,757.855652,0.228141,0.164083,0.163212,0.180531
78,762.865662,0.218005,0.163657,0.163019,0.181945
79,767.875671,0.225951,0.166486,0.166881,0.191602
80,772.875671,0.230464,0.168725,0.169776,0.192055
81,777.88562,0.233234,0.172155,0.170669,0.193278
82,782.89563,0.235646,0.173522,0.174147,0.195356
83,787.90564,0.238366,0.17452,0.174234,0.196417
84,792.915649,0.243179,0.17701,0.176094,0.197605
85,797.925659,0.242255,0.17682,0.176076,0.198032
86,802.935669,0.243361,0.17793,0.177648,0.199321
87,807.945679,0.243038,0.179748,0.17872,0.201105
88,812.945679,0.242884,0.182403,0.180513,0.199641
89,817.955627,0.248716,0.182996,0.1805,0.20298
90,822.965637,0.247124,0.183766,0.181731,0.202532
91,827.975647,0.248298,0.185322,0.183294,0.204688
92,832.985657,0.251092,0.186907,0.184541,0.208375
93,837.995667,0.253291,0.189336,0.187082,0.20859
94,843.005676,0.252111,0.191811,0.188597,0.209509
95,848.005676,0.257294,0.191822,0.1884,0.210738
96,853.015625,0.257444,0.192466,0.18872,0.210847
97,858.025635,0.26088,0.194944,0.191452,0.211678
98,863.035645,0.261136,0.194109,0.192777,0.212778
99,868.045654,0.261376,0.197243,0.194001,0.215477
100,873.055664,0.262783,0.19833,0.193861,0.214448
101,878.065674,0.264594,0.200134,0.195033,0.217386
102,883.075623,0.266069,0.199024,0.196483,0.217624
103,888.075623,0.266563,0.20175,0.197258,0.21795
104,893.085632,0.268539,0.202003,0.199183,0.218653
105,898.095642,0.271506,0.202265,0.198232,0.21967
106,903.105652,0.268293,0.204499,0.199292,0.22125
107,908.115662,0.272097,0.203839,0.199195,0.220584
108,913.125671,0.271716,0.204595,0.200935,0.220957
109,918.13562,0.271227,0.203396,0.201993,0.224901
110,923.14563,0.274358,0.204841,0.202183,0.223059
111,928.14563,0.275606,0.206123,0.201497,0.219435
112,933.15564,0.278865,0.202881,0.202603,0.21506
113,938.165649,0.279222,0.206292,0.203365,0.226567
114,943.175659,0.27453,0.205763,0.200467,0.222347
115,948.185669,0.275989,0.201737,0.199193,0.224314
116,953.195679,0.276958,0.194642,0.198895,0.229615
117,958.205627,0.274656,0.193966,0.19789,0.228037
118,963.205627,0.27877,0.190607,0.19667,0.232976
119,968.215637,0.280995,0.192463,0.196481,0.235947
120,973.225647,0.277637,0.190378,0.19842,0.229831
121,978.235657,0.280841,0.191698,0.198509,0.232434
122,983.245667,0.279431,0.192646,0.201637,0.235008
123,988.255676,0.281739,0.193864,0.200863,0.236922
124,993.265625,0.283241,0.195927,0.20523,0.237781
125,998.275635,0.286117,0.198041,0.205301,0.238474
126,1003.275635,0.28177,0.199401,0.205282,0.239188
127,1008.285645,0.288621,0.201768,0.206349,0.241791
128,1013.295654,0.287285,0.204302,0.209586,0.239742
129,1018.305664,0.289262,0.206811,0.21102,0.241189
130,1023.315674,0.293296,0.208631,0.210975,0.243293
131,1028.325684,0.293197,0.2112,0.215571,0.243862
132,1033.335693,0.294524,0.213242,0.216489,0.245715
133,1038.335693,0.294698,0.216686,0.218116,0.244304
134,1043.345703,0.293733,0.217409,0.219429,0.246515
135,1048.355591,0.296607,0.219638,0.220187,0.247554
136,1053.365601,0.301413,0.220994,0.219797,0.24754
137,1058.37561,0.296762,0.221717,0.221599,0.249567
138,1063.38562,0.301376,0.224242,0.222187,0.24851
139,1068.39563,0.300563,0.223916,0.222756,0.250415
140,1073.40564,0.299603,0.225005,0.223214,0.251467
141,1078.40564,0.300835,0.225478,0.223448,0.251863
142,1083.415649,0.301943,0.225474,0.226165,0.253711
143,1088.425659,0.305014,0.226921,0.226374,0.253674
144,1093.435669,0.304053,0.224831,0.225722,0.255853
145,1098.445679,0.302431,0.225108,0.223093,0.255057
146,1103.455688,0.308798,0.224541,0.225721,0.25411
147,1108.465698,0.303462,0.223699,0.225028,0.253719
148,1113.465698,0.301305,0.219857,0.218825,0.244364
149,1118.475708,0.294221,0.221306,0.217525,0.239292
150,1123.485596,0.29901,0.220812,0.220013,0.242553
151,1128.495605,0.29627,0.218827,0.221201,0.248466
152,1133.505615,0.299666,0.214824,0.212779,0.245982
153,1138.515625,0.298682,0.204338,0.215184,0.253602
154,1143.525635,0.295587,0.194003,0.211472,0.247376
155,1148.535645,0.292629,0.18695,0.205364,0.255286
156,1153.535645,0.289284,0.182616,0.20528,0.255586
