"","soil_id","date","paired_flight","transect","meter_location","electro_cond_mS_per_cm","season","elevation","week","ndvi","mari","vssi","crsi","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","geometry"
"1",1,2022-02-25,2022-02-24,"NCOS_1_NS",4,0.71,"Spring",2.44246763420105,8,0.316938489675522,0.649022996425629,-0.937290906906128,0.869826853275299,0.121782384812832,0.123279303312302,0.123614095151424,0.125641465187073,0.127751275897026,0.129099741578102,0.130853071808815,0.131957083940506,0.132251486182213,0.13264636695385,0.132405519485474,0.134068235754967,0.136965781450272,0.136286973953247,0.137248158454895,0.137669041752815,0.140391126275063,0.14124907553196,0.142593488097191,0.143988251686096,0.144837707281113,0.144889786839485,0.144890412688255,0.148091822862625,0.147367909550667,0.148731842637062,0.150029495358467,0.1497642993927,0.152331992983818,0.150639936327934,0.15214991569519,0.152879431843758,0.153038427233696,0.154558122158051,0.154457688331604,0.157701969146729,0.156572014093399,0.156326711177826,0.157391056418419,0.157167747616768,0.157609388232231,0.157727748155594,0.16093684732914,0.162231087684631,0.162781566381454,0.161636039614677,0.162254452705383,0.162106856703758,0.162307739257812,0.163371041417122,0.164028853178024,0.772467551858712,-0.0217362171872322,0.00176172760493009,0.00118873902924477,-0.00108011384845116,0.00485185393445461,-0.00233150283620801,-0.000774826487616011,0.00178410167914677,-0.00104383512645294,-0.000297956216007334,-0.000825988684822775,c(235777.378412278, 3812583.30597287)
"2",2,2022-02-25,2022-02-24,"NCOS_1_NS",12,2.34,"Spring",2.29840773773193,8,0.30943039059639,0.66637134552002,-1.06864786148071,0.875253021717072,0.137065261602402,0.137408316135406,0.138609930872917,0.142168909311295,0.143886089324951,0.14689339697361,0.147016257047653,0.147765725851059,0.148524478077888,0.150189653038979,0.149133235216141,0.151483654975891,0.152053415775299,0.153584331274033,0.153976798057556,0.154711320996284,0.156711533665657,0.158650949597359,0.160300180315971,0.160733625292778,0.161678791046143,0.162740409374237,0.16407585144043,0.164494171738625,0.165916904807091,0.166575759649277,0.16696397960186,0.169261559844017,0.169463187456131,0.170555368065834,0.169547826051712,0.171908244490623,0.172747939825058,0.171945482492447,0.173769593238831,0.175085112452507,0.177262648940086,0.174209520220757,0.177500143647194,0.17618153989315,0.175366476178169,0.174199149012566,0.179506868124008,0.180068671703339,0.17981493473053,0.179740160703659,0.180294811725616,0.181729346513748,0.181774690747261,0.182983681559563,0.18410512804985,0.644291007942305,-0.0199380702562132,0.00192753271958456,0.000695388916863277,-0.00147720197538938,0.00500235535073419,-0.000691521659677215,0.00121123689549143,0.00212125414847138,8.88520188239456e-05,0.0022312163201318,0.000285424773254684,c(235778.97650427, 3812578.0212978)
"3",3,2022-02-25,2022-02-24,"NCOS_1_NS",20,3.12,"Spring",2.14629501533508,8,0.238155230879784,0.546088576316833,-0.960392594337463,0.855998456478119,0.114227928221226,0.117446467280388,0.116642877459526,0.119518980383873,0.120814211666584,0.123294793069363,0.123845867812634,0.125681340694427,0.127204746007919,0.128170758485794,0.127373054623604,0.127987235784531,0.128787443041801,0.13136151432991,0.131929829716682,0.132908180356026,0.134440034627914,0.136414662003517,0.136105969548225,0.137161165475845,0.138720154762268,0.140476107597351,0.14188677072525,0.141983821988106,0.141126245260239,0.143504366278648,0.14451365172863,0.143660634756088,0.145164281129837,0.145485028624535,0.146981120109558,0.147300124168396,0.148384913802147,0.14986914396286,0.150118663907051,0.151779994368553,0.152379423379898,0.149368524551392,0.152573674917221,0.152179688215256,0.154010251164436,0.154592737555504,0.156661078333855,0.15642711520195,0.156442984938622,0.157873749732971,0.157597407698631,0.158735871315002,0.159757271409035,0.16080604493618,0.160406947135925,0.80219156349513,-0.0298961220042849,0.00249702532557449,0.00337802391686,-0.00271352137934361,0.00438648625274394,-0.00178630174745042,-0.000371777756992311,0.00177660115133602,-0.000441728449675381,0.00133294180250636,0.000235273640962095,c(235782.637461398, 3812568.26700795)
"4",4,2022-02-25,2022-02-24,"NCOS_1_NS",28,5.2,"Spring",2.11804598999023,8,0.150522097945213,0.46561074256897,-1.10722243785858,0.836833357810974,0.13351634144783,0.131874740123749,0.128386095166206,0.136765688657761,0.137646928429604,0.142027139663696,0.142684012651443,0.144235581159592,0.145616754889488,0.145031288266182,0.145817518234253,0.147278517484665,0.146000072360039,0.149436414241791,0.149311766028404,0.148525774478912,0.150140374898911,0.151227936148643,0.151552796363831,0.153012439608574,0.153329506516457,0.152513310313225,0.152471378445625,0.153189107775688,0.15460804104805,0.154585510492325,0.154975339770317,0.157890230417252,0.155201435089111,0.155284628272057,0.156394004821777,0.158359289169312,0.156707942485809,0.157942548394203,0.156541466712952,0.157765969634056,0.151068717241287,0.150372087955475,0.149754256010056,0.149554058909416,0.149622932076454,0.148450374603271,0.148594960570335,0.149244949221611,0.149890244007111,0.149432703852654,0.152542129158974,0.152987375855446,0.152671381831169,0.157796159386635,0.156325146555901,0.740763808765805,0.0381048714533257,0.010564389635535,0.00920188961832263,-0.00239756446956458,0.00957663511040219,-0.00301425996955542,0.00311429770160567,0.000884234587330886,-2.59755334717053e-05,-1.39564505340364e-05,0.00262799723731813,c(235785.17315596, 3812560.68302026)
"5",5,2022-02-25,2022-02-24,"NCOS_2_NS",4,6.14,"Spring",2.09263462257385,8,0.27862474322319,0.566315889358521,-0.790683209896088,0.864816904067993,0.0960696563124657,0.0982308909296989,0.102063290774822,0.101432159543037,0.102301709353924,0.103419743478298,0.104224264621735,0.105900347232819,0.105820715427399,0.106616877019405,0.107866145670414,0.10767138004303,0.109789967536926,0.109834283590317,0.111013300716877,0.114126309752464,0.11529216170311,0.116055153310299,0.116121172904968,0.118069708347321,0.118357762694359,0.119462996721268,0.119225174188614,0.12153148651123,0.122125513851643,0.122967563569546,0.122764103114605,0.124500192701817,0.124403819441795,0.125647932291031,0.127040356397629,0.128031015396118,0.128311708569527,0.12931926548481,0.131276190280914,0.130959391593933,0.134979888796806,0.134667381644249,0.136046037077904,0.136638045310974,0.133899748325348,0.134361907839775,0.134489476680756,0.135599926114082,0.134105831384659,0.136334329843521,0.136211305856705,0.136678516864777,0.13594226539135,0.139301270246506,0.138435736298561,0.800842668490085,-0.0384391206311564,0.0075734997116742,-0.0036743489235661,0.0011250163010214,0.000638096107729588,0.000627702958479402,0.000334961460138589,0.000305878890991852,0.000240752101727935,0.000277142170103784,0.00106091691258732,c(235685.706188363, 3812357.56520272)
"6",6,2022-02-25,2022-02-24,"NCOS_2_NS",12,4.95,"Spring",2.14177006912231,8,0.170509725809097,0.381898283958435,-1.17393445968628,0.832587957382202,0.140335917472839,0.142291322350502,0.139363065361977,0.145063251256943,0.147704884409904,0.147904187440872,0.149124011397362,0.151144742965698,0.151001632213593,0.15174688398838,0.153449177742004,0.152598828077316,0.154334649443626,0.15707004070282,0.1569554656744,0.15760762989521,0.16321924328804,0.160933613777161,0.162594690918922,0.164019763469696,0.164406314492226,0.164392665028572,0.165377914905548,0.165624052286148,0.166618660092354,0.167918428778648,0.168660938739777,0.169890701770782,0.170790240168571,0.172751307487488,0.171879902482033,0.174517035484314,0.174906745553017,0.175343990325928,0.177266076207161,0.176881939172745,0.175963684916496,0.178340643644333,0.177899762988091,0.180411994457245,0.179417118430138,0.179681062698364,0.18194268643856,0.183765679597855,0.182817369699478,0.182441383600235,0.182717144489288,0.186363622546196,0.186053529381752,0.188906133174896,0.188202366232872,0.487060923472471,-0.0226309798233855,-0.00347667188304759,0.00262143801293482,-0.000628932294499638,0.00552455698116495,-0.000631735517085293,0.00124285548184442,0.00102672117891192,0.000489961903357796,-0.00131710617417042,0.00142000666877914,c(235686.594481049, 3812373.61874593)
"7",7,2022-02-25,2022-02-24,"NCOS_2_NS",20,4.7,"Spring",2.14177006912231,8,0.170509725809097,0.381898283958435,-1.17393445968628,0.832587957382202,0.140335917472839,0.142291322350502,0.139363065361977,0.145063251256943,0.147704884409904,0.147904187440872,0.149124011397362,0.151144742965698,0.151001632213593,0.15174688398838,0.153449177742004,0.152598828077316,0.154334649443626,0.15707004070282,0.1569554656744,0.15760762989521,0.16321924328804,0.160933613777161,0.162594690918922,0.164019763469696,0.164406314492226,0.164392665028572,0.165377914905548,0.165624052286148,0.166618660092354,0.167918428778648,0.168660938739777,0.169890701770782,0.170790240168571,0.172751307487488,0.171879902482033,0.174517035484314,0.174906745553017,0.175343990325928,0.177266076207161,0.176881939172745,0.175963684916496,0.178340643644333,0.177899762988091,0.180411994457245,0.179417118430138,0.179681062698364,0.18194268643856,0.183765679597855,0.182817369699478,0.182441383600235,0.182717144489288,0.186363622546196,0.186053529381752,0.188906133174896,0.188202366232872,0.487060923472471,-0.0226309798233855,-0.00347667188304759,0.00262143801293482,-0.000628932294499638,0.00552455698116495,-0.000631735517085293,0.00124285548184442,0.00102672117891192,0.000489961903357796,-0.00131710617417042,0.00142000666877914,c(235686.594481049, 3812373.61874593)
"8",8,2022-02-25,2022-02-24,"NCOS_2_NS",28,6.67,"Spring",2.0785047454834,8,0.120087847113609,0.377645373344421,-1.41989469528198,0.825658679008484,0.167047291994095,0.162998154759407,0.163570314645767,0.172921046614647,0.173924505710602,0.17644003033638,0.176619172096252,0.177740514278412,0.179342836141586,0.179555222392082,0.179619669914246,0.180863067507744,0.182265296578407,0.182977929711342,0.184408873319626,0.184616819024086,0.187556117773056,0.189192250370979,0.189710006117821,0.191066831350327,0.190501973032951,0.190944090485573,0.191687628626823,0.193499773740768,0.194694206118584,0.195164650678635,0.19547513127327,0.196520209312439,0.197534427046776,0.197694346308708,0.199029296636581,0.200233072042465,0.202002108097076,0.201637029647827,0.20315982401371,0.202171668410301,0.196925520896912,0.206927552819252,0.204960599541664,0.20691779255867,0.207231625914574,0.212050408124924,0.211216419935226,0.215371355414391,0.212424665689468,0.21433687210083,0.215499758720398,0.216956377029419,0.217059507966042,0.219085916876793,0.217196077108383,0.294239306851783,-0.0176016789638258,-0.0155794482700992,0.00948151824620208,0.00522748796635428,0.00553945375796247,-0.00143560226177427,0.000462728607032422,-0.000187414139196977,-0.000870160149151885,-0.00134401048634155,0.00123117941367709,c(235687.194818103, 3812381.4756539)
"9",9,2022-02-25,2022-02-24,"NCOS_2_EW",4,1.09,"Spring",2.36213964653015,8,0.391959309577942,0.971970319747925,-0.971289157867432,0.904477000236511,0.121569082140923,0.122030563652515,0.124633610248566,0.127454876899719,0.128962069749832,0.130329161882401,0.131523162126541,0.134137779474258,0.135300010442734,0.135428294539452,0.136757135391235,0.138688653707504,0.140468165278435,0.140749007463455,0.143413171172142,0.144683092832565,0.148088321089745,0.148462057113647,0.149034470319748,0.150455757975578,0.151499480009079,0.153448104858398,0.154381960630417,0.157098799943924,0.157827481627464,0.159596055746078,0.159341260790825,0.159881949424744,0.162078097462654,0.164005190134048,0.165021017193794,0.165797829627991,0.168521985411644,0.167492747306824,0.168213173747063,0.169782251119614,0.172312572598457,0.171864598989487,0.171026185154915,0.170975059270859,0.168688908219337,0.16798061132431,0.166341409087181,0.166885405778885,0.166747972369194,0.167380183935165,0.168037176132202,0.170025661587715,0.171251505613327,0.170976579189301,0.172715187072754,0.571246855934307,-0.0365195814500473,0.0244431345996053,-0.00273783507038431,0.000384819611991756,0.00169217199086825,0.00111459092861882,0.00161455268427275,-0.00102383671546705,0.00113702825789792,-0.000219141156639309,-0.000326573617149349,c(235671.15184037, 3812370.57327379)
"10",10,2022-02-25,2022-02-24,"NCOS_2_EW",12,0.78,"Spring",2.29017204475403,8,0.315480589866638,0.739714980125427,-0.832608044147491,0.881646513938904,0.0986368507146835,0.102815076708794,0.108248934149742,0.104656048119068,0.105750493705273,0.108176127076149,0.108896404504776,0.111024282872677,0.110030353069305,0.111495338380337,0.111964531242847,0.1127028465271,0.114503920078278,0.115132987499237,0.117503330111504,0.119131855666637,0.120626822113991,0.122036352753639,0.12197420746088,0.124323420226574,0.125527858734131,0.126414731144905,0.127417862415314,0.128908738493919,0.128994345664978,0.129699602723122,0.130868539214134,0.132581457495689,0.133163765072823,0.134283170104027,0.134918466210365,0.136078089475632,0.137232393026352,0.13708584010601,0.137982234358788,0.140086024999619,0.142919331789017,0.144682258367538,0.142326056957245,0.143770262598991,0.142973467707634,0.143492490053177,0.139766797423363,0.141985714435577,0.142681583762169,0.142397493124008,0.142469346523285,0.143633246421814,0.144914895296097,0.146393373608589,0.147722259163857,0.757799677578527,-0.0431577090048699,0.0130725010411778,-0.0046495007225705,0.00133371797201023,-9.16752253952194e-05,0.000889647997037918,0.00128975795398036,0.00234003418438395,-6.41643233712636e-05,-0.0018762521063191,0.00162197347277302,c(235678.379067778, 3812367.49469145)
