soil_id,date,paired_flight,transect,direction,meter_location,wet_mass_g,dried_mass_g,electro_cond_mS_per_cm,water_content_percent,corresponding_plant_sample,sampling_method,season,latitude,longitude,landcover
1,2/25/2022,2022_02_24,NCOS_1_NS,NS,4,261.43,202.157,0.71,22.67,92-93,single,Spring,34.42097283,-119.8749907,vegetated
2,2/25/2022,2022_02_24,NCOS_1_NS,NS,12,106.288,80.37,2.34,24.38,94,single,Spring,34.42092564,-119.8749717,vegetated
3,2/25/2022,2022_02_24,NCOS_1_NS,NS,20,161.991,137.549,3.12,15.09,95,single,Spring,34.42083872,-119.8749289,vegetated
4,2/25/2022,2022_02_24,NCOS_1_NS,NS,28,164.636,135.715,5.2,17.57,96,single,Spring,34.42077106,-119.874899,vegetated
5,2/25/2022,2022_02_24,NCOS_2_NS,NS,4,192.295,148.692,6.14,22.68,101,single,Spring,34.41891616,-119.8759174,vegetated
6,2/25/2022,2022_02_24,NCOS_2_NS,NS,12,200.007,160.731,4.95,19.64,98,single,Spring,34.41906098,-119.8759127,vegetated
7,2/25/2022,2022_02_24,NCOS_2_NS,NS,20,145.607,120.277,4.7,17.4,NA,single,Spring,34.41906098,-119.8759127,soil
8,2/25/2022,2022_02_24,NCOS_2_NS,NS,28,135.04,110.482,6.67,18.19,NA,single,Spring,34.4191319,-119.8759086,soil
9,2/25/2022,2022_02_24,NCOS_2_EW,EW,4,129.297,110.661,1.09,14.41,97,single,Spring,34.4190296,-119.8760796,vegetated
10,2/25/2022,2022_02_24,NCOS_2_EW,EW,12,151.423,117.465,0.78,22.43,98,single,Spring,34.41900372,-119.8760001,vegetated
11,2/25/2022,2022_02_24,NCOS_2_EW,EW,20,225.442,170.889,4.45,24.2,99,single,Spring,34.41897751,-119.8759183,vegetated
12,2/25/2022,2022_02_24,NCOS_2_EW,EW,28,117.311,87.19,5.22,25.68,100,single,Spring,34.4189515,-119.8758376,vegetated
13,3/2/2022,2022_02_28,NCOS_1_NS,NS,4,60.47,47.19,0.47,21.96,401-402,single,Spring,34.42097283,-119.8749907,vegetated
14,3/2/2022,2022_02_28,NCOS_1_NS,NS,12,77.008,57.966,1.04,24.73,403,single,Spring,34.42092564,-119.8749717,vegetated
15,3/2/2022,2022_02_28,NCOS_1_NS,NS,20,80.768,68.061,3.46,15.73,404,single,Spring,34.42083872,-119.8749289,vegetated
16,3/2/2022,2022_02_28,NCOS_1_NS,NS,28,118.108,99.87,6.22,15.44,405,single,Spring,34.42077106,-119.874899,vegetated
