Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
1,1,ALGAE/WATER,Algae/Water_X171_Y224,,,,,,0,,,,,,1098,    0.962027
2,1,ALGAE/WATER,Algae/Water_X172_Y224,,,,,,1,,,,,,1221,    1.069795
3,1,ALGAE/WATER,Algae/Water_X176_Y217,,,,,,2,,,,,,1314,    1.151278
4,1,ALGAE/WATER,Algae/Water_X177_Y217,,,,,,3,,,,,,286,    0.250583
5,1,BARE SOIL,,BareSoil_X178_Y152,,,,,,4,,,,,3128,    2.740638
6,1,BARE SOIL,,BareSoil_X178_Y153,,,,,,5,,,,,1208,    1.058405
7,1,BARE SOIL,,BareSoil_X179_Y153,,,,,,6,,,,,9409,    8.243818
8,1,BARE SOIL,,BareSoil_X203_Y140,,,,,,7,,,,,2573,    2.254368
9,1,BARE SOIL,,BareSoil_X219_Y157,,,,,,8,,,,,3490,    3.057809
10,1,BARE SOIL,,BareSoil_X220_Y154,,,,,,9,,,,,5624,    4.927541
11,1,BARE SOIL,,BareSoil_X220_Y157,,,,,,10,,,,,5068,    4.440395
12,1,PICKLEWEED,,,220302b.20m.asd                 No-OAR,,,,,,24,,,,0,0
13,1,PICKLEWEED,,,220302b.24m.asd                 No-OAR,,,,,,25,,,,0,0
14,1,PICKLEWEED,,,220302b.26m.asd                 No-OAR,,,,,,26,,,,0,0
15,1,PICKLEWEED,,,Pickleweed_X173_Y144,,,,,,27,,,,407,    0.356598
16,1,PICKLEWEED,,,Pickleweed_X175_Y140,,,,,,28,,,,3965,    3.473987
17,1,PICKLEWEED,,,Pickleweed_X175_Y92,,,,,,29,,,,5330,    4.669950
18,1,PICKLEWEED,,,Pickleweed_X177_Y93,,,,,,30,,,,29,    0.025409
19,1,PICKLEWEED,,,Pickleweed_X178_Y93,,,,,,31,,,,3367,    2.950041
20,1,PICKLEWEED,,,Pickleweed_X195_Y52,,,,,,32,,,,509,    0.445967
21,1,PICKLEWEED,,,Pickleweed_X198_Y50,,,,,,33,,,,91,    0.079731
22,1,PICKLEWEED,,,Pickleweed_X200_Y50,,,,,,34,,,,1,    0.000876
23,1,PICKLEWEED,,,Pickleweed_X201_Y50,,,,,,35,,,,2686,    2.353374
24,1,PICKLEWEED,,,Pickleweed_X201_Y50,,,,,,36,,,,865,    0.757881
25,1,PICKLEWEED,,,Pickleweed_X217_Y163,,,,,,37,,,,1616,    1.415880
26,1,SHALLOW WATER,,,,ShallowWater_X137_Y49,,,,,,38,,,5312,    4.654179
27,1,SHALLOW WATER,,,,ShallowWater_X200_Y54,,,,,,39,,,1753,    1.535914
28,1,SHALLOW WATER,,,,ShallowWater_X200_Y59,,,,,,40,,,383,    0.335570
29,1,SHALLOW WATER,,,,ShallowWater_X200_Y60,,,,,,41,,,240,    0.210279
30,1,SHALLOW WATER,,,,ShallowWater_X202_Y211,,,,,,42,,,5708,    5.001139
31,1,SHALLOW WATER,,,,ShallowWater_X203_Y211,,,,,,43,,,2627,    2.301681
32,1,UPLANDS,,,,,Uplands_X143_Y104,,,,,,47,,23076,   20.218340
33,1,UPLANDS,,,,,Uplands_X197_Y47,,,,,,48,,129,    0.113025
34,1,UPLANDS,,,,,Uplands_X232_Y23,,,,,,49,,10028,    8.786163
35,1,UPLANDS,,,,,Uplands_X233_Y22,,,,,,50,,3609,    3.162073
36,1,WATER,,,,,,Water_X174_Y193,,,,,,51,1396,    1.223124
37,1,WATER,,,,,,Water_X198_Y103,,,,,,52,3107,    2.722239
38,1,WATER,,,,,,Water_X199_Y103,,,,,,53,1577,    1.381709
39,1,WATER,,,,,,Water_X210_Y122,,,,,,54,688,    0.602800
40,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X178_Y152,,,,,0,4,,,,,0,0
41,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X178_Y153,,,,,0,5,,,,,0,0
42,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X179_Y153,,,,,0,6,,,,,0,0
43,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X203_Y140,,,,,0,7,,,,,0,0
44,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X219_Y157,,,,,0,8,,,,,0,0
45,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X220_Y154,,,,,0,9,,,,,0,0
46,2,ALGAE/WATER-BARE SOIL,Algae/Water_X171_Y224,BareSoil_X220_Y157,,,,,0,10,,,,,0,0
47,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X178_Y152,,,,,1,4,,,,,0,0
48,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X178_Y153,,,,,1,5,,,,,0,0
49,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X179_Y153,,,,,1,6,,,,,0,0
50,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X203_Y140,,,,,1,7,,,,,0,0
51,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X219_Y157,,,,,1,8,,,,,0,0
52,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X220_Y154,,,,,1,9,,,,,0,0
53,2,ALGAE/WATER-BARE SOIL,Algae/Water_X172_Y224,BareSoil_X220_Y157,,,,,1,10,,,,,0,0
54,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X178_Y152,,,,,2,4,,,,,0,0
55,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X178_Y153,,,,,2,5,,,,,0,0
56,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X179_Y153,,,,,2,6,,,,,0,0
57,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X203_Y140,,,,,2,7,,,,,0,0
58,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X219_Y157,,,,,2,8,,,,,0,0
59,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X220_Y154,,,,,2,9,,,,,0,0
60,2,ALGAE/WATER-BARE SOIL,Algae/Water_X176_Y217,BareSoil_X220_Y157,,,,,2,10,,,,,0,0
61,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X178_Y152,,,,,3,4,,,,,0,0
62,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X178_Y153,,,,,3,5,,,,,0,0
63,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X179_Y153,,,,,3,6,,,,,0,0
64,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X203_Y140,,,,,3,7,,,,,0,0
65,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X219_Y157,,,,,3,8,,,,,0,0
66,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X220_Y154,,,,,3,9,,,,,0,0
67,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X220_Y157,,,,,3,10,,,,,0,0
68,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.20m.asd                 No-OAR,,,,0,,24,,,,0,0
69,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.24m.asd                 No-OAR,,,,0,,25,,,,1,    0.000876
70,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,220302b.26m.asd                 No-OAR,,,,0,,26,,,,1,    0.000876
71,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X173_Y144,,,,0,,27,,,,0,0
72,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X175_Y140,,,,0,,28,,,,0,0
73,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X175_Y92,,,,0,,29,,,,0,0
74,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X177_Y93,,,,0,,30,,,,0,0
75,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X178_Y93,,,,0,,31,,,,0,0
76,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X195_Y52,,,,0,,32,,,,0,0
77,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X171_Y224,,Pickleweed_X198_Y50,,,,0,,33,,,,0,0
