Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
1,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X186_Y103,,,0,12,,,180,    0.157709
2,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X196_Y133,,,0,13,,,126,    0.110397
3,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X196_Y48,,,0,14,,,2,    0.001752
4,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X198_Y130,,,0,15,,,1474,    1.291464
5,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X214_Y133,,,0,16,,,35,    0.030666
6,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X214_Y163,,,0,17,,,146,    0.127920
7,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X214_Y199,,,0,18,,,99,    0.086740
8,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X218_Y247,,,0,19,,,78,    0.068341
9,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X225_Y41,,,0,20,,,5,    0.004381
10,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,greenveg_X83_Y198,,,0,21,,,134,    0.117406
11,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X176_Y92,,,0,22,,,0,0
12,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X185_Y145,,,0,23,,,369,    0.323304
13,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Pickleweed_X198_Y51,,,0,24,,,691,    0.605429
14,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Uplands_X168_Y121,,,0,25,,,1146,    1.004083
15,2,BARE SOIL-GREEN VEG,BareSoil_X182_Y120,Uplands_X188_Y51,,,0,26,,,101,    0.088492
16,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X186_Y103,,,1,12,,,58,    0.050817
17,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X196_Y133,,,1,13,,,250,    0.219041
18,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X196_Y48,,,1,14,,,1,    0.000876
19,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X198_Y130,,,1,15,,,974,    0.853383
20,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X214_Y133,,,1,16,,,250,    0.219041
21,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X214_Y163,,,1,17,,,883,    0.773652
22,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X214_Y199,,,1,18,,,2116,    1.853961
23,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X218_Y247,,,1,19,,,357,    0.312790
24,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X225_Y41,,,1,20,,,0,0
25,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,greenveg_X83_Y198,,,1,21,,,141,    0.123539
26,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X176_Y92,,,1,22,,,1,    0.000876
27,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X185_Y145,,,1,23,,,66,    0.057827
28,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Pickleweed_X198_Y51,,,1,24,,,594,    0.520441
29,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X168_Y121,,,1,25,,,1057,    0.926104
30,2,BARE SOIL-GREEN VEG,BareSoil_X184_Y114,Uplands_X188_Y51,,,1,26,,,23,    0.020152
31,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X186_Y103,,,2,12,,,70,    0.061331
32,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y133,,,2,13,,,4,    0.003505
33,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X196_Y48,,,2,14,,,32,    0.028037
34,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X198_Y130,,,2,15,,,82,    0.071845
35,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X214_Y133,,,2,16,,,2,    0.001752
36,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X214_Y163,,,2,17,,,16,    0.014019
37,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X214_Y199,,,2,18,,,5,    0.004381
38,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X218_Y247,,,2,19,,,372,    0.325933
39,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X225_Y41,,,2,20,,,8,    0.007009
40,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,greenveg_X83_Y198,,,2,21,,,104,    0.091121
41,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X176_Y92,,,2,22,,,10,    0.008762
42,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X185_Y145,,,2,23,,,6,    0.005257
43,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Pickleweed_X198_Y51,,,2,24,,,4,    0.003505
44,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X168_Y121,,,2,25,,,209,    0.183118
45,2,BARE SOIL-GREEN VEG,BareSoil_X191_Y113,Uplands_X188_Y51,,,2,26,,,2,    0.001752
46,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X186_Y103,,,3,12,,,13,    0.011390
47,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X196_Y133,,,3,13,,,4,    0.003505
48,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X196_Y48,,,3,14,,,1030,    0.902448
49,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X198_Y130,,,3,15,,,579,    0.507298
50,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X214_Y133,,,3,16,,,48,    0.042056
51,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X214_Y163,,,3,17,,,14,    0.012266
52,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X214_Y199,,,3,18,,,150,    0.131424
53,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X218_Y247,,,3,19,,,926,    0.811327
54,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X225_Y41,,,3,20,,,571,    0.500289
55,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,greenveg_X83_Y198,,,3,21,,,672,    0.588782
56,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X176_Y92,,,3,22,,,442,    0.387264
57,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X185_Y145,,,3,23,,,42,    0.036799
58,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Pickleweed_X198_Y51,,,3,24,,,240,    0.210279
59,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X168_Y121,,,3,25,,,274,    0.240069
60,2,BARE SOIL-GREEN VEG,BareSoil_X199_Y142,Uplands_X188_Y51,,,3,26,,,46,    0.040304
61,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X186_Y103,,,4,12,,,46,    0.040304
62,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y133,,,4,13,,,0,0
63,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X196_Y48,,,4,14,,,176,    0.154205
64,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X198_Y130,,,4,15,,,37,    0.032418
65,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X214_Y133,,,4,16,,,0,0
66,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X214_Y163,,,4,17,,,5,    0.004381
67,2,BARE SOIL-GREEN VEG,BareSoil_X200_Y136,greenveg_X214_Y199,,,4,18,,,6,    0.005257
