Metadata file for MESMA based on RMSE and SVD. Run on Tue Mar 05 15:51:13 2024

Input image path:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\imagery\subset_images\rfl_2022_04_29.tif
     Scale factor:,   10000
     Number of lines:,         383
     Number of samples:,         298
     Number of bands:,         425
     Number of good bands:,         383

Spectral library path:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\Spectra\MESMA\subset_library\April\04_05\gns\subsets\less_than_0_5_percent\04_29_expanded_2.sli
Metadata EM class:,META2

     Endmember class:,BARE SOIL
     Selected models:,0,1,2,3,4,5,6,7,8,

     Endmember class:,GREEN VEG
     Selected models:,9,10,11,12,13,14,15,16,17,18,19,20,21,

     Endmember class:,NPV
     Selected models:,22,23,

     Endmember class:,WATER
     Selected models:,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,

Shade spectrum:,Photometric shade used

Constraints used:
     Minimum fraction (incl. shade):,        0.00
     Maximum fraction (excl. shade):,        1.00
     Minimum shade fraction:,        0.00
     Maximum shade fraction:,        0.80
     Maximum RMSE:,    0.025000
     Maximum residual:,    0.025000
     Residual count (number of bands):,       7

Output SMA image:,C:\Users\gsilva\Documents\UCSB code\shift_soil_salinity\imagery\subset_images\rfl_2022_04_29.tif_SMA_20240305T15H51M13S
Output data type:,BIL

LOOK-UP TABLE:,BARE SOIL-GREEN VEG
     Number of endmembers:,           3
     Total number of models:,         117
LOOK-UP TABLE:,BARE SOIL-NPV
     Number of endmembers:,           3
     Total number of models:,          18
LOOK-UP TABLE:,BARE SOIL-WATER
     Number of endmembers:,           3
     Total number of models:,         135
LOOK-UP TABLE:,GREEN VEG-NPV
     Number of endmembers:,           3
     Total number of models:,          26
LOOK-UP TABLE:,GREEN VEG-WATER
     Number of endmembers:,           3
     Total number of models:,         195
LOOK-UP TABLE:,NPV-WATER
     Number of endmembers:,           3
     Total number of models:,          30
 
Unclassified pixels:,#pixels,% of image
,980,    0.858640

Number of successful models:,         452
List of successful models:,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,51,52,53,54,
,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,95,96,97,98,99,100,101,102,103,104,105,
,106,107,108,109,110,111,112,113,114,115,116,117,118,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,
,157,158,159,160,161,162,163,164,165,167,168,170,171,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,193,194,195,197,198,201,205,206,207,208,209,210,211,212,213,214,215,216,217,
,218,219,221,222,223,224,225,226,227,228,229,230,232,234,235,236,237,238,239,240,241,242,243,244,245,246,247,249,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,
,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,
,324,325,326,328,330,331,332,335,337,338,339,340,341,342,343,344,345,346,347,348,350,351,352,353,354,355,356,358,359,360,361,363,364,365,366,367,368,369,370,371,379,380,382,384,385,386,388,389,394,395,
,397,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,418,419,420,421,423,424,425,426,427,428,429,430,431,433,434,440,442,443,444,445,446,449,451,453,454,455,457,458,459,460,461,
,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,493,495,496,498,500,501,502,503,504,505,506,508,509,511,513,514,515,516,518,519,
,520,521,
Elapsed time:,      1.75840 minutes
