Name,Meta1,Meta2,Meta3
220504b.0m.asd                 No-OAR,Pervious,Plants,Uplands
220504b.1m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.2m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.3m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.4m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.5m.asd                 No-OAR,Pervious,Plants,Uplands
220504b.6m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.7m.asd                 No-OAR,Pervious,Plants,Uplands
220504b.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.9m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.15m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.18m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.19m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.20m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.22m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.23m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.29m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504b.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220504b.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil
