Name,Meta1,Meta2,Meta3
220504d.0m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.1m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.2m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.3m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.4m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.5m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.6m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.7m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.8m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.9m.asd                 No-OAR,Impervious,Reference,White Ref
220504d.10m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.11m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.12m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.14m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.15m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.16m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.17m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.18m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.19m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.13m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.20m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.21m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.22m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.23m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.24m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.25m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.26m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.27m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.28m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.29m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.30m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.31m.asd                 No-OAR,Pervious,Plants,Pickleweed
220504d.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed
