Name,Meta1,Meta2,Meta3,brightness
220504c.0m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.285523
220504a.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.212461
220504a.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.172583
220504a.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.156608
220504a.18m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.154183
220504b.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.217609
220504a.15m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.224600
220504b.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.220696
220504c.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.293839
220504c.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.355794
220504c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.298320
220504c.29m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.326731
220504c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.274782
220504c.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.324983
220504c.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.154563
220504c.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.323094
220504c.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.156512
220504c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.224299
220504c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.335324
220504b.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.358746
220504b.20m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.197961
220504b.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.191737
220504b.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.312323
220504b.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.253620
220504b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.244100
220504b.0m.asd                 No-OAR,Pervious,Plants,High Marsh,0.206248
220504b.5m.asd                 No-OAR,Pervious,Plants,High Marsh,0.179467
220504b.7m.asd                 No-OAR,Pervious,Plants,High Marsh,0.176382
220504b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.165541
220504b.29m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.252336
220504b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.146962
220504b.23m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.164495
220504b.22m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.146932
220504d.0m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.104010
220504d.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.117934
220504d.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.133468
220504d.3m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.124694
220504d.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.130003
220504d.5m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.128805
220504d.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.110670
220504d.7m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.113507
220504d.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.132306
220504a.31m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.144317
