Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
1,1,ALGAE/WATER,Algae/Water_X177_Y217,,,,,,0,,,,,,3,    0.002628
2,1,ALGAE/WATER,Algae/Water_X176_Y217,,,,,,1,,,,,,161,    0.141062
3,1,ALGAE/WATER,Algae/Water_X171_Y224,,,,,,2,,,,,,12,    0.010514
4,1,ALGAE/WATER,Algae/Water_X172_Y224,,,,,,3,,,,,,0,0
5,1,BARE SOIL,,BareSoil_X179_Y153,,,,,,4,,,,,1666,    1.459688
6,1,BARE SOIL,,BareSoil_X178_Y152,,,,,,5,,,,,25235,   22.109976
7,1,BARE SOIL,,BareSoil_X203_Y140,,,,,,6,,,,,2208,    1.934568
8,1,BARE SOIL,,BareSoil_X178_Y153,,,,,,7,,,,,4,    0.003505
9,1,PICKLEWEED,,,220302b.24m.asd                 No-OAR,,,,,,21,,,,2,    0.001752
10,1,PICKLEWEED,,,220302b.20m.asd                 No-OAR,,,,,,22,,,,4233,    3.708798
11,1,PICKLEWEED,,,Pickleweed_X177_Y93,,,,,,23,,,,1,    0.000876
12,1,PICKLEWEED,,,Pickleweed_X201_Y50,,,,,,24,,,,10772,    9.438029
13,1,PICKLEWEED,,,220302b.26m.asd                 No-OAR,,,,,,25,,,,0,0
14,1,SHALLOW WATER,,,,ShallowWater_X203_Y211,,,,,,26,,,9,    0.007885
15,1,SHALLOW WATER,,,,ShallowWater_X202_Y211,,,,,,27,,,690,    0.604553
16,1,SHALLOW WATER,,,,ShallowWater_X200_Y59,,,,,,28,,,2012,    1.762840
17,1,SHALLOW WATER,,,,ShallowWater_X200_Y60,,,,,,29,,,2020,    1.769849
18,1,UPLANDS,,,,,Uplands_X143_Y104,,,,,,33,,29187,   25.572571
19,1,UPLANDS,,,,,Uplands_X232_Y23,,,,,,34,,22765,   19.945852
20,1,UPLANDS,,,,,Uplands_X233_Y22,,,,,,35,,14,    0.012266
21,1,WATER,,,,,,Water_X199_Y103,,,,,,36,652,    0.571258
22,1,WATER,,,,,,Water_X210_Y122,,,,,,37,3,    0.002628
23,1,WATER,,,,,,Water_X198_Y103,,,,,,38,11946,   10.466644
24,1,WATER,,,,,,Water_X174_Y193,,,,,,39,25,    0.021904
25,2,ALGAE/WATER-BARE SOIL,Algae/Water_X177_Y217,BareSoil_X179_Y153,,,,,0,4,,,,,0,0
